#: table_doi: 10.17182/hepdata.144506.v1/t2
#: name: $H_{\text{T}}$ distribution
#: description: The post-fit distributions of HT for the SR. Data are compared with background predictions, and six signal predictions covering a representative mediator mass and invisible fraction range are overlaid. The uncertainties include all systematic and statistical components. The last bin contains the overflow.
#: data_file: HT_hd.yaml
#: keyword cmenergies: 13000.0
 $ H_{T}$   [GeV], $ H_{T}$   [GeV] LOW, $ H_{T}$   [GeV] HIGH,"Signal (1 TeV, R$_{inv}$ 0.6) [Events / 100 GeV]"
650.0,600,700,590.390380859375
750.0,700,800,2242.27685546875
850.0,800,900,7524.5693359375
950.0,900,1000,12867.107421875
1050.0,1000,1100,13041.39453125
1150.0,1100,1200,13023.298828125
1250.0,1200,1300,11883.4306640625
1350.0,1300,1400,9235.3232421875
1450.0,1400,1500,8220.0029296875
1550.0,1500,1600,6005.85498046875
1650.0,1600,1700,4280.953125
1750.0,1700,1800,2937.485107421875
1850.0,1800,1900,2423.46533203125
1950.0,1900,2000,2166.405517578125
2050.0,2000,2100,1364.7310791015625
2150.0,2100,2200,743.4818115234375
2250.0,2200,2300,703.84033203125
2350.0,2300,2400,518.7166748046875
2450.0,2400,2500,408.4974365234375
2550.0,2500,2600,329.68634033203125
2650.0,2600,2700,238.45960998535156
2750.0,2700,2800,145.13034057617188
2850.0,2800,2900,178.39926147460938
2950.0,2900,3000,0.3035697937011719
3050.0,3000,3100,35.48860168457031
3150.0,3100,3200,71.25263214111328
3250.0,3200,3300,72.66509246826172
3350.0,3300,3400,0.22395324707031
3450.0,3400,3500,0.0

 $ H_{T}$   [GeV], $ H_{T}$   [GeV] LOW, $ H_{T}$   [GeV] HIGH,"Signal (1 TeV, R$_{inv}$ 0.8) [Events / 100 GeV]"
650.0,600,700,973.9439086914062
750.0,700,800,8151.03662109375
850.0,800,900,17210.34765625
950.0,900,1000,23298.365234375
1050.0,1000,1100,24831.7578125
1150.0,1100,1200,22004.18359375
1250.0,1200,1300,16925.548828125
1350.0,1300,1400,13912.3388671875
1450.0,1400,1500,9205.966796875
1550.0,1500,1600,6379.4521484375
1650.0,1600,1700,4904.85205078125
1750.0,1700,1800,3315.603759765625
1850.0,1800,1900,2588.451171875
1950.0,1900,2000,1219.3436279296875
2050.0,2000,2100,1128.775390625
2150.0,2100,2200,1041.865966796875
2250.0,2200,2300,497.06231689453125
2350.0,2300,2400,451.7585144042969
2450.0,2400,2500,513.3877563476562
2550.0,2500,2600,322.896728515625
2650.0,2600,2700,219.58682250976562
2750.0,2700,2800,110.76038360595703
2850.0,2800,2900,63.35914993286133
2950.0,2900,3000,160.49169921875
3050.0,3000,3100,45.21550750732422
3150.0,3100,3200,9.444754600524902
3250.0,3200,3300,77.4586181640625
3350.0,3300,3400,5.70638656616211e-05
3450.0,3400,3500,0.008023262023926

 $ H_{T}$   [GeV], $ H_{T}$   [GeV] LOW, $ H_{T}$   [GeV] HIGH,"Signal (2 TeV, R$_{inv}$ 0.4) [Events / 100 GeV]"
650.0,600,700,0.49257951974868774
750.0,700,800,6.719886779785156
850.0,800,900,15.8468017578125
950.0,900,1000,36.148990631103516
1050.0,1000,1100,47.969844818115234
1150.0,1100,1200,60.981536865234375
1250.0,1200,1300,68.80364990234375
1350.0,1300,1400,65.32843017578125
1450.0,1400,1500,71.42453002929688
1550.0,1500,1600,82.72164916992188
1650.0,1600,1700,80.22337341308594
1750.0,1700,1800,104.58715057373047
1850.0,1800,1900,110.06288146972656
1950.0,1900,2000,120.324462890625
2050.0,2000,2100,124.32231140136719
2150.0,2100,2200,156.68157958984375
2250.0,2200,2300,151.20301818847656
2350.0,2300,2400,160.32373046875
2450.0,2400,2500,146.55923461914062
2550.0,2500,2600,169.94775390625
2650.0,2600,2700,143.99307250976562
2750.0,2700,2800,124.86923217773438
2850.0,2800,2900,112.15821838378906
2950.0,2900,3000,107.18721008300781
3050.0,3000,3100,97.3502197265625
3150.0,3100,3200,84.79798889160156
3250.0,3200,3300,68.12257385253906
3350.0,3300,3400,60.80757141113281
3450.0,3400,3500,45.23178482055664

 $ H_{T}$   [GeV], $ H_{T}$   [GeV] LOW, $ H_{T}$   [GeV] HIGH,"Signal (2 TeV, R$_{inv}$ 0.6) [Events / 100 GeV]"
650.0,600,700,11.316532135009766
750.0,700,800,46.359413146972656
850.0,800,900,111.20438385009766
950.0,900,1000,165.76454162597656
1050.0,1000,1100,231.4824981689453
1150.0,1100,1200,287.9891662597656
1250.0,1200,1300,288.6693115234375
1350.0,1300,1400,311.5933837890625
1450.0,1400,1500,346.0033874511719
1550.0,1500,1600,360.2059020996094
1650.0,1600,1700,421.244873046875
1750.0,1700,1800,462.2256774902344
1850.0,1800,1900,464.0334777832031
1950.0,1900,2000,467.9744567871094
2050.0,2000,2100,486.18408203125
2150.0,2100,2200,489.8985595703125
2250.0,2200,2300,500.3147888183594
2350.0,2300,2400,450.7264099121094
2450.0,2400,2500,510.10308837890625
2550.0,2500,2600,398.5074462890625
2650.0,2600,2700,361.8197021484375
2750.0,2700,2800,302.2440490722656
2850.0,2800,2900,282.7366943359375
2950.0,2900,3000,213.61956787109375
3050.0,3000,3100,176.22384643554688
3150.0,3100,3200,144.21490478515625
3250.0,3200,3300,129.07350158691406
3350.0,3300,3400,99.62347412109375
3450.0,3400,3500,79.04981994628906

 $ H_{T}$   [GeV], $ H_{T}$   [GeV] LOW, $ H_{T}$   [GeV] HIGH,"Signal (3 TeV, R$_{inv}$ 0.2) [Events / 100 GeV]"
650.0,600,700,0.14129158854484558
750.0,700,800,0.2634105980396271
850.0,800,900,0.43692952394485474
950.0,900,1000,0.4810234606266022
1050.0,1000,1100,0.5510411262512207
