#: table_doi: 10.17182/hepdata.144506.v1/t3
#: name: $E_{\text{T}}^{\text{miss}}$ distribution
#: description: The post-fit distributions of $E_{\text{T}}^{\text{miss}}$ for the SR. Data are compared with background predictions, and six signal predictions covering a representative mediator mass and invisible fraction range are overlaid. The uncertainties include all systematic and statistical components. The last bin contains the overflow.
#: data_file: MET_hd.yaml
#: keyword cmenergies: 13000.0
 MET   [GeV], MET   [GeV] LOW, MET   [GeV] HIGH,"Signal (1 TeV, R$_{inv}$ 0.6) [Events / 50 GeV]"
625.0,600,650,41443.3
675.0,650,700,33956.9
725.0,700,750,27566.5
775.0,750,800,21054.8
825.0,800,850,15669.8
875.0,850,900,10956.7
925.0,900,950,7828.36
975.0,950,1000,5057.79
1025.0,1000,1050,3915.76
1075.0,1050,1100,2388.79
1125.0,1100,1150,1902.44
1175.0,1150,1200,1150.75
1225.0,1200,1250,560.534
1275.0,1250,1300,555.677
1325.0,1300,1350,339.508
1375.0,1350,1400,200.21
1425.0,1400,1450,181.721
1475.0,1450,1500,43.7869
1525.0,1500,1550,125.379
1575.0,1550,1600,183.241
1625.0,1600,1650,39.7938
1675.0,1650,1700,61.2443
1725.0,1700,1750,62.9117
1775.0,1750,1800,0
1825.0,1800,1850,36.2348
1875.0,1850,1900,6.23231
1925.0,1900,1950,0
1975.0,1950,2000,0

 MET   [GeV], MET   [GeV] LOW, MET   [GeV] HIGH,"Signal (1 TeV, R$_{inv}$ 0.8) [Events / 50 GeV]"
625.0,600,650,47496.2
675.0,650,700,40356.4
725.0,700,750,34251.5
775.0,750,800,27193
825.0,800,850,19543.5
875.0,850,900,14201.3
925.0,900,950,10228.1
975.0,950,1000,7102.59
1025.0,1000,1050,3957.09
1075.0,1050,1100,3121.06
1125.0,1100,1150,2435.86
1175.0,1150,1200,1431.52
1225.0,1200,1250,1308.97
1275.0,1250,1300,588.003
1325.0,1300,1350,710.661
1375.0,1350,1400,283.131
1425.0,1400,1450,291.085
1475.0,1450,1500,209.374
1525.0,1500,1550,118.753
1575.0,1550,1600,89.9484
1625.0,1600,1650,117.098
1675.0,1650,1700,97.7144
1725.0,1700,1750,0.574602
1775.0,1750,1800,91.8781
1825.0,1800,1850,-16.5748
1875.0,1850,1900,47.2415
1925.0,1900,1950,22.4852
1975.0,1950,2000,0

 MET   [GeV], MET   [GeV] LOW, MET   [GeV] HIGH,"Signal (2 TeV, R$_{inv}$ 0.4) [Events / 50 GeV]"
625.0,600,650,426.851
675.0,650,700,399.901
725.0,700,750,387.877
775.0,750,800,364.005
825.0,800,850,335.654
875.0,850,900,285.837
925.0,900,950,248.521
975.0,950,1000,223.988
1025.0,1000,1050,228.815
1075.0,1050,1100,172.033
1125.0,1100,1150,157.989
1175.0,1150,1200,131.542
1225.0,1200,1250,108.644
1275.0,1250,1300,111.128
1325.0,1300,1350,91.1484
1375.0,1350,1400,76.4189
1425.0,1400,1450,61.424
1475.0,1450,1500,61.4806
1525.0,1500,1550,43.6965
1575.0,1550,1600,37.691
1625.0,1600,1650,25.4464
1675.0,1650,1700,26.1778
1725.0,1700,1750,18.3337
1775.0,1750,1800,15.9823
1825.0,1800,1850,12.3219
1875.0,1850,1900,6.4419
1925.0,1900,1950,7.5071
1975.0,1950,2000,3.97593

 MET   [GeV], MET   [GeV] LOW, MET   [GeV] HIGH,"Signal (2 TeV, R$_{inv}$ 0.6) [Events / 50 GeV]"
625.0,600,650,493.691
675.0,650,700,456.431
725.0,700,750,466.568
775.0,750,800,457.818
825.0,800,850,453.297
875.0,850,900,397.649
925.0,900,950,372.251
975.0,950,1000,354.902
1025.0,1000,1050,310.753
1075.0,1050,1100,276.766
1125.0,1100,1150,235.377
1175.0,1150,1200,217.939
1225.0,1200,1250,170.472
1275.0,1250,1300,162.05
1325.0,1300,1350,146.621
1375.0,1350,1400,133.364
1425.0,1400,1450,112.563
1475.0,1450,1500,105.202
1525.0,1500,1550,103.2
1575.0,1550,1600,74.5103
1625.0,1600,1650,67.6375
1675.0,1650,1700,59.2811
1725.0,1700,1750,46.2892
1775.0,1750,1800,35.4815
1825.0,1800,1850,33.0909
1875.0,1850,1900,20.6214
1925.0,1900,1950,17.6657
1975.0,1950,2000,11.7649

 MET   [GeV], MET   [GeV] LOW, MET   [GeV] HIGH,"Signal (3 TeV, R$_{inv}$ 0.2) [Events / 50 GeV]"
625.0,600,650,12.4564
675.0,650,700,9.42902
725.0,700,750,8.31672
775.0,750,800,8.04654
825.0,800,850,8.06554
875.0,850,900,6.11352
925.0,900,950,6.61942
975.0,950,1000,5.3437
1025.0,1000,1050,5.24466
1075.0,1050,1100,5.94794
1125.0,1100,1150,4.41902
