#: table_doi: 10.17182/hepdata.144506.v1/t4
#: name: $p_\textrm{T}^{\textrm{bal}}$ distribution
#: description: The post-fit distributions of $p_\textrm{T}^{\textrm{bal}}$ for the SR. Data are compared with background predictions, and six signal predictions covering a representative mediator mass and invisible fraction range are overlaid. The uncertainties include all systematic and statistical components. The last bin contains the overflow.
#: data_file: PTBAL_hd.yaml
#: keyword cmenergies: 13000.0
 p$_T$ balance, p$_T$ balance LOW, p$_T$ balance HIGH,"Signal (1 TeV, R$_{inv}$ 0.6) [Events / bin width]"
0.0125,0.0,0.025,227.496
0.05,0.025,0.075,274.833
0.1,0.075,0.125,686.313
0.15,0.125,0.175,1222.97
0.2,0.175,0.225,1141.39
0.25,0.225,0.275,1397.94
0.30000000000000004,0.275,0.325,1706.44
0.35,0.325,0.375,1850.25
0.4,0.375,0.425,2762
0.44999999999999996,0.425,0.475,3983.45
0.5,0.475,0.525,3992.44
0.55,0.525,0.575,6456.45
0.6,0.575,0.625,6889.01
0.65,0.625,0.675,8625.63
0.7,0.675,0.725,9366.46
0.75,0.725,0.775,10435.3
0.8,0.775,0.825,11658.7
0.85,0.825,0.875,14632.7
0.9,0.875,0.925,12330.2
0.95,0.925,0.975,1594.78

 p$_T$ balance, p$_T$ balance LOW, p$_T$ balance HIGH,"Signal (1 TeV, R$_{inv}$ 0.8) [Events / bin width]"
0.0125,0.0,0.025,151.66
0.05,0.025,0.075,240.809
0.1,0.075,0.125,495.76
0.15,0.125,0.175,864.842
0.2,0.175,0.225,1057.21
0.25,0.225,0.275,1484.9
0.30000000000000004,0.275,0.325,2248.43
0.35,0.325,0.375,2799.27
0.4,0.375,0.425,3849.23
0.44999999999999996,0.425,0.475,5132.83
0.5,0.475,0.525,6389.59
0.55,0.525,0.575,8680.38
0.6,0.575,0.625,10218.7
0.65,0.625,0.675,11766.2
0.7,0.675,0.725,15938.4
0.75,0.725,0.775,16536.1
0.8,0.775,0.825,19884.3
0.85,0.825,0.875,25450.6
0.9,0.875,0.925,22285.4
0.95,0.925,0.975,4107.79

 p$_T$ balance, p$_T$ balance LOW, p$_T$ balance HIGH,"Signal (2 TeV, R$_{inv}$ 0.4) [Events / bin width]"
0.0125,0.0,0.025,7.49937
0.05,0.025,0.075,32.2765
0.1,0.075,0.125,51.4495
0.15,0.125,0.175,56.806
0.2,0.175,0.225,82.5186
0.25,0.225,0.275,100.309
0.30000000000000004,0.275,0.325,110.289
0.35,0.325,0.375,121.389
0.4,0.375,0.425,143.366
0.44999999999999996,0.425,0.475,160.519
0.5,0.475,0.525,158.843
0.55,0.525,0.575,158.939
0.6,0.575,0.625,161.829
0.65,0.625,0.675,191.197
0.7,0.675,0.725,196.006
0.75,0.725,0.775,197.684
0.8,0.775,0.825,243.172
0.85,0.825,0.875,247.32
0.9,0.875,0.925,296.626
0.95,0.925,0.975,96.4678

 p$_T$ balance, p$_T$ balance LOW, p$_T$ balance HIGH,"Signal (2 TeV, R$_{inv}$ 0.6) [Events / bin width]"
0.0125,0.0,0.025,19.3923
0.05,0.025,0.075,51.3186
0.1,0.075,0.125,103.938
0.15,0.125,0.175,161.017
0.2,0.175,0.225,152.855
0.25,0.225,0.275,200.541
0.30000000000000004,0.275,0.325,268.242
0.35,0.325,0.375,322.633
0.4,0.375,0.425,358.428
0.44999999999999996,0.425,0.475,458.732
0.5,0.475,0.525,478.184
0.55,0.525,0.575,496.23
0.6,0.575,0.625,548.594
0.65,0.625,0.675,578.94
0.7,0.675,0.725,646.387
0.75,0.725,0.775,757.476
0.8,0.775,0.825,803.635
0.85,0.825,0.875,974.52
0.9,0.875,0.925,1188.05
0.95,0.925,0.975,291.699

 p$_T$ balance, p$_T$ balance LOW, p$_T$ balance HIGH,"Signal (3 TeV, R$_{inv}$ 0.2) [Events / bin width]"
0.0125,0.0,0.025,0.542931
0.05,0.025,0.075,0.689526
0.1,0.075,0.125,1.15743
0.15,0.125,0.175,1.92779
0.2,0.175,0.225,1.55669
0.25,0.225,0.275,2.46414
0.30000000000000004,0.275,0.325,3.10383
0.35,0.325,0.375,3.16736
0.4,0.375,0.425,3.59929
0.44999999999999996,0.425,0.475,3.83981
0.5,0.475,0.525,3.01672
0.55,0.525,0.575,3.74236
0.6,0.575,0.625,3.30245
0.65,0.625,0.675,3.73966
0.7,0.675,0.725,3.55564
0.75,0.725,0.775,3.25299
0.8,0.775,0.825,4.76152
0.85,0.825,0.875,4.11673
0.9,0.875,0.925,5.00166
0.95,0.925,0.975,2.52061

 p$_T$ balance, p$_T$ balance LOW, p$_T$ balance HIGH,"Signal (3 TeV, R$_{inv}$ 0.4) [Events / bin width]"
0.0125,0.0,0.025,0.415112
0.05,0.025,0.075,1.46929
0.1,0.075,0.125,1.93035
0.15,0.125,0.175,2.74899
0.2,0.175,0.225,3.99731
0.25,0.225,0.275,4.09509
0.30000000000000004,0.275,0.325,5.85601
0.35,0.325,0.375,6.01271
0.4,0.375,0.425,7.45613
0.44999999999999996,0.425,0.475,6.79376
0.5,0.475,0.525,7.33109
0.55,0.525,0.575,6.29047
0.6,0.575,0.625,8.54447
0.65,0.625,0.675,7.95406
0.7,0.675,0.725,7.84562
0.75,0.725,0.775,8.64999
0.8,0.775,0.825,8.46077
0.85,0.825,0.875,11.1811
0.9,0.875,0.925,13.2644
0.95,0.925,0.975,5.86226

 p$_T$ balance, p$_T$ balance LOW, p$_T$ balance HIGH,Total Bkg. [Events / bin width],stat+syst +,stat+syst -
0.0125,0.0,0.025,37.4837,9.4864,-9.4864
0.05,0.025,0.075,70.9736,10.4491,-10.4491
0.1,0.075,0.125,99.1006,9.95693,-9.95693
0.15,0.125,0.175,149.359,11.9196,-11.9196
0.2,0.175,0.225,209.993,15.6412,-15.6412
0.25,0.225,0.275,273.064,19.3369,-19.3369
0.30000000000000004,0.275,0.325,358.23,17.0237,-17.0237
0.35,0.325,0.375,469.927,26.8359,-26.8359
0.4,0.375,0.425,531.996,21.6605,-21.6605
0.44999999999999996,0.425,0.475,569.554,22.4642,-22.4642
0.5,0.475,0.525,681.56,25.2644,-25.2644
0.55,0.525,0.575,766.073,26.7218,-26.7218
0.6,0.575,0.625,840.431,31.5086,-31.5086
0.65,0.625,0.675,1031.64,36.0954,-36.0954
0.7,0.675,0.725,1199.38,40.1361,-40.1361
0.75,0.725,0.775,1534.08,68.7991,-68.7991
0.8,0.775,0.825,1898.59,60.8067,-60.8067
0.85,0.825,0.875,2943.73,68.676,-68.676
0.9,0.875,0.925,3066.93,72.7982,-72.7982
0.95,0.925,0.975,628.807,31.5105,-31.5105

 p$_T$ balance, p$_T$ balance LOW, p$_T$ balance HIGH,Data [Events / bin width]
0.0125,0.0,0.025,25
0.05,0.025,0.075,75
0.1,0.075,0.125,96
0.15,0.125,0.175,148
0.2,0.175,0.225,208
0.25,0.225,0.275,292
0.30000000000000004,0.275,0.325,341
0.35,0.325,0.375,465
0.4,0.375,0.425,531
0.44999999999999996,0.425,0.475,628
0.5,0.475,0.525,644
0.55,0.525,0.575,719
0.6,0.575,0.625,827
0.65,0.625,0.675,1010
0.7,0.675,0.725,1183
0.75,0.725,0.775,1519
0.8,0.775,0.825,2079
0.85,0.825,0.875,2914
0.9,0.875,0.925,3054
0.95,0.925,0.975,630

