#: table_doi: 10.17182/hepdata.144506.v1/t5
#: name: |$\phi_{\textrm{max}} - \phi_{\textrm{min}}$| distribution
#: description: The post-fit distributions of |$\phi_{\textrm{max}} - \phi_{\textrm{min}}$| for the SR. Data are compared with background predictions, and six signal predictions covering a representative mediator mass and invisible fraction range are overlaid. The uncertainties include all systematic and statistical components. The last bin contains the overflow.
#: data_file: MMPHI_hd.yaml
#: keyword cmenergies: 13000.0
 max$\phi$ - min$\phi$, max$\phi$ - min$\phi$ LOW, max$\phi$ - min$\phi$ HIGH,"Signal (1 TeV, R$_{inv}$ 0.6) [Events / bin width]"
0.035,0.0,0.07,0
0.14,0.07,0.21,103.547
0.27999999999999997,0.21,0.35,226.652
0.42,0.35,0.49,337.53
0.56,0.49,0.63,578.69
0.7,0.63,0.77,1004.64
0.8400000000000001,0.77,0.91,1137.64
0.98,0.91,1.05,1730.73
1.12,1.05,1.19,2774.88
1.26,1.19,1.33,2496.51
1.4,1.33,1.47,2330.03
1.54,1.47,1.61,3272.62
1.6800000000000002,1.61,1.75,3157.17
1.8199999999999998,1.75,1.89,3310.51
1.96,1.89,2.03,3683.48
2.0999999999999996,2.03,2.17,5080.18
2.24,2.17,2.31,7145.94
2.38,2.31,2.45,9632.02
2.52,2.45,2.59,12938.9
2.66,2.59,2.73,14355.9
2.8,2.73,2.87,15199.7
2.94,2.87,3.01,9294.11
3.08,3.01,3.15,1443.46

 max$\phi$ - min$\phi$, max$\phi$ - min$\phi$ LOW, max$\phi$ - min$\phi$ HIGH,"Signal (1 TeV, R$_{inv}$ 0.8) [Events / bin width]"
0.035,0.0,0.07,136.494
0.14,0.07,0.21,234.201
0.27999999999999997,0.21,0.35,562.716
0.42,0.35,0.49,986.924
0.56,0.49,0.63,1966.37
0.7,0.63,0.77,3147.06
0.8400000000000001,0.77,0.91,4857.22
0.98,0.91,1.05,5712.72
1.12,1.05,1.19,5935.64
1.26,1.19,1.33,6427.31
1.4,1.33,1.47,5688.41
1.54,1.47,1.61,6326.57
1.6800000000000002,1.61,1.75,6530.58
1.8199999999999998,1.75,1.89,7876.29
1.96,1.89,2.03,7852.58
2.0999999999999996,2.03,2.17,8853.21
2.24,2.17,2.31,11820.2
2.38,2.31,2.45,13444.9
2.52,2.45,2.59,16060.8
2.66,2.59,2.73,17523.2
2.8,2.73,2.87,15181.3
2.94,2.87,3.01,10720.1
3.08,3.01,3.15,1737.54

 max$\phi$ - min$\phi$, max$\phi$ - min$\phi$ LOW, max$\phi$ - min$\phi$ HIGH,"Signal (2 TeV, R$_{inv}$ 0.4) [Events / bin width]"
0.035,0.0,0.07,0
0.14,0.07,0.21,1.39589
0.27999999999999997,0.21,0.35,0.483181
0.42,0.35,0.49,3.93135
0.56,0.49,0.63,2.81228
0.7,0.63,0.77,4.64996
0.8400000000000001,0.77,0.91,8.25678
0.98,0.91,1.05,13.2852
1.12,1.05,1.19,15.5054
1.26,1.19,1.33,14.8734
1.4,1.33,1.47,22.8743
1.54,1.47,1.61,31.0968
1.6800000000000002,1.61,1.75,39.0605
1.8199999999999998,1.75,1.89,70.6703
1.96,1.89,2.03,106.793
2.0999999999999996,2.03,2.17,161.714
2.24,2.17,2.31,240.414
2.38,2.31,2.45,309.563
2.52,2.45,2.59,363.844
2.66,2.59,2.73,406.913
2.8,2.73,2.87,502.473
2.94,2.87,3.01,414.748
3.08,3.01,3.15,79.1481

 max$\phi$ - min$\phi$, max$\phi$ - min$\phi$ LOW, max$\phi$ - min$\phi$ HIGH,"Signal (2 TeV, R$_{inv}$ 0.6) [Events / bin width]"
0.035,0.0,0.07,1.4597
0.14,0.07,0.21,4.06083
0.27999999999999997,0.21,0.35,11.3318
0.42,0.35,0.49,15.6108
0.56,0.49,0.63,28.1511
0.7,0.63,0.77,34.7417
0.8400000000000001,0.77,0.91,72.4491
0.98,0.91,1.05,78.4013
1.12,1.05,1.19,76.8348
1.26,1.19,1.33,117.625
1.4,1.33,1.47,135.388
1.54,1.47,1.61,169.448
1.6800000000000002,1.61,1.75,232.628
1.8199999999999998,1.75,1.89,300.208
1.96,1.89,2.03,444.136
2.0999999999999996,2.03,2.17,612.232
2.24,2.17,2.31,815.421
2.38,2.31,2.45,957.295
2.52,2.45,2.59,1126.6
2.66,2.59,2.73,1290.59
2.8,2.73,2.87,1199.81
2.94,2.87,3.01,980.646
3.08,3.01,3.15,155.743

 max$\phi$ - min$\phi$, max$\phi$ - min$\phi$ LOW, max$\phi$ - min$\phi$ HIGH,"Signal (3 TeV, R$_{inv}$ 0.2) [Events / bin width]"
0.035,0.0,0.07,0
0.14,0.07,0.21,0.0624395
0.27999999999999997,0.21,0.35,0
0.42,0.35,0.49,0
0.56,0.49,0.63,0
0.7,0.63,0.77,0.0162674
0.8400000000000001,0.77,0.91,0.0553012
0.98,0.91,1.05,0.14681
1.12,1.05,1.19,0.0643081
1.26,1.19,1.33,0.128545
1.4,1.33,1.47,0.0204506
1.54,1.47,1.61,0.147679
1.6800000000000002,1.61,1.75,0.51758
1.8199999999999998,1.75,1.89,0.446674
1.96,1.89,2.03,1.30766
2.0999999999999996,2.03,2.17,1.58763
2.24,2.17,2.31,2.34026
2.38,2.31,2.45,3.62679
2.52,2.45,2.59,5.90662
2.66,2.59,2.73,8.63155
2.8,2.73,2.87,12.4934
2.94,2.87,3.01,17.2089
3.08,3.01,3.15,4.35031

 max$\phi$ - min$\phi$, max$\phi$ - min$\phi$ LOW, max$\phi$ - min$\phi$ HIGH,"Signal (3 TeV, R$_{inv}$ 0.4) [Events / bin width]"
0.035,0.0,0.07,0
0.14,0.07,0.21,0.0562212
0.27999999999999997,0.21,0.35,0.0510509
0.42,0.35,0.49,0.107635
0.56,0.49,0.63,0.00493204
0.7,0.63,0.77,0.052834
0.8400000000000001,0.77,0.91,0.383217
0.98,0.91,1.05,0.242546
1.12,1.05,1.19,0.460755
1.26,1.19,1.33,0.442076
1.4,1.33,1.47,0.399321
1.54,1.47,1.61,0.844289
1.6800000000000002,1.61,1.75,1.50827
1.8199999999999998,1.75,1.89,1.67471
1.96,1.89,2.03,3.41063
2.0999999999999996,2.03,2.17,4.60327
2.24,2.17,2.31,7.32313
2.38,2.31,2.45,9.72039
2.52,2.45,2.59,14.2729
2.66,2.59,2.73,19.0142
2.8,2.73,2.87,28.1155
2.94,2.87,3.01,27.2782
3.08,3.01,3.15,6.20283

 max$\phi$ - min$\phi$, max$\phi$ - min$\phi$ LOW, max$\phi$ - min$\phi$ HIGH,Total Bkg. [Events / bin width],stat+syst +,stat+syst -
0.035,0.0,0.07,2.18609,0.820882,-0.820882
0.14,0.07,0.21,3.74823,1.01412,-1.01412
0.27999999999999997,0.21,0.35,10.7997,2.31714,-2.31714
