pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
433.614 -0.724334 -1.80357 430.137 -0.891379 0.464171 808.729 0.612545 0.538109 0.76876 0.639455 153.453 1.08226 0.618092 1639.94 92.9047 7.43237
836.899 -1.08789 0.898238 737.868 -0.60753 3.06268 1451.81 0.506901 0.289377 0.716503 0.677702 89.8729 -1.55604 1.66446 2378.74 92.9047 8.44588
554.827 0.672552 -0.512925 530.89 -0.203326 1.31988 1004.32 0.441584 0.816492 0.668038 0.786956 12.0853 -2.97329 1.99001 1847.99 92.9047 7.83533
888.796 0.723396 -0.628368 699.729 -0.102414 2.34669 1724.62 0.369495 0.245824 0.709804 0.598165 188.905 1.25206 1.09463 2100.2 92.9047 8.25819
988.988 0.876205 2.76191 698.342 0.959135 -1.32541 1506.56 0.666886 0.427687 0.626464 0.560089 144.853 0.438474 1.76389 2473.68 92.9047 9.67757
441.822 0.508554 2.30237 392.48 -2.45317 0.154216 1894.8 0.625692 0.47247 0.493803 0.788489 158.967 -2.77888 1.20194 1546.93 92.9047 10.4281
552.315 0.737659 1.29872 341.978 1.12422 -0.912993 817.597 0.724183 0.620674 0.777394 0.791373 361.8 -2.50201 1.58902 1029.73 92.9047 10.5944
469.482 2.32161 -1.78148 289.681 -0.147411 1.16077 1384.16 0.549644 0.653066 0.326075 0.605022 142.998 0.998186 0.16258 1222.83 92.9047 9.74525
779.223 -0.772464 1.9822 506.416 -0.642313 -0.40979 1208.92 0.151827 0.540929 0.648824 0.772535 52.598 -0.321341 0.0884489 2033.37 92.9047 9.63036
767.12 -0.720027 1.2595 481.245 -0.105721 -1.07537 1216.82 0.401615 0.245584 0.632128 0.726664 176.269 -2.39853 1.32316 1731.73 92.9047 9.95407
960.527 0.12599 -1.88074 668.255 -1.2322 1.25669 2015.51 0.596453 0.472427 0.610918 0.508293 24.2699 1.58399 0.327296 1994.77 92.9047 9.05225
876.843 -0.0117773 2.52227 801.541 -2.01667 -0.64261 2602.84 0.619832 0.470879 0.397195 0.788609 103.047 1.61222 0.910051 2223.17 92.9047 9.48007
497.805 -0.656456 2.55022 407.047 -0.132887 -0.989224 929.869 0.732039 0.708953 0.766418 0.646598 34.254 -1.62005 0.630821 1564.83 92.9047 9.61083
568.552 -1.11922 1.85937 484.666 -0.163666 0.420302 886.897 0.494416 0.623442 0.412894 0.857912 327.951 -1.72318 2.14348 1628.87 92.9047 9.46251
673.82 1.0952 2.49836 588.478 0.0173607 -0.524041 1461.78 0.746035 0.335327 0.741408 0.753758 14.4905 -0.869468 0.345427 1991.69 92.9047 8.88332
472.438 -0.353987 -2.42682 340.159 -0.827625 0.871955 835.859 0.560878 0.599788 0.609682 0.72854 12.7106 -0.555961 1.42792 1075.58 92.9047 9.14416
528.33 1.43875 -1.21112 423.199 -0.926849 0.992167 1658.37 0.718466 0.321426 0.698796 0.716565 36.2663 1.60975 0.617587 1422.94 92.9047 8.81577
579.772 -0.0303054 1.18742 417.513 0.790092 -1.61131 1081.89 0.499958 0.622947 0.738125 0.72975 215.81 -2.6026 0.991286 1057.13 92.9047 9.15962
603.888 -0.718125 -0.874184 513.168 -1.28016 1.14652 1019.75 0.44863 0.696924 0.690374 0.60627 42.286 -2.96227 2.08809 1926.58 92.9047 9.48007
852.682 -0.0411547 -0.879688 513.635 -0.33537 2.6876 1322.91 0.191226 0.739171 0.658521 0.805813 40.2404 2.5048 0.182798 2126.81 92.9047 9.64105
515.207 -1.89097 1.6705 344.719 -1.40951 -1.04569 863.546 0.71538 0.626881 0.832547 0.698337 115.509 -1.49023 0.444533 1037.72 92.9047 9.90207
427.922 1.18517 -3.0011 375.713 1.08786 -1.24261 649.502 0.812651 0.578396 0.754753 0.702965 373.94 1.68549 1.5966 1240.46 92.9047 9.91361
625.096 0.727033 -2.71782 385.684 2.45605 -0.384428 1334.4 0.813031 0.253643 0.79874 0.764531 84.2146 1.61689 1.94847 1612.02 92.9047 10.17
664.747 -1.36552 -2.1071 594.122 0.455046 0.526062 1809.49 0.433957 0.419239 0.68867 0.74226 28.5507 1.62044 1.09438 2080.6 92.9047 10.2657
971.57 -1.1459 -0.31086 627.332 -0.721096 2.92176 1698.31 0.304182 0.580787 0.627433 0.731078 17.4046 -0.679442 0.368582 2163.51 92.9047 10.2395
696.994 0.900645 -2.6962 516.56 0.239599 -0.489884 1157.45 0.383748 0.60452 0.578496 0.482528 104.297 -0.325341 0.164543 1914.11 92.9047 9.79142
685.571 -0.558082 0.512709 653.259 0.213385 -3.06419 1419.78 0.503607 0.701934 0.479317 0.72758 157.145 1.38841 0.875701 1879.99 92.9047 9.25192
1065.52 0.344566 1.33842 494.426 -0.92813 -1.60328 1807.65 0.188955 0.677194 0.650532 0.62871 510.938 -1.49924 0.104037 1936.26 92.9047 9.79928
659.647 -1.30235 2.20492 413.621 -1.43409 -1.45013 1032.02 0.332546 0.487263 0.667177 0.671169 230.544 -0.509122 0.94101 1297.85 92.9047 9.85629
513.863 -0.683477 0.938952 415.792 -0.881586 -1.91885 976.385 0.328772 0.46803 0.862691 0.633633 210.994 -2.1627 0.243857 1223.58 92.9047 9.55403
674.681 -0.655945 -0.260299 565.931 -1.14419 1.47516 1004.25 0.464118 0.594795 0.445007 0.647164 65.8072 1.82146 0.3463 2127.15 92.9047 9.51242
756.955 -0.672123 -1.28844 582.116 -0.260608 2.88319 1201 0.482148 0.465162 0.527723 0.63491 98.1669 1.03815 1.84504 1985.12 92.9047 9.74001
523.946 0.504551 1.38194 430.56 -0.186748 -2.55026 946.942 0.205212 0.708191 0.397751 0.781051 85.3845 2.35305 0.971114 1591.97 92.9047 9.80894
818.696 0.0289065 -1.12986 509.05 -1.02322 1.80069 1517.03 0.634575 0.243565 0.501469 0.713943 81.9239 1.43192 0.368771 1776.69 92.9047 9.78669
735.448 -1.63565 1.00116 435.473 -1.0437 2.64723 903.165 0.460335 0.621246 0.366313 0.749864 695.947 -1.26447 2.26563 1616.31 92.9047 9.70847
558.456 0.85927 2.45211 430.091 -0.376235 -2.3622 933.551 0.586603 0.434632 0.691492 0.601176 531.746 -0.128659 2.23354 1317.73 92.9047 9.81482
839.143 -0.269137 1.16507 479.76 -0.234147 -1.59603 1289.24 0.339907 0.202504 0.569893 0.538729 160.224 -2.69485 1.09882 1709.41 92.9047 10.0581
441.62 1.41671 -2.3491 395.056 0.754372 0.996445 898.103 0.407333 0.465879 0.172735 0.805039 64.4369 -2.26729 0.0818162 1075.21 92.9047 10.1556
493.949 -0.223203 0.555223 396.979 -2.23255 2.7971 1332.04 0.836431 0.570392 0.687037 0.711151 34.819 2.28863 0.508466 1401.41 92.9047 10.2671
570.482 0.183234 -0.956863 300.042 1.3531 2.53628 973.579 0.467811 0.472827 0.809367 0.693554 51.0503 -1.94128 0.984417 1472.83 92.9047 10.246
401.784 1.27304 0.553128 358.505 1.68089 -1.00536 569.877 0.546189 0.645587 0.656302 0.782985 378.735 2.24384 1.69071 1168.59 92.9047 10.4617
571.915 1.00842 -2.2046 538.625 -0.0113476 2.38225 1037.37 0.202054 0.611373 0.686986 0.717018 21.1219 1.7466 0.635643 1964.24 92.9047 10.4476
560.232 -1.63609 -1.89912 555.059 0.535066 1.00856 1864.57 0.352557 0.55676 0.474137 0.794338 20.2695 2.17874 1.17017 1554.24 92.9047 10.5471
1052.63 -0.543802 2.81465 612.006 0.328644 -1.23848 1622.89 0.725541 0.696204 0.76244 0.509659 634.984 0.265258 1.50373 1980.8 92.9047 10.6146
330.187 -0.183562 1.35821 325.36 -0.157109 -2.18947 650.525 0.672236 0.718187 0.757503 0.761107 129.422 -2.2578 0.0683281 952.611 92.9047 10.4135
796.977 -0.730627 -0.432254 570.328 -1.77959 2.81498 1580.28 0.55455 0.194618 0.755604 0.389546 40.4675 -2.76876 0.69944 1831.99 92.9047 10.3782
653.256 0.480644 2.61805 577.653 1.82408 -0.337619 1565.61 0.628879 0.340938 0.752394 0.789781 125.441 -0.962892 0.625273 1337.03 92.9047 10.3337
593.672 0.503881 -0.6482 311.029 -0.0178926 1.39165 779.449 0.687515 0.555822 0.636057 0.799931 549.537 2.6417 1.25005 1531.86 92.9047 10.3654
466.176 0.162177 1.09619 458.479 -0.376782 2.14629 566.74 0.650252 0.601964 0.785294 0.663754 331.357 -0.999497 2.09569 1794.66 92.9047 10.2916
360.464 -0.402707 -2.83645 328.612 -1.3261 2.48509 489.719 0.728584 0.47417 0.805258 0.701463 224.442 -0.605244 2.23121 1118.82 92.9047 10.1838
618.096 0.678392 0.456928 558.597 -2.22797 -2.63597 2659.9 0.647033 0.665483 0.836742 0.584693 144.827 -0.316873 0.773801 1600.51 92.9047 10.2534
646.32 -0.698697 0.576644 591.364 0.352288 -1.58428 1296.18 0.608651 0.500446 0.746556 0.569382 257.144 -2.31951 0.735234 1869.74 92.9047 10.179
471.945 -0.553284 -1.55944 353.788 0.11319 -3.1122 652.934 0.571808 0.431952 0.575727 0.588842 455.218 1.01188 2.15911 1053.37 92.9047 9.98354
555.219 1.73493 2.94444 508.652 -0.26971 -0.938501 1627.26 0.421644 0.406981 0.812291 0.421927 70.3299 2.90157 0.042876 1635.3 92.9047 9.79607
673.338 0.140835 -1.29409 326.708 -1.77999 0.300368 1303.27 0.70496 0.405873 0.655919 0.814197 630.901 1.92335 1.62298 1534.93 92.9047 9.87847
629.177 -0.911816 -2.17885 405.622 -0.771112 1.82726 975.479 0.595244 0.515377 0.748304 0.39102 13.6586 2.64463 0.817369 1644.24 92.9047 10.029
588.427 1.85906 -2.3335 441.375 2.0154 1.35824 999.407 0.694415 0.432163 0.710543 0.70824 435.54 0.781151 0.577088 1717.65 92.9047 9.79089
560.519 -1.43883 -1.13051 479.305 0.930421 1.41454 1835.56 0.718585 0.504616 0.67211 0.602566 115.438 0.338441 1.0761 1641.23 92.9047 9.89731
554.365 0.252249 -2.48631 450.939 1.84732 -0.145505 1329.02 0.420519 0.699454 0.752584 0.717062 282.356 2.8992 0.897676 1551.5 92.9047 9.77199
909.431 -0.20527 -1.46566 408.338 -2.55985 2.47361 2122.42 0.593214 0.598191 0.847719 0.649601 70.5203 1.6962 0.777406 2091.5 92.9047 9.58755
847.881 0.167688 2.22273 830.968 0.356424 -0.336648 1628.05 0.531321 0.769832 0.79701 0.707935 44.0098 -0.481937 0.145289 2384.42 92.9047 9.74108
750.736 -0.207999 0.7153 479.441 1.03949 -2.868 1522.3 0.273063 0.315294 0.708298 0.397174 42.3179 -0.281982 0.997282 1832.28 92.9047 9.79337
766.283 0.284643 -0.489955 433.059 0.0808484 -2.83883 1083.79 0.721913 0.646332 0.657902 0.787173 574.327 1.72127 1.72308 1783.55 92.9047 9.81063
624.174 2.0076 -2.8855 511.951 -0.174135 1.17721 1836.63 0.38119 0.694225 0.73567 0.52873 34.9904 -1.2987 1.5868 1683.11 92.9047 9.8416
759.817 0.585191 -0.719211 571.535 1.32501 -2.06178 974.712 0.361795 0.561496 0.685385 0.601479 1028.32 2.00166 2.21975 1578.61 92.9047 9.66157
639.632 -0.683871 -1.81238 491.939 -0.685034 0.257404 980.374 0.388826 0.426255 0.611573 0.736279 34.2224 0.835312 0.577907 1798.59 92.9047 9.71887
939.552 -0.994321 -0.599079 332.359 -0.143128 -2.63393 1141.38 0.680277 0.569892 0.555409 0.800757 754.123 2.23303 1.41622 1958.98 92.9047 9.90645
599.265 -1.01864 -1.77402 363.129 -1.6312 0.994575 997.34 0.562011 0.650783 0.619974 0.730655 4.73027 0.871875 0.122701 1283.5 92.9047 9.86488
373.646 -0.910558 -0.2437 372.889 -1.91514 -2.40463 843.099 0.446376 0.526884 0.792506 0.599848 284.444 1.95436 1.9242 870.128 92.9047 9.88083
785.242 -0.0712776 -0.665274 283.043 0.896368 2.01266 1056.26 0.360483 0.844431 0.540978 0.559438 302.22 2.25669 0.244029 1503.43 92.9047 9.92306
735.505 0.109682 2.26363 667.647 0.512812 -1.46727 1388.44 0.608506 0.206243 0.735114 0.579168 79.0599 -1.55097 0.0836966 2230.97 92.9047 9.85353
633.485 -0.252785 -2.33387 606.816 -0.779621 1.41145 1237.63 0.161827 0.383397 0.485714 0.547877 119.437 1.70873 0.297283 1943.29 92.9047 9.69752
712.458 -0.246929 2.65632 592.228 0.460008 -0.811406 1373.39 0.568341 0.589687 0.652987 0.643494 13.8903 2.97346 0.317134 1999.21 92.9047 9.7323
560.486 -0.453991 -0.964184 540.039 -0.881021 1.81607 1122.6 0.448572 0.663856 0.576832 0.778938 299.672 2.94991 1.13384 1665.59 92.9047 9.74816
787.474 -0.015579 -0.122891 699.871 -0.667725 2.93262 1600.91 0.636615 0.52093 0.769726 0.801555 102.03 2.80132 0.131299 2500.1 92.9047 9.44502
881.806 -0.0348245 -0.806393 687.46 0.496844 2.11994 1742.73 0.189857 0.345779 0.752452 0.694288 47.2077 -2.8749 1.28834 1938.12 92.9047 9.49641
737.262 0.876974 -1.9217 443.651 1.55134 0.52653 1160.58 0.348751 0.720932 0.55856 0.731511 55.3008 0.954062 0.427532 1691.34 92.9047 9.50679
337.482 0.768852 0.791348 318.939 2.56158 -2.29016 951.663 0.667403 0.689954 0.452569 0.769415 41.0527 -2.57096 0.280801 712.828 92.9047 9.49969
635.828 0.439414 -0.824276 574.737 0.452767 2.64601 1248.32 0.315143 0.418089 0.677169 0.521589 244.381 -0.534476 0.289801 1628.13 92.9047 9.54461
873.528 -0.0958431 0.0258853 731.825 -0.138227 -2.7712 1591.74 0.555874 0.55362 0.760344 0.721527 40.3131 1.35033 1.32444 2048.48 92.9047 9.50861
643.743 0.966199 -1.5257 639.611 0.227391 2.56928 1250.77 0.641706 0.571956 0.66157 0.781634 154.797 0.849989 1.7193 1834.99 92.9047 9.51036
601.706 0.483507 -0.824981 592.227 -0.863432 2.25495 1511.63 0.485288 0.531995 0.723026 0.827554 27.797 -2.63818 1.39006 2238.64 92.9047 9.55248
705.946 -1.62595 -2.31634 430.695 -1.13927 0.694252 1189.85 0.593084 0.289473 0.690783 0.656694 29.5216 0.234634 0.459618 1491.87 92.9047 9.44611
491.106 -0.605636 -2.6424 469.727 -0.232642 1.42853 896.152 0.494612 0.431658 0.326241 0.779252 96.2438 -1.90803 0.734371 1496.21 92.9047 9.34325
663.972 -0.702748 -1.27196 621.408 0.212009 2.82613 1300.19 0.350454 0.752933 0.465391 0.69065 88.8388 2.0888 0.737337 2222.19 92.9047 9.40607
950.713 1.22431 3.05424 930.746 -0.304843 -0.653575 2420.71 0.48312 0.542898 0.500921 0.478421 23.469 0.477197 1.13077 2576.38 92.9047 9.46833
764.128 -0.358084 -1.24447 699.266 -0.640413 1.78283 1488.29 0.324584 0.724336 0.756826 0.685448 12.1191 2.2757 0.49287 2073.88 92.9047 9.57137
565.058 -0.978931 -1.13471 395.408 2.24118 2.53593 2453.06 0.669303 0.717806 0.672901 0.690742 73.1823 1.38474 1.15119 1509.83 92.9047 9.59482
646.539 0.0194538 2.82849 350.105 1.39984 0.623339 1127.77 0.597733 0.570542 0.697711 0.831498 25.1096 0.0726828 0.550656 1560.04 92.9047 9.58784
604.462 0.54295 -0.729574 591.874 0.37984 2.33177 1209.36 0.692278 0.702413 0.75556 0.860314 157.191 0.115444 0.845018 2324.86 92.9047 9.57045
602.103 -0.0213146 -1.98065 529.999 -0.640029 2.77752 891.576 0.628502 0.76164 0.722029 0.660338 74.9015 -1.66628 0.314371 2095.6 92.9047 9.61609
421.28 -0.927973 -0.640423 390.749 0.334648 2.58551 989.751 0.710104 0.561287 0.695915 0.679344 27.6352 -1.14241 0.501988 1570.18 92.9047 9.60216
743.944 0.121255 -1.66445 657.475 0.672632 2.04056 1512.32 0.327806 0.705193 0.772061 0.778826 311.368 0.367556 1.67301 1582.58 92.9047 9.69527
696.1 -0.691002 1.58168 576.968 0.910498 -0.644632 1614.39 0.731933 0.677252 0.755845 0.711479 45.7621 2.17002 0.588344 2005.64 92.9047 9.68066
617.091 -0.985716 3.04396 580.934 -1.24225 -0.131654 1311.81 0.330505 0.585316 0.707809 0.76932 151.606 2.49372 0.550241 1447.09 92.9047 9.5773
570.193 0.324647 0.310852 564.332 -0.380977 -1.42149 975.16 0.730044 0.581148 0.659757 0.743709 387.837 2.50648 2.19563 1549 92.9047 9.58923
639.758 1.32219 0.374066 549.851 0.488338 2.06161 1048.57 0.409588 0.469983 0.760278 0.817023 153.656 -2.82892 1.39266 2185.18 92.9047 9.66555
567.902 -1.03403 -0.000214269 355.26 -0.336926 -2.69774 949.124 0.340634 0.472347 0.525344 0.837931 200.179 2.59209 0.993361 1037.63 92.9047 9.70861
719.708 -0.153832 -1.1413 509.261 -0.692291 3.01739 1122.04 0.340221 0.586237 0.519861 0.734446 67.5962 -1.82686 0.685562 2018.35 92.9047 9.72425
360.47 -2.73308 -2.14759 342.715 0.412504 1.22575 1776.56 0.227798 0.467585 0.424939 0.827653 95.4611 2.96188 1.17371 965.626 92.9047 9.57876
474.331 0.383375 0.54918 254.767 -2.77967 -2.15391 1803.49 0.0848817 0.516741 0.659004 0.795675 26.7725 2.50332 1.62596 1107.45 92.9047 9.58687
498.053 -1.12019 1.919 445.692 1.10262 -1.61072 1595.41 0.624291 0.619413 0.791893 0.440024 146.936 -3.0423 1.32188 1444.77 92.9047 9.60766
526.335 0.407394 2.59888 523.999 -1.28571 0.122602 1428.58 0.3358 0.541324 0.44816 0.759145 57.9183 -0.294457 0.417059 1534.34 92.9047 9.64408
