pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
478.933 1.55856 -2.10537 331.115 0.18272 0.527491 997.971 0.721718 0.854883 0.810496 0.682485 62.8374 1.55413 1.02664 1058.6 92.9047 5.16137
750.528 -1.51572 -1.19089 566.509 -1.1155 -2.87736 1090.06 0.716044 0.629444 0.670563 0.886317 500.778 1.34704 2.05879 1677.78 92.9047 7.74206
973.094 0.543008 2.0107 710.256 -1.2478 -1.1115 2389.66 0.777987 0.564712 0.732553 0.757957 70.5663 0.533092 1.47761 2076.33 92.9047 9.48007
620.635 0.546205 2.3856 322.07 2.83629 2.90102 1365.48 0.662858 0.789402 0.825681 0.749243 904.303 -0.809262 2.57291 1664.71 92.9047 8.99078
797.727 -1.12504 -1.17495 274.203 0.365842 -1.85352 878.593 0.321002 0.753032 0.743399 0.687864 880.86 1.83462 2.59505 1099.63 92.9047 9.17577
631.399 -0.106832 1.28331 508.553 -1.54374 3.029 1276.62 0.507214 0.831323 0.871998 0.792366 520.161 -0.619473 1.90278 1710.27 92.9047 10.074
591.728 -1.4667 0.24707 403.477 0.22557 -2.24131 1387.71 0.807161 0.708004 0.897804 0.736955 520.603 3.05591 0.985967 1980.71 92.9047 9.1083
1274.55 -0.373232 -1.10474 693.18 0.0112888 2.5518 1924.29 0.654806 0.442988 0.69148 0.76659 265.134 1.5256 1.0262 2522.3 92.9047 8.51035
565.167 -0.745427 0.416651 538.843 1.88975 -2.76923 2274.98 0.431658 0.679699 0.702235 0.712536 67.5051 0.196276 0.220374 1535.2 92.9047 8.65571
734.96 1.11041 -1.22579 252.572 1.40737 0.00668259 631.98 0.329985 0.753664 0.885247 0.725224 724.122 2.16224 2.15555 1206.24 92.9047 9.07689
759.948 -0.187489 1.57689 562.016 -1.31246 -2.71143 1400.59 0.623288 0.723839 0.61067 0.835252 517.156 -0.907975 1.80346 1529.13 92.9047 8.80613
877.729 -0.893998 -2.56523 592.389 -0.26656 -0.225449 1434.69 0.505066 0.745961 0.71666 0.698723 72.1599 1.38522 1.61067 1973.22 92.9047 8.16317
470.049 -0.225289 -0.823518 412.908 -0.207339 1.49024 843.812 0.710477 0.757873 0.790543 0.755654 298.905 -3.07847 1.71448 868.881 92.9047 8.34246
394.336 1.73861 -2.1496 266.006 -1.58605 -2.03554 1658.72 0.785275 0.560674 0.865162 0.825727 213.921 1.18794 2.94564 1057.28 92.9047 8.54723
849.062 -0.543158 -2.90785 258.241 1.28743 0.291848 1419.52 0.294413 0.767344 0.566405 0.84494 472.721 0.165119 0.126729 1220.1 92.9047 8.31982
800.331 0.253673 0.149024 515.228 -1.14462 2.70273 1596.39 0.759769 0.735795 0.867503 0.842513 314.462 -2.1323 1.44816 1531.95 92.9047 8.41528
934.477 -0.579592 0.26967 521.704 -1.55487 1.30148 1038.09 0.560511 0.807895 0.64668 0.726654 1014.03 -2.47081 2.51089 1700.11 92.9047 8.65778
607.573 -0.374772 2.64298 585.37 0.152433 0.612542 1103.12 0.617147 0.839812 0.794045 0.834548 12.804 1.79045 0.852536 1785.99 92.9047 8.8015
626.049 -0.220772 -1.93728 351.797 -2.14566 -0.824091 1239.06 0.84962 0.803464 0.806518 0.860669 673.815 1.62943 2.45352 1439.65 92.9047 8.66314
1008.65 -0.299752 1.61405 396.101 -0.71859 -3.02391 1017.12 0.664183 0.747819 0.721827 0.833863 774.737 -1.12306 1.90084 1792.78 92.9047 8.68268
608.774 -1.75152 1.2217 425.587 0.403874 -2.7203 1650.03 0.790964 0.632789 0.840767 0.759529 339.17 -1.04704 1.67326 1122.78 -92.9047 8.26453
699.073 0.0966813 -1.45595 653.673 0.896687 0.670485 1345.56 0.177915 0.760898 0.82041 0.797262 198.842 2.3927 1.72222 1962.53 92.9047 7.98608
785.421 -1.36251 -2.0226 484.487 0.445786 0.500525 1774.72 0.593289 0.803952 0.839251 0.843928 167.456 0.900734 0.400209 2235.74 92.9047 7.95593
679.267 -1.34543 -0.0238833 627.567 -0.826392 2.91615 1378.93 0.63458 0.394474 0.837556 0.654535 96.9744 -2.18371 1.18332 1325.05 92.9047 8.24154
704.103 0.768162 -1.84908 471.114 -0.927145 1.8295 1581.98 0.787005 0.814991 0.797701 0.779577 205.534 0.269054 1.56045 1320.46 92.9047 8.33446
958.834 -0.459179 2.20449 654.801 -0.4762 -1.36877 1576.53 0.757872 0.60851 0.820732 0.701779 674.255 0.252519 1.62129 2232.64 92.9047 8.44588
683.151 1.38957 -2.25023 266.42 1.11927 2.73039 654.252 0.719169 0.490854 0.765163 0.650935 525.312 1.0003 1.73009 1251.31 92.9047 8.66469
1053.18 0.643096 2.72169 574.326 1.44506 -0.795572 1682.64 0.697335 0.465454 0.763308 0.70581 456.248 -0.451583 0.343989 1783.45 -92.9047 8.29506
630.26 -0.200317 -0.415406 467.454 0.442587 3.08175 1159.37 0.81074 0.786542 0.770567 0.743814 96.8595 0.506449 0.921855 1986.78 92.9047 8.32318
874.48 -1.54503 -2.85092 549.453 -1.40217 -0.655778 1271.38 0.755949 0.820406 0.785096 0.830211 48.5488 -1.85092 0.999995 2099.23 92.9047 7.88031
532.153 -1.17081 -2.92077 418.848 1.52355 -0.266156 1941.32 0.717444 0.745033 0.673044 0.816556 218.897 2.60003 0.762386 1537.64 92.9047 7.92841
893.058 0.576041 1.55721 711.783 -0.296628 -1.57476 1776.83 0.432108 0.893698 0.839372 0.7112 149.39 -1.7426 0.167841 1600.33 92.9047 8.08724
735.651 -0.476269 0.373299 722.344 0.237713 -3.09993 1564.95 0.672842 0.688505 0.760824 0.818672 108.82 1.41614 1.04284 1916.84 92.9047 8.48092
416.603 -0.0759209 -2.12716 312.827 2.4958 1.09233 1425.72 0.63229 0.773264 0.74417 0.714713 33.9632 -1.46975 0.657411 904.123 92.9047 8.60228
950.755 -0.620786 0.77532 474.927 -1.62931 -2.25897 1630.85 0.370918 0.744477 0.858931 0.833793 308.084 -2.38631 0.127346 2286.37 92.9047 8.82125
514.75 0.236298 2.55361 339.79 -0.350024 0.97653 682.829 0.513372 0.804857 0.64702 0.737286 590.716 -1.01523 1.99176 927.036 92.9047 8.97268
904.914 0.135328 -1.02885 551.896 0.138437 1.80589 1452.71 0.389432 0.731355 0.619607 0.820897 432.122 2.46837 0.662477 1504.65 92.9047 8.68268
708.923 0.995524 0.44703 464.503 -0.551399 2.68508 1488.74 0.225778 0.769949 0.780311 0.777265 102.881 -2.01029 1.58782 1779.19 92.9047 8.89695
565.913 -0.901131 1.1221 383.705 -2.17019 -2.43321 1155.74 0.732479 0.663961 0.839233 0.845021 234.578 -2.409 0.0242114 1250.03 92.9047 8.93638
537.584 -1.11885 -2.15074 409.348 0.327237 -2.93121 879.059 0.757099 0.646925 0.772425 0.81458 753.863 0.658831 2.69315 982.109 92.9047 9.03937
630.299 1.27571 0.905446 506.024 -1.16472 -0.345336 1911.42 0.623369 0.752285 0.826098 0.833295 262.041 3.04208 2.13663 2183.89 92.9047 9.12457
1027.92 -0.689438 0.770977 364.056 -0.453334 2.4165 977.852 0.805213 0.775727 0.690171 0.82743 1091.96 -1.91479 1.9519 2161.01 92.9047 9.3893
679.254 1.8438 1.47053 483.786 -0.0024009 3.07127 1529.13 0.788679 0.711141 0.705826 0.882121 563.087 -0.673199 2.14373 1717.06 92.9047 9.5778
903.169 -0.226047 -0.166546 703.006 -0.540581 -2.76383 1593.76 0.694828 0.784746 0.763823 0.745339 157.36 2.70067 0.818687 2192.76 92.9047 9.61083
616.831 -1.05037 -0.740513 523.688 0.172326 -2.83071 1283.02 0.59622 0.753976 0.705337 0.739673 283.896 1.59201 1.86047 1585.6 92.9047 9.77153
621.105 -0.223369 1.96642 292.54 0.734165 -1.46619 993.387 0.524723 0.650315 0.664547 0.873233 550.697 -1.21888 0.247312 1177.05 92.9047 9.77944
797.027 0.198391 2.40468 608.339 0.479601 -1.06495 1467.06 0.47111 0.553186 0.856128 0.857436 291.982 -0.322632 0.742319 1457.84 92.9047 9.52515
870.451 -0.0224187 -1.14822 760.357 0.185161 2.07718 1752.65 0.708007 0.304655 0.611237 0.804789 68.9438 -2.1247 0.97648 1973.27 92.9047 9.64885
743.503 -0.489032 -2.04206 386.697 1.27526 2.43931 1432.29 0.83639 0.814883 0.848299 0.781029 729.495 0.706695 1.73262 1838.19 92.9047 9.79376
451.886 -1.11754 0.946631 415.463 1.08971 -2.21399 1474.44 0.459557 0.655235 0.667818 0.599326 60.1202 -1.01972 1.19426 940.501 92.9047 9.73033
510.337 2.31417 -2.21352 286.736 0.632877 2.84811 950.593 0.787267 0.460532 0.79579 0.669179 381.371 0.241697 2.45521 1062.82 92.9047 9.91679
689.811 -0.580799 -2.2753 366.45 -1.40877 0.84877 1134.69 0.79752 0.671946 0.830183 0.752585 91.8903 1.63962 0.790848 1187.96 92.9047 9.88867
549.239 -1.40888 0.276968 342.881 -0.160614 1.10431 798.367 0.565947 0.453891 0.697609 0.802368 835.678 -2.37023 2.6472 1062.84 92.9047 9.48237
738.726 -0.601005 -2.94906 264.731 0.517093 0.0325767 1045.07 0.710641 0.684673 0.835734 0.878137 497.913 0.670344 0.637767 1143.35 92.9047 9.3448
985.884 0.585105 -2.9694 907.564 -0.793889 -0.00844989 2376.64 0.605089 0.553348 0.734636 0.832625 59.1884 -0.621627 0.613178 2273.22 92.9047 9.52868
920.4 -1.47801 2.8685 835.357 -1.68653 -0.165158 1817.16 0.727816 0.793677 0.87419 0.813107 67.307 -0.0089096 0.156248 2354.88 92.9047 9.35353
750.714 -0.191631 -2.57844 546.526 0.816794 0.237418 1461.37 0.824954 0.566513 0.855482 0.847815 35.626 -0.350234 0.587652 2278.03 92.9047 9.43727
639.326 -0.946305 1.83442 389.378 -1.95728 -1.42262 1164.29 0.829028 0.853696 0.756726 0.747091 293.491 -2.33801 0.915395 1298.89 92.9047 9.17212
794.146 0.437505 2.68108 434.712 2.0059 -0.761477 1579.38 0.792601 0.800175 0.78478 0.801518 380.28 -0.150082 0.611395 1175.2 92.9047 9.2511
771.435 1.62846 1.49347 481.979 0.544041 2.88976 1108.89 0.636197 0.774838 0.786991 0.585003 639.293 -1.11855 2.27488 1704.92 92.9047 9.23276
795.961 -1.22224 2.43505 576.495 0.383034 0.10665 1757.07 0.762079 0.831354 0.824246 0.752344 371.929 -1.21331 1.31996 1533.59 92.9047 9.07057
541.19 -0.287007 -1.56071 281.024 0.798833 3.13397 733.56 0.669105 0.676013 0.797297 0.807597 504.733 1.13948 1.99449 897.392 92.9047 9.22775
