pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
536.602 1.68354 -2.21076 354.443 0.133824 0.555621 1181.06 0.778979 0.692143 0.720647 0.810495 78.2344 0.389125 0.166496 1126.73 92.9047 5.16137
793.072 -1.52011 -1.19228 620.677 -1.14077 -2.84399 1167.31 0.771748 0.671963 0.830462 0.893773 506.574 1.37833 2.06087 1686.76 92.9047 7.74206
1053.48 0.568522 1.91631 778.161 -1.26006 -1.11719 2658.26 0.765723 0.641132 0.81582 0.859707 42.9464 -1.4183 0.301106 2123.16 92.9047 9.48007
613.795 0.565503 2.46883 362.197 -0.364531 1.73087 671.999 0.66484 0.640808 0.846696 0.697992 848.277 -0.734078 2.46495 1170.46 92.9047 8.99078
767.769 -1.16733 -1.17415 293.089 0.356108 -1.84465 919.633 0.406874 0.653723 0.789466 0.806825 873.092 1.83624 2.60229 1094.86 92.9047 9.17577
622.401 -0.25784 1.27355 536.871 -1.5629 3.0601 1273.32 0.617536 0.790583 0.674549 0.850773 564.398 -0.503546 1.7771 1643.49 92.9047 10.074
588.838 -1.48699 0.25592 381.278 0.310549 -2.2809 1394.95 0.791887 0.636371 0.857496 0.855564 487.392 3.02662 0.975663 1180.98 92.9047 9.1083
604.333 -0.409272 3.1193 545.645 -1.69758 1.93886 1098.77 0.74643 0.547312 0.833802 0.838948 804.237 -0.594803 2.53366 1060.91 92.9047 8.17561
1340.04 -0.429941 -1.07454 675.257 -0.0243347 2.53337 1973.57 0.832762 0.396494 0.689032 0.832818 75.9338 1.1356 1.39776 2540.18 92.9047 8.51035
528.512 1.91478 -2.81563 502.09 -0.787817 0.574018 2155.46 0.735385 0.693114 0.672342 0.777639 22.7724 1.29505 0.721035 1397.72 92.9047 8.65571
784.834 1.11937 -1.27904 273.049 1.50357 -0.0128043 705.151 0.382178 0.821985 0.866374 0.749656 765.975 2.12635 2.13916 1036.6 92.9047 9.07689
778.446 0.731623 -0.239481 428.247 -1.10531 2.24614 1678.59 0.766129 0.775955 0.793087 0.832374 485.843 2.81138 0.565241 1524.36 92.9047 9.03937
744.195 -0.220698 1.62322 612.337 -1.29097 -2.66641 1417.26 0.506253 0.745835 0.682209 0.836204 566.723 -0.740016 1.9264 1437.05 92.9047 8.80613
963.245 -0.942057 -2.51131 677.274 -0.293744 -0.33275 1613.12 0.632831 0.80927 0.892443 0.762635 152.694 1.41117 1.74392 2151.1 92.9047 8.16317
497.894 -0.273146 -0.746731 386.604 -0.344592 1.39631 817.915 0.763618 0.819777 0.808175 0.768024 296.082 3.03094 1.63463 887.674 92.9047 8.34246
478.744 1.69168 -2.13775 332.311 -1.66701 -2.10607 2090.34 0.788405 0.679712 0.746559 0.838012 273.677 1.01987 3.12557 1087.18 92.9047 8.54723
826.508 -0.654392 -2.94397 306.962 1.31251 0.280698 1619.65 0.2895 0.807985 0.769175 0.79395 407.412 0.139898 0.140799 1243.16 92.9047 8.31982
764.932 0.33764 0.0960605 535.989 -1.10503 2.70331 1637.08 0.759743 0.747604 0.799632 0.818033 196.755 -2.13192 1.44795 1503.08 92.9047 8.41528
934.238 -0.534211 0.22635 511.126 -1.55132 1.2996 1062.55 0.403657 0.558833 0.841516 0.85045 1023.07 -2.55931 2.42427 1637.14 92.9047 8.65778
607.218 -0.289948 2.62772 569.426 0.139405 0.653497 1050.19 0.563514 0.77081 0.836467 0.77694 53.0063 -1.6363 2.01917 1756.99 92.9047 8.8015
626.782 -0.291656 -2.01708 332.502 -2.17308 -0.756498 1224.13 0.91607 0.730606 0.74457 0.854978 643.919 1.61209 2.36858 910.551 92.9047 8.66314
1103.23 -0.266412 1.7022 409.41 -0.663131 -3.0411 1063.18 0.64966 0.780224 0.784119 0.842106 833.265 -1.09983 1.94127 1812.74 92.9047 8.68268
703.703 -1.74494 1.19801 512.534 0.421175 -2.68607 1996.7 0.808227 0.872123 0.818272 0.768741 293.425 -1.14366 1.54241 1279.74 -92.9047 8.26453
816.33 0.0198388 -1.52539 747.271 0.738179 0.553804 1541.39 0.49833 0.774611 0.850328 0.782497 183.126 2.36286 1.80905 2152.58 92.9047 7.98608
756.936 -1.36948 -2.02055 496.813 0.554941 0.432214 1830.97 0.767316 0.882795 0.800652 0.759653 78.19 0.955208 0.522994 1941.13 92.9047 7.95593
718.416 -0.779664 2.86869 711.439 -1.32851 -0.0557162 1534.69 0.652211 0.718568 0.809093 0.793365 136.266 -1.40146 1.34575 1463.77 92.9047 8.24154
778 0.85921 -1.70499 513.628 -0.778777 1.84225 1732.35 0.820392 0.761237 0.737733 0.800922 248.866 -0.238776 1.46622 1469.3 92.9047 8.33446
1071.5 -0.488265 2.24817 1026.92 -0.570568 -1.74262 2120.12 0.784544 0.228072 0.800852 0.745976 660.195 0.308997 1.93918 2137.4 92.9047 8.44588
707.996 1.35619 -2.13244 355.41 -0.404678 0.0703116 1434.09 0.742826 0.716113 0.761357 0.804068 633.291 1.02662 0.956305 1221.84 92.9047 8.66469
1134.12 0.644876 2.66664 603.509 1.52901 -0.824167 1838.97 0.728956 0.814344 0.817676 0.82992 495.569 -0.642802 0.181364 1969.44 -92.9047 8.29506
601.044 -0.223937 -0.477873 486.851 0.48193 3.01726 1181.43 0.714973 0.851671 0.794079 0.738798 69.2019 0.44621 0.924082 1872.95 92.9047 8.32318
961.398 -1.50362 -2.8505 650.115 -1.4334 -0.576613 1512.98 0.684958 0.830306 0.863473 0.875879 241.817 -2.12078 0.729723 2269.01 92.9047 7.88031
527.554 -1.30397 -2.90162 422.879 1.44412 -0.211267 1988.97 0.8804 0.835714 0.78093 0.770629 160.371 2.4305 0.95107 1330.35 92.9047 7.92841
860.145 0.667998 1.61019 798.506 -0.123078 -1.66398 1844.72 0.560712 0.54738 0.742124 0.847917 173.682 -1.58166 0.0823165 1756.74 92.9047 8.08724
704.77 -1.71475 -1.70518 407.646 1.23723 2.00333 2488.65 0.392552 0.828719 0.87305 0.802338 163.129 0.375365 1.62797 1392.35 92.9047 8.37505
829.698 0.222304 -3.13007 767.238 -0.612989 0.425235 1780.27 0.791354 0.862114 0.831349 0.807314 118.207 1.04405 0.618812 1852.88 92.9047 8.48092
415.486 -0.0510994 -2.09953 323.355 2.57292 1.19712 1501.97 0.370779 0.793232 0.716284 0.744916 30.9419 -2.78778 0.688257 833.78 92.9047 8.60228
891.439 -0.644701 0.752309 415.453 -1.69702 -2.10936 1471.8 0.284074 0.757131 0.842548 0.801946 346.437 -2.66547 0.556116 1509.81 92.9047 8.82125
609.718 0.100487 2.54679 449.162 -0.559517 0.945073 933.026 0.638216 0.806934 0.796225 0.799688 594.458 -0.992193 1.93727 1146.4 92.9047 8.97268
916.605 0.0517406 -1.06759 565.032 0.109373 1.79897 1520.46 0.553827 0.483683 0.813764 0.774557 353.409 2.42322 0.624257 1550.51 92.9047 8.68268
666.566 -0.888864 1.09945 437.106 -2.28158 -2.5028 1416.06 0.80275 0.748461 0.830921 0.759692 175.6 -2.01985 0.482954 1430.95 92.9047 8.93638
527.406 -1.11914 -2.11609 406.619 0.359368 -2.94876 891.459 0.779276 0.600677 0.751154 0.671499 745.055 0.72087 2.61355 961.622 92.9047 9.03937
551.483 1.40708 0.885733 549.105 -1.17698 -0.291324 1990.18 0.564852 0.749637 0.81608 0.851825 322.636 3.13678 2.25105 1612.36 92.9047 9.12457
1015.43 -0.702296 0.802323 401.642 -0.492924 2.48685 1040.24 0.82171 0.781851 0.794823 0.84344 1051.54 -1.87831 1.91802 1572.37 92.9047 9.3893
832.636 -1.20764 -0.10862 467.018 -1.6964 -2.36513 1245.73 0.837077 0.854647 0.853205 0.791426 136.853 2.84938 1.06868 1743.44 92.9047 9.45346
644.859 1.83573 1.48235 484.103 0.0571884 3.01937 1444.41 0.652384 0.745127 0.768012 0.87433 477.46 -0.660883 2.14323 1395.62 92.9047 9.5778
933.075 -0.12564 -0.170074 782.449 -0.484552 -2.7211 1734.65 0.678523 0.808991 0.78434 0.815021 184.923 2.70397 0.858115 2142.47 92.9047 9.61083
587.188 -1.01285 -0.7152 532.969 0.10008 -2.69725 1208.41 0.51204 0.692141 0.877884 0.78692 313.396 1.59811 1.98782 1268.43 92.9047 9.77153
663.731 1.41267 2.82394 259.969 2.7485 -1.89267 886.889 0.71669 0.736912 0.767875 0.848312 424.214 -0.249446 1.64323 1057.21 92.9047 9.818
841.298 0.126685 2.37772 613.079 0.425816 -0.990983 1537.8 0.452721 0.611919 0.911428 0.789131 289.023 -0.211351 0.779631 1504.81 92.9047 9.52515
910.354 -0.00260611 -1.1454 843.18 0.15835 2.01269 1907.51 0.708388 0.376792 0.746426 0.869181 84.9188 -2.35196 1.20656 1987.01 92.9047 9.64885
722.158 -0.395359 -1.98965 397.143 1.23687 2.61208 1321.32 0.781515 0.730047 0.731402 0.756287 729.707 0.672847 1.93924 1166.21 92.9047 9.79376
467.577 -1.14509 0.895849 467.559 1.05445 -2.15025 1596.38 0.520834 0.751534 0.726944 0.79837 19.0178 -1.54336 0.606893 967.812 92.9047 9.73033
958.459 -0.943037 0.707806 404.54 1.14004 2.52107 1881.71 0.527803 0.836504 0.656075 0.864988 831.68 -2.11931 1.6428 1390.93 92.9047 9.81387
666.426 2.26986 -2.16702 406.716 0.606921 0.996846 1552.2 0.864927 0.817339 0.790277 0.802239 380.39 0.371128 0.625718 1376.61 92.9047 9.91679
382.098 0.342544 -1.94653 253.63 -2.50198 1.35116 1400.25 0.647076 0.780992 0.821805 0.811799 140.302 2.11838 0.767225 823.107 92.9047 9.69331
574.585 -0.237532 0.614365 258.01 0.307642 -1.37422 733.45 0.674509 0.792475 0.796824 0.820926 379.579 -2.72909 1.35487 915.864 92.9047 9.76626
667.801 -0.625734 -2.3576 371.601 -1.3878 0.808657 1103.48 0.795807 0.779183 0.8024 0.738069 53.6618 2.44508 1.4805 1079.72 92.9047 9.88867
1135.5 1.13322 2.09139 968.651 1.39726 -1.3307 2175.83 0.604551 0.648047 0.86654 0.901837 371.674 0.148067 1.47877 2106 92.9047 9.65549
565.762 -1.47348 0.311426 367.224 -0.194926 1.01579 857.537 0.584085 0.522789 0.741655 0.77446 801.256 -2.44236 2.75379 1102.8 92.9047 9.48237
802.692 -0.428211 -2.84315 267.388 0.606849 0.0948334 1082.59 0.755079 0.634573 0.805349 0.865793 391.584 0.760025 0.665192 1290.97 92.9047 9.3448
428.035 -0.3214 0.332458 397.864 -0.742378 2.82834 846.751 0.69599 0.779455 0.791153 0.844199 157.204 -2.96371 0.491144 1104.35 92.9047 9.44241
869.77 -1.53015 2.93853 765.063 -1.72504 -0.0326977 1687.26 0.831193 0.760084 0.78234 0.788323 155.376 -0.250301 0.217604 1817.15 92.9047 9.35353
833.924 -0.184902 -2.57222 701.646 0.832143 0.251584 1804.67 0.840835 0.837811 0.797735 0.773102 18.2858 -2.89418 0.321963 2323.1 92.9047 9.43727
719.23 -0.424159 2.68644 689.003 -0.533482 -1.12502 1405.25 0.820938 0.895156 0.710407 0.790623 385.269 0.750704 1.87572 1553.33 92.9047 9.20046
525.458 -1.02542 1.82506 432.949 -2.01641 -1.42454 1107.24 0.78277 0.808853 0.769595 0.795084 220.074 -2.39946 0.974921 1236.28 92.9047 9.17212
511.262 -0.969192 -0.679611 334.219 -0.426143 2.13552 918.611 0.72468 0.735114 0.656949 0.869195 268.05 -3.05411 1.09355 1082.41 92.9047 9.32975
815.29 1.64081 1.41585 545.706 0.529199 2.92561 1265.38 0.737644 0.689613 0.798191 0.863624 655.32 -1.10713 2.25045 1676.54 92.9047 9.23276
890.776 -1.16368 2.48487 621.895 0.329509 0.0961395 1891.75 0.815111 0.690802 0.812736 0.784917 343.759 -1.1489 1.24504 1648.29 92.9047 9.07057
