pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
573.565 0.44212 -0.0259586 533.572 -0.852745 -2.84083 1342.07 0.412238 0.656496 0.37128 0.753407 585.621 1.45564 1.4816 1549 92.9047 6.51963
498.777 -1.13785 0.799558 498.034 0.862626 -0.851659 1413.78 0.239692 0.182318 0.78856 0.805136 635.122 3.10998 2.31042 1080.75 92.9047 7.87328
697.042 1.14126 1.51894 527.773 2.32093 -2.16993 1397.91 0.323221 0.802546 0.64181 0.763443 230.154 0.0318406 1.4871 1494.91 92.9047 9.50161
743.805 0.618363 -0.210048 429.157 -0.144055 -2.7455 1171.06 0.132536 0.641602 0.272203 0.69996 316.054 2.67364 0.864053 1352.76 92.9047 10.4387
730.704 -0.0410597 1.33259 723.527 0.614326 -1.64907 1533.88 0.713375 0.498754 0.689025 0.609579 141.992 -2.99528 1.34622 1446.5 92.9047 8.56568
1331.29 -0.740665 0.810662 1285.45 0.452869 -2.77121 3048.1 0.0527689 0.181541 0.180172 0.209391 325.391 -0.18374 0.994402 3041.05 92.9047 8.44588
811.244 1.39434 -0.910797 439.387 -0.393848 2.89711 1666.14 0.566171 0.447072 0.473136 0.302787 440.31 1.81953 1.07758 1360.36 92.9047 8.44588
582.215 0.390065 -0.346036 376.889 -1.02981 1.51359 1052.17 0.418661 0.60236 0.678116 0.47968 545.693 -2.26334 1.91731 1281.93 92.9047 8.12104
1103.65 -0.390325 0.926102 653.287 1.33566 -2.2538 2378.98 0.637553 0.252531 0.608682 0.760689 445.85 -2.1368 0.116997 1842.51 92.9047 8.33364
486.199 -0.212785 3.06486 292.656 -1.46423 -1.83427 697.481 0.351739 0.158223 0 0.60269 550.405 0.305436 2.13971 872.819 92.9047 8.41949
925.042 0.513344 3.09588 793.048 -0.436637 0.457503 1875.62 0.0306207 0.478071 0.516845 0.596249 135.744 -2.6821 0.505207 2216.83 92.9047 8.27045
479.692 -0.776964 2.80933 312.135 0.276613 -2.4383 579.254 0.386661 0.704721 0.0636784 0.700199 554.272 0.276683 2.53265 1066.35 92.9047 8.51418
744.047 0.0740539 -0.86423 517.457 0.953053 2.54391 1381.66 0.266559 0.638343 0.695574 0.708536 413.71 1.21493 1.32898 1468.38 92.9047 8.58598
913.699 -1.31968 -0.786333 758.604 0.679193 2.91299 2540.09 0.190129 0.390634 0.48948 0.329951 576.992 1.11536 1.79762 1873.93 92.9047 8.78531
705.237 1.03878 0.455706 437.813 -0.489317 2.77805 1421.3 0.22703 0.39115 0.641822 0.471146 329.487 -2.02024 1.48489 1311.11 92.9047 8.21257
1051.21 0.680091 0.0272475 792.05 0.716637 2.78404 1793.16 0 0.696205 -1 0.651118 362.171 -2.36363 1.13552 2025.36 -92.9047 8.55906
563.767 0.399823 -1.01243 459.07 -0.35268 2.75477 1065.85 0.308853 0.611387 0.826858 0.707728 331.096 0.52399 1.53642 2169.57 92.9047 8.69687
807.289 0.0599227 -1.1081 591.701 -0.982121 1.66131 1596.3 0.331432 0.153668 0.707083 0.606164 30.475 -2.37234 1.26425 1516.1 92.9047 8.82181
928.376 -0.914504 0.660474 832.609 0.0493331 -1.63581 1837.09 0.201304 0.666418 0.471371 0.537402 401.689 2.81838 1.829 2013.36 92.9047 8.76706
567.832 0.976732 0.777902 384.849 2.68798 -1.57253 1257.25 0.546028 0.611412 0.527698 0.638269 133.577 -2.18598 0.613456 1442.85 92.9047 8.9285
800.192 0.489923 -2.91094 515.525 1.72656 1.4611 1395.2 0.306077 0.194844 0.583555 0.821857 603.205 -0.39477 1.85587 1511.32 92.9047 9.01404
744.733 -0.910189 -1.79518 660.919 -1.56127 1.37763 1482.27 0.492054 0.599802 0.520415 0.725236 395.061 -0.51314 1.28204 1772.4 92.9047 8.98315
675.304 -0.977795 2.67074 573.439 -0.187597 -1.23848 1304.06 0.211635 0.172188 0.447458 0.473562 403.374 1.05503 1.61571 1476.36 92.9047 8.87078
443.838 -1.25915 0.159651 398.768 0.309651 0.314193 741.247 0.462916 0.530747 0.644232 0.690502 390.103 3.03614 2.72195 1501.51 92.9047 8.93314
609.921 1.94262 0.0898025 503.628 0.483793 2.99194 1547.8 0.373044 0.507677 0.199826 0.548051 84.8698 -1.11612 1.20593 1754.09 92.9047 8.86565
826.962 1.89242 -1.5695 509.171 1.04125 2.40815 1321.9 0.581474 0.164788 0.682681 0.475187 536.804 0.87835 1.5298 1378.03 92.9047 8.93655
929.459 -0.890718 -2.93229 367.937 -0.358801 -1.15273 970.65 0.375462 0.440319 0.344197 0.569701 815.911 0.765914 1.91864 1401.17 92.9047 8.93481
499.462 0.231148 -1.13787 305.839 -1.25819 -2.52454 817.516 0.582663 0.493753 0.341407 0.708032 601.682 1.41108 2.34756 892.805 92.9047 8.99078
601.183 -0.439336 -0.623485 413.343 0.165326 -2.68682 917.905 0.400743 0.243206 0.343259 0.372745 244.36 2.92763 0.668737 1560.93 92.9047 9.04306
450.833 1.26593 1.69123 435.32 0.302368 -2.24182 945.429 0.700278 0.499867 0.488978 0.692919 418.842 -0.107573 1.7988 990.598 92.9047 9.1893
