pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
587.838 0.416475 0.0345486 498.14 -0.849718 -2.90325 1311.75 0.628672 0.550454 0.518456 0.776619 526.522 1.54075 1.5062 1532.73 92.9047 6.51963
535.423 0.85077 -0.802014 488.356 -1.14216 0.790045 1435.27 0.199129 0.299276 0.701584 0.471374 644.751 3.08298 2.29294 1128.4 92.9047 7.87328
684.641 1.14634 1.56083 528.121 2.32734 -2.16 1378.96 0.662949 0.583285 0.60377 0.776918 223.88 0.106229 1.45461 1487.67 92.9047 9.50161
762.37 0.624518 -0.259891 435.594 -0.164358 -2.66617 1178.91 0.303071 0.625817 0.482352 0.771847 350.633 2.51444 1.10257 1399 92.9047 10.4387
723.249 0.640628 -1.59819 699.763 -0.0480335 1.28467 1499.97 0.490146 0.454012 0.646465 0.743014 189.746 3.05567 1.62933 1427.55 92.9047 8.56568
629.402 1.24249 -2.85396 506.675 -0.187368 1.90011 1183.38 0.452572 0.626012 0.774324 0.593896 712.975 -0.351381 2.25149 1259.44 92.9047 8.8015
791.629 1.40093 -0.904298 450.159 -0.364509 2.94028 1647.68 0.497336 0.438734 0.599884 0.446489 438.104 1.79081 1.14947 1360.76 92.9047 8.44588
581.876 0.392517 -0.359996 350.593 -1.06981 1.4366 1018.43 0.577714 0.729096 0.595135 0.599786 546.435 -2.30849 1.94849 1266.19 92.9047 8.12104
1028.61 -0.331758 0.979334 652.519 1.31881 -2.26208 2232.65 0.296011 0.343031 0.640424 0.774019 379.633 -1.94783 0.314253 1790.93 92.9047 8.33364
490.301 -0.243436 3.08398 300.848 -1.49545 -1.81478 711.697 0.214029 0.391687 0.488272 0.641108 553.431 0.320984 2.13576 905.155 92.9047 8.41949
900.191 0.518224 3.07506 798.349 -0.438065 0.526724 1845.16 0.403772 0.441314 0.39887 0.628865 175.894 -2.36607 0.842052 2238.79 92.9047 8.27045
720.284 0.0934387 -0.895906 480.701 0.998842 2.54793 1311.29 0.452094 0.644857 0.604086 0.699561 429.67 1.29976 1.24817 1422.68 92.9047 8.58598
910.106 -1.31541 -0.699057 769.988 0.684721 2.9246 2560.6 0.432842 0.32202 0.540232 0.694648 524.639 1.0783 1.77735 1875.01 92.9047 8.78531
756.114 -0.260224 -2.10423 418.618 0.516954 1.14832 1213.73 0.255792 0.427889 0.624662 0.497232 348.867 0.97959 0.168733 1208.7 92.9047 8.24598
837.857 -0.81481 -1.77855 664.762 -0.801013 1.10614 1564.29 0.191667 0.640552 0.872712 0.750043 256.623 2.16542 1.05929 1535.21 92.9047 8.62338
1056.59 0.706039 0.0944713 751.573 0.76298 2.65225 1710.5 0.485719 0.531912 0.111211 0.667793 418.231 -2.36639 1.26454 1987.25 -92.9047 8.55906
956.317 0.0683485 1.65588 531.662 0.533437 -2.89878 1151.66 0.421633 0.30501 0.765987 0.501999 948.976 -0.940604 1.95817 1530.58 92.9047 8.59967
533.104 0.468529 -1.08318 480.766 -0.346704 2.78557 1054.57 0.3366 0.611949 0.859285 0.524642 386.065 0.59622 1.6794 2118.83 92.9047 8.69687
857.444 0.023106 -1.12395 575.345 -1.01029 1.60887 1619.52 0.58059 0.140433 0.319001 0.809644 66.8182 2.79854 1.18967 1684.24 92.9047 8.82181
