pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
491.762 1.55881 -2.18215 253.667 0.84656 1.86517 721.05 0.80054 0.737112 0.785506 0.723253 194.61 0.478631 1.38654 927.224 92.9047 5.16137
423.294 -1.90654 -0.208634 -1 -1 -1 -1 0.620385 -1 0.855951 -1 37.2044 -3.12731 2.91868 1667.98 92.9047 7.43237
869.876 -0.946246 -0.0854093 597.57 -0.535081 1.84728 1307.28 0.233173 0.674522 0.856653 0.649332 575.051 -2.55208 1.88382 1738.93 92.9047 6.19365
460.176 -0.701913 -1.81351 429.176 -0.976215 0.526017 864.291 0.775201 0.784676 0.76293 0.770764 132.846 0.706883 0.180866 1646.4 92.9047 7.43237
891.01 -1.0644 0.997707 749.12 -0.677332 3.06645 1476.43 0.598867 0.750762 0.659541 0.83537 159.874 -1.28087 1.93586 2440.42 92.9047 8.44588
1029.85 -0.286386 2.46728 920.792 0.0263203 -0.881306 2052.83 0.422035 0.81649 0.538901 0.86521 13.3825 2.29269 0.174597 2745.17 92.9047 8.44588
640.841 0.671105 -0.567568 599.594 -0.28417 1.26992 1211.23 0.621927 0.847297 0.828056 0.845657 66.4431 2.86619 1.59627 2067.3 92.9047 7.83533
874.468 0.778442 -0.669815 691.309 -0.0952275 2.43288 1733.65 0.394502 0.737971 0.377855 0.810445 221.883 1.29378 1.13909 1909 92.9047 8.25819
556.373 1.16661 -0.356673 438.609 -1.50877 1.63249 1958.87 0.774357 0.762821 0.719893 0.820454 42.3078 2.02048 0.387993 2004.85 92.9047 8.89513
990.027 0.881587 2.652 720.06 1.08165 -1.27698 1623.06 0.604891 0.490374 0.862351 0.772902 57.4143 0.127663 1.40464 2597.13 92.9047 9.67757
492.178 0.63896 2.31928 487.178 -2.4523 0.132696 2402.07 0.8253 0.809789 0.779573 0.779226 161.07 -2.86462 1.09929 1894.84 92.9047 10.4281
692.823 -0.192058 -2.03294 596.694 -1.04683 1.55139 1465.69 0.555215 0.764445 0.846655 0.867673 218.593 0.664169 0.887221 1546.86 92.9047 11.2612
565.573 0.811823 1.31554 372.141 1.15256 -0.89182 865.982 0.741097 0.773599 0.804929 0.817789 370.51 -2.61382 1.722 1000.53 92.9047 10.5944
593.483 0.371073 -2.82805 525.709 -0.26832 -0.958149 1005.12 0.693252 0.610683 0.800961 0.785351 34.7064 -2.72941 0.0986454 1910.43 92.9047 9.56372
516.097 2.35597 -1.81392 315.489 2.05183 2.5349 729.301 0.658472 0.817214 0.820002 0.743497 162.809 0.721875 1.81302 1255.13 92.9047 9.74525
716.524 -0.420216 2.29931 445.985 0.422382 -0.0874012 1236.17 0.492135 0.346156 0.725274 0.750495 61.6639 -1.43808 1.35068 1509.88 92.9047 9.77944
828.389 -0.675543 1.97747 550.616 -0.672603 -0.458178 1327.4 0.445037 0.572437 0.606985 0.853222 38.9344 0.920247 1.05722 2151.49 92.9047 9.63036
844.455 -0.685442 1.27287 546.533 -0.0222255 -1.11039 1422.22 0.755369 0.471172 0.816354 0.672466 117.076 -2.23216 1.12177 1723.49 92.9047 9.95407
986.694 0.139484 -1.91806 763.408 -1.26531 1.34178 2238.1 0.644382 0.592804 0.740156 0.592596 62.4504 0.261979 1.07981 2047.31 92.9047 9.05225
945.901 0.033531 2.47392 824.253 -2.10065 -0.561379 2909.95 0.833981 0.664272 0.798306 0.807154 48.787 1.08609 1.38784 2449.86 92.9047 9.48007
572.632 -0.646133 2.56999 517.887 -0.0369527 -0.961079 1170.12 0.796728 0.707323 0.739814 0.812565 56.8224 -0.826186 0.134893 1809.34 92.9047 9.61083
674.574 -1.10728 1.76605 521.4 -0.0507159 0.446116 1022.2 0.718097 0.74904 0.72966 0.817437 401.669 -1.69182 2.13794 1950.77 92.9047 9.46251
624.583 0.577371 -2.0142 542.099 0.0702483 0.141457 1141.78 0.722555 0.747728 0.918254 0.738522 302.154 2.80519 1.46379 2370.85 92.9047 8.90337
772.242 0.999628 2.52628 641.051 -0.0232754 -0.539522 1623.02 0.779975 0.540154 0.80131 0.706012 36.2021 -0.483212 0.05631 2050.73 92.9047 8.88332
494.916 -0.386762 -2.39618 368.874 -0.727788 0.987928 895.695 0.525079 0.715677 0.741236 0.747443 28.8232 -1.93796 0.458213 1076.46 92.9047 9.14416
553.451 1.48355 -1.17952 486.922 0.92384 2.86329 1024.26 0.760601 0.696988 0.79247 0.819315 21.5828 -1.05891 0.12061 1463.25 92.9047 8.81577
621.059 -1.15413 2.91677 572.741 0.186108 -2.25386 1117.27 0.862179 0.722878 0.78023 0.650656 677.179 0.257836 2.5117 1792.73 92.9047 8.95866
601.832 -0.0714596 1.22817 398.201 0.807283 -1.53221 1093.44 0.749865 0.649107 0.74744 0.778361 252.268 -2.59397 1.06176 961.346 92.9047 9.15962
608.621 -0.244682 2.63796 567.638 0.213009 0.652512 1051.86 0.56662 0.743439 0.703965 0.79923 86.6279 -1.18595 1.83846 1754.33 92.9047 9.45346
648.444 -0.734628 -0.901353 559.642 -1.26317 1.10486 1119.18 0.760835 0.727252 0.827124 0.811379 44.3575 2.13402 1.02916 1861.39 92.9047 9.48007
763.529 0.372479 -0.203057 645.984 0.296647 2.39485 1476.39 0.350452 0.756558 0.760959 0.77591 83.0767 1.81044 0.584411 2321.83 92.9047 9.76286
687.285 -0.918337 -2.96527 300.687 -0.82956 1.83914 699.962 0.672246 0.802716 0.8397 0.811748 536.138 -0.290892 2.13004 1347.71 92.9047 9.71552
932.203 -0.0548983 -0.87722 874.714 -0.109037 2.77315 1903.59 0.606134 0.392432 0.707135 0.780412 27.5514 -1.46161 0.584387 2682.37 92.9047 9.64105
640.653 -1.87299 1.72405 420.898 -1.37597 -1.05931 1114.68 0.835742 0.870794 0.807268 0.841759 119.083 -1.54688 0.487564 1662.91 92.9047 9.90207
515.132 1.30661 -3.0331 449.535 1.12643 -1.19822 838.672 0.816054 0.742071 0.750746 0.838206 368.963 1.64503 1.60506 2302.15 92.9047 9.91361
742.772 0.922464 2.11135 639.234 0.64881 0.315337 1146.87 0.787975 0.798549 0.783352 0.826901 520.181 -1.23664 1.55198 2131.55 92.9047 9.98379
716.836 0.708764 -2.66834 421.651 2.46068 -0.429482 1526 0.719845 0.481227 0.826558 0.662844 166.281 1.21981 1.64929 1679.68 92.9047 10.17
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 59.7348 -2.72513 1e+06 379.294 92.9047 10.1448
698.092 -0.988255 -1.26709 606.978 -1.1794 1.18592 1319.01 0.470554 0.443023 0.794013 0.826766 213.583 1.99495 0.809031 1745.57 92.9047 10.2353
693.418 0.334298 0.495757 652.959 -1.5123 -2.14173 1990.34 0.682385 0.576127 0.818773 0.876862 47.5121 -1.50345 0.638281 2549.47 92.9047 10.2657
985.437 -1.17009 -0.319518 646.633 -0.767211 2.84197 1752.79 0.364581 0.670339 0.73759 0.836865 56.294 -0.272132 0.0473863 1970.85 92.9047 10.2395
267.045 -1.11149 1.94821 -1 -1 -1 -1 0.740306 -1 0.838334 -1 216.67 -1.41898 2.91599 709.175 92.9047 10.2147
800.146 0.821228 -2.6478 596.345 0.248066 -0.499859 1333.36 0.671036 0.774146 0.79525 0.773077 77.7347 -0.0877212 0.412137 2191.14 92.9047 9.79142
596.009 -0.248477 -0.4615 442.964 0.420397 3.08175 1124.14 0.615166 0.655753 0.764468 0.806029 294.569 0.832496 1.294 1860.37 92.9047 9.89783
998.882 -1.85161 1.10336 640.896 -0.67627 -2.44764 1909.58 0.667119 0.844455 0.824021 0.755881 374.519 -2.22401 0.223623 1869.2 92.9047 9.76801
517.276 -1.1505 -2.83552 391.511 1.43481 -0.274919 1754.81 0.740748 0.747102 0.728384 0.860329 271.056 0.263018 0.537937 1259.69 92.9047 9.35146
610.184 -0.410357 3.09586 430.968 1.16941 -0.839614 1364.39 0.817221 0.71884 0.810806 0.636587 97.4335 0.850558 1.69017 1758.83 92.9047 9.39036
733.512 -0.581917 0.489948 672.637 0.243833 -3.11247 1528.44 0.585965 0.649927 0.708207 0.753436 215.844 1.572 1.08205 2017.29 92.9047 9.25192
1106.06 -1.04389 -2.0188 1035.72 -0.396654 1.50452 2419.91 0.57113 0.2304 0.879631 0.655267 109.798 -0.316891 1.70191 2644.45 92.9047 9.3477
1081.51 0.0701746 -0.314833 753.503 0.905201 3.13968 2017.28 0.573657 0.548815 0.776089 0.631509 103.569 0.130961 0.445794 2650.3 92.9047 9.51892
885.366 1.35151 0.506386 483.786 1.70581 -3.13516 1356.31 0.512019 0.769507 0.800955 0.8359 541.537 -2.15356 0.9816 2044.73 92.9047 9.64998
1198.2 0.324218 1.34364 534.347 -0.950556 -1.69539 2015.82 0.385104 0.847238 0.814979 0.886862 564.464 -1.45973 0.235665 1904.57 92.9047 9.79928
748.822 -0.728026 0.886566 677.07 -0.0658703 -2.30035 1584.03 0.201302 0.760295 0.544691 0.687174 162.613 0.912869 0.0263029 1804.23 92.9047 9.94737
748.751 -1.30358 2.17224 504.258 -1.45314 -1.43926 1250.22 0.706221 0.611929 0.639179 0.796869 219.096 -0.511706 0.927553 1423.53 92.9047 9.85629
666.882 -1.38839 -1.09252 569.763 -1.37823 2.14914 1280.55 0.812173 0.768838 0.780003 0.820469 33.3458 -1.41938 0.326861 1873 92.9047 9.90263
