pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
467.631 1.50857 -2.16436 -1 -1 -1 -1 0.393991 -1 0.740064 -1 250.163 0.523081 2.68744 793.384 92.9047 5.16137
311.51 -1.81524 -0.147504 -1 -1 -1 -1 0.425568 -1 0.646762 -1 79.5724 2.84155 2.98905 713.754 92.9047 7.43237
819.219 -0.973056 -0.0504947 605.676 -0.568061 1.82041 1222.37 0.26537 0.710258 0.774211 0.700141 596.896 -2.42982 2.03296 1690.26 92.9047 6.19365
404.521 -0.719635 -1.81504 400.06 -0.888368 0.451768 747.121 0.861907 0.483772 0.601996 0.738503 130.582 0.680743 0.228974 1497.24 92.9047 7.43237
850.182 -1.03796 0.915999 733.557 -0.601893 3.09895 1452.92 0.602234 0.384675 0.612602 0.755746 59.2282 -1.13161 2.04761 2246.8 92.9047 8.44588
1004.56 -0.211791 2.43866 873.862 0.124933 -0.950279 1972.87 0.190064 0.70002 0.814396 0.793509 53.212 -1.84836 0.898085 2404.09 92.9047 8.44588
542.116 0.640409 -0.521977 532.118 -0.16444 1.30186 964.744 0.256308 0.624657 0.491981 0.67731 10.1872 2.62045 1.31859 1732.64 92.9047 7.83533
862.577 0.729438 -0.628988 677.911 -0.0598574 2.34767 1655.82 0.469097 0.254211 0.735605 0.789762 185.227 1.17262 1.17504 1929.45 92.9047 8.25819
488.599 1.17806 -0.463319 378.841 -1.38121 1.60411 1610.45 0.154933 0.541965 0.890383 0.738548 27.8477 2.33657 0.732458 1725.61 92.9047 8.89513
1002.11 0.829121 2.74032 701.241 0.946418 -1.29747 1531.42 0.42644 0.409242 0.45078 0.723743 137.465 0.562187 1.85965 2362.63 92.9047 9.67757
405.49 0.545833 2.36714 394.495 -2.44769 0.133864 1852.11 0.428743 0.574154 0.704322 0.706341 150.128 -2.77269 1.14336 1396.6 92.9047 10.4281
626.076 -0.14469 -2.10582 513.578 -1.05321 1.50401 1241.58 0.543356 0.721549 0.581583 0.72108 268.7 0.764319 0.739688 1332.65 92.9047 11.2612
530.434 0.781941 1.2792 312.505 1.161 -0.843879 739.447 0.713901 0.599717 0.702841 0.822608 358.122 -2.52154 1.67766 925.477 92.9047 10.5944
552.912 -1.19099 1.28295 541.672 0.290519 -2.86007 1361.49 0.249711 0.632635 0.693498 0.615136 49.0625 1.3475 0.0645465 1751.53 92.9047 9.56372
471.628 2.30472 -1.78773 285.402 -0.148818 1.12509 1365.05 0.576467 0.618823 0.665782 0.739619 146.928 0.788637 0.336456 1127.24 92.9047 9.74525
