pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
480.443 1.5102 -2.1433 282.467 0.182212 0.532903 891.988 0.676668 0.560869 0.773909 0.604736 90.2604 0.784802 0.251899 947.52 92.9047 5.16137
719.817 0.477127 0.028118 622.552 -1.96477 2.805 2466.13 0.789668 0.530986 0.703881 0.640759 366.209 -1.97199 1.5062 1462.53 92.9047 8.44588
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 158.465 -1.98358 1e+06 188.7 92.9047 7.53281
687.523 -1.49107 -1.13932 538.983 -1.08296 -2.87635 991.254 0.458833 0.494578 0.645833 0.594638 507.239 1.36668 2.04016 1533.61 92.9047 7.74206
873.329 0.57179 2.07512 695.335 -1.1906 -1.17924 2204.61 0.523474 0.350026 0.522214 0.569972 103.765 1.16688 0.908242 1894.44 92.9047 9.48007
759.476 0.279454 2.19734 257.025 2.68308 -3.11451 1567.18 0.210032 0.559374 0.405332 0.700849 881.967 -0.720208 2.3943 1052.08 92.9047 8.99078
789.081 -0.641239 2.41976 497.116 0.444856 -0.139735 1455.04 0.648825 0.344776 0.658355 0.508698 201.662 -0.352113 0.212377 1803.89 92.9047 8.3376
724.797 -1.12915 -1.1302 -1 -1 -1 -1 0.246815 -1 0.647012 -1 873.181 1.85959 2.98978 995.35 92.9047 9.17577
552.065 -0.180887 1.30058 488.856 -1.44497 3.0708 1079.18 0.308022 0.789297 0.499718 0.777459 561.461 -0.519032 1.81962 1536.86 92.9047 10.074
449.358 -1.47055 0.269048 304.145 0.205265 -2.33779 1015.66 0.741328 0.401546 0.676522 0.640796 481.499 3.09088 0.854515 977.208 92.9047 9.1083
521.258 -0.468687 3.04675 454.626 -1.58997 1.90088 800.421 0.548344 0.333244 0.710063 0.584568 805.291 -0.614063 2.51495 960.687 92.9047 8.17561
1297.34 -0.414363 -1.082 606.946 -0.004447 2.56845 1803.21 0.605679 0.30928 0.656816 0.7051 310.399 1.73933 0.829121 2466.01 92.9047 8.51035
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 46.3896 -2.21187 1e+06 35.6575 92.9047 7.89386
546.514 -1.74753 2.2803 -1 -1 -1 -1 0.524815 -1 0.741136 -1 434.528 -0.859687 3.13999 585.724 92.9047 8.3376
459.823 1.8856 -2.70335 446.552 -0.748008 0.528805 1825.46 0.56095 0.637356 0.47199 0.562458 51.1303 1.06554 0.536739 1272.04 92.9047 8.65571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 132.462 -1.23983 1e+06 289.499 92.9047 8.90105
675.374 1.09195 -1.30121 -1 -1 -1 -1 0.189852 -1 0.768431 -1 760.65 2.16073 2.82124 920.455 92.9047 9.07689
756.98 0.606759 -0.240168 307.168 -1.13621 2.2571 1329.31 0.596712 0.648962 0.738192 0.706993 573.148 2.67738 0.420281 1395.69 92.9047 9.03937
1018.99 -1.92152 -0.466878 -1 -1 -1 -1 0.245687 -1 0.730012 -1 872.244 2.53543 3.0023 1148.58 92.9047 9.00607
719.309 -0.0881578 1.58269 534.272 -1.19235 -2.70137 1285.44 0.456672 0.601257 0.646095 0.685961 547.988 -0.831782 1.86959 1338.92 92.9047 8.80613
870.749 -0.855219 -2.51875 553.697 -0.165081 -0.334733 1343.68 0.673961 0.338165 0.473294 0.541181 147.215 1.0892 1.42394 1956.9 92.9047 8.16317
439.304 -0.200528 -0.785627 339.058 -0.326724 1.38016 690.297 0.39417 0.530783 0.712245 0.646408 336.81 3.09885 1.71869 774.015 92.9047 8.34246
368.561 1.6592 -2.26007 -1 -1 -1 -1 0.626529 -1 0.728685 -1 339.352 0.950194 3.07293 878.61 92.9047 8.54723
799.501 -0.555025 -2.97054 -1 -1 -1 -1 0.183881 -1 0.452633 -1 470.139 0.219885 3.09276 1156.6 92.9047 8.31982
745.352 0.343662 0.0760633 450.659 -1.1178 2.72976 1474.52 0.515853 0.695612 0.71935 0.862089 275.433 -2.19854 1.35488 1372.29 92.9047 8.41528
846.1 -0.657992 0.232692 440.393 -1.59172 1.25121 853.635 0.330057 0.51937 0.658429 0.681732 962.261 -2.52614 2.50584 1431.58 92.9047 8.65778
551.241 -0.246404 2.67391 544.768 0.135466 0.69136 947.974 0.265777 0.529231 0.605983 0.522926 57.6955 -1.77432 1.83496 1636.18 92.9047 8.8015
730.74 -0.849913 -2.92134 525.275 0.3831 -0.602767 1423.24 0.155852 0.621589 0.747054 0.769302 455.514 1.25919 1.86196 1373.52 92.9047 8.50108
546.49 -0.28552 -2.02816 263.205 -2.10239 -0.688698 966.94 0.663064 0.659938 0.634086 0.802185 678.684 1.56581 2.25451 775.913 92.9047 8.66314
954.136 -0.288357 1.69966 325.319 -0.680489 -3.11921 783.025 0.483201 0.709924 0.46494 0.623945 776.088 -1.13255 1.98666 1538.46 92.9047 8.68268
536.88 -1.73252 1.17873 401.602 0.418548 -2.71732 1491.13 0.742612 0.661129 0.701158 0.552365 295.868 -1.13822 1.57909 971.856 -92.9047 8.26453
717.67 0.710977 0.545807 688.898 0.0525968 -1.51296 1321.37 0.70517 0.0980757 0.729286 0.674265 205.539 2.47436 1.92856 1915.88 92.9047 7.98608
660.588 -1.33497 -2.03988 456.998 0.394478 0.430311 1497.89 0.559169 0.494133 0.675549 0.4419 73.4491 1.31712 0.886811 1727.6 92.9047 7.95593
736.132 -0.796091 1.30034 -1 -1 -1 -1 0.454903 -1 0.654871 -1 613.728 -1.69496 2.9953 1016.37 92.9047 8.14507
