pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
470.088 1.54111 -2.16474 298.182 0.162188 0.499495 920.652 0.596535 0.598393 0.578848 0.607494 95.6163 0.856491 0.356997 957.653 92.9047 5.16137
752.076 0.421382 0.0175479 559.272 -2.01918 2.88719 2390.45 0.453119 0.572443 0.479645 0.737473 299.414 -2.26765 1.12834 1452.23 92.9047 8.44588
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 162.71 -2.02042 1e+06 211.224 92.9047 7.53281
684.974 -1.47681 -1.15741 527.021 -1.08565 -2.8226 948.306 0.417495 0.544772 0.672617 0.698946 503.611 1.41204 2.04855 1539.03 92.9047 7.74206
922.972 0.539537 2.02621 675.963 -1.20649 -1.07332 2223.5 0.70572 0.439863 0.632595 0.618969 40.9336 -0.19437 0.878947 1938.12 92.9047 9.48007
753.036 0.245547 2.16942 -1 -1 -1 -1 0.225523 -1 0.564588 -1 860.637 -0.80847 2.97789 1071.85 92.9047 8.99078
764.263 -0.614419 2.44009 468.133 0.454497 -0.178314 1383.71 0.553512 0.658552 0.69107 0.627754 191.269 -0.228865 0.0505513 1781.64 92.9047 8.3376
730.359 -1.13582 -1.13335 -1 -1 -1 -1 0.306615 -1 0.72776 -1 885.115 1.8495 2.98285 1023.31 92.9047 9.17577
547.991 -0.204621 1.2371 455.68 -1.48017 3.0093 1042.37 0.584452 0.828244 0.640114 0.750945 520.309 -0.602355 1.83946 1498.9 92.9047 10.074
456.262 -1.44676 0.276554 301.76 0.226219 -2.32339 1015.2 0.707418 0.418702 0.830136 0.692891 489.831 3.05125 0.908538 1019.66 92.9047 9.1083
541.7 -0.421778 3.09752 443.196 -1.59171 1.9009 834.814 0.61925 0.300439 0.640316 0.816471 808.496 -0.593793 2.49469 997.576 92.9047 8.17561
1256.38 -0.395112 -1.13504 605.425 0.00880868 2.58007 1755.46 0.553689 0.270401 0.49768 0.734514 308.23 1.53269 1.04738 2381.81 92.9047 8.51035
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 51.8414 -2.5919 1e+06 43.2448 92.9047 7.89386
528.415 -1.75531 2.2705 -1 -1 -1 -1 0.567743 -1 0.557486 -1 431.605 -0.83386 3.10436 599.642 92.9047 8.3376
453.779 1.8736 -2.80116 427.775 -0.737807 0.580055 1753.51 0.615071 0.627183 0.516924 0.739469 24.8376 1.35763 0.777575 1278.95 92.9047 8.65571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 109.311 -1.24509 1e+06 271.728 92.9047 8.90105
657.802 1.08601 -1.23651 -1 -1 -1 -1 0.247159 -1 0.844728 -1 759.892 2.19583 2.85085 888.318 92.9047 9.07689
731.933 0.62961 -0.245612 305.234 -1.09799 2.1667 1284.79 0.196539 0.601996 0.498467 0.612772 548.159 2.79674 0.630041 1381.35 92.9047 9.03937
970.49 -1.9923 -0.51715 -1 -1 -1 -1 0.271211 -1 0.82167 -1 872.022 2.55065 3.0678 1133.22 92.9047 9.00607
697.583 -0.116002 1.59825 527.716 -1.18674 -2.72053 1235.36 0.345915 0.59546 0.683255 0.707718 560.16 -0.737418 1.98312 1350.74 92.9047 8.80613
853.09 -0.857235 -2.55957 580.712 -0.180045 -0.312702 1376.17 0.589875 0.455029 0.787606 0.473751 147.481 1.3141 1.6268 1936.95 92.9047 8.16317
431.978 -0.191744 -0.785788 346.694 -0.3401 1.46007 706.721 0.612178 0.470441 0.642745 0.794734 327.962 3.12325 1.66317 826.969 92.9047 8.34246
