pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
472.186 1.51946 -2.21074 -1 -1 -1 -1 0.63591 -1 0.536699 -1 395.889 0.52915 2.73989 660.993 92.9047 5.16137
1298.93 -0.397528 -0.135881 -1 -1 -1 -1 0.435999 -1 0.633961 -1 1299.12 2.8894 3.02528 1432.72 92.9047 4.76434
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 378.899 0.984957 1e+06 413.357 92.9047 6.7979
566.511 0.467218 0.00393366 499.369 -0.867281 -2.86097 1313.61 0.630816 0.685473 0.551331 0.86104 565.606 1.47821 1.47428 1512.96 92.9047 6.51963
499.516 -1.16444 0.784065 485.192 0.864319 -0.803552 1407.01 0.210377 0.183645 0.53487 0.75223 630.268 -3.1347 2.33115 1097.03 92.9047 7.87328
394.111 -0.964198 -0.250964 -1 -1 -1 -1 0.826145 -1 0.735094 -1 395.264 3.03436 2.99786 771.595 92.9047 9.29047
446.614 1.12535 -1.2991 253.869 -0.858882 0.621383 965.356 0.251713 0.703518 0.5067 0.686197 416.653 2.46545 1.84407 720.068 92.9047 7.93089
479.862 0.0615078 1.40761 -1 -1 -1 -1 0.595081 -1 0.749647 -1 407.531 -1.63361 3.04122 804.548 92.9047 8.95467
720.308 1.15963 1.48939 488.915 2.38135 -2.13618 1391.52 0.297222 0.807819 0.398901 0.721847 208.477 -0.294645 1.78404 1475.06 92.9047 9.50161
748.102 0.644064 -0.260094 442.803 -0.139466 -2.68101 1177.41 0.210757 0.635484 0.198777 0.663142 318.676 2.59754 1.00464 1399.79 92.9047 10.4387
368.032 -1.21262 -2.55723 -1 -1 -1 -1 0.25162 -1 0.330147 -1 411.919 0.953804 2.77215 556.879 92.9047 7.984
730.226 -0.380498 0.741811 461.213 0.631096 2.30047 1024.33 0.414084 0.748086 0.772259 0.627228 885.101 -1.80842 2.17429 1191.81 92.9047 8.02055
719.425 -0.0876039 1.35437 705.95 0.631668 -1.68469 1519.96 0.616447 0.36877 0.496733 0.470807 122.55 -2.97171 1.28702 1428.59 92.9047 8.56568
721.269 0.104275 -2.38116 -1 -1 -1 -1 0.326999 -1 0.396657 -1 762.463 0.835889 3.06613 802.747 92.9047 7.97954
639.532 -0.615718 1.7891 418.01 -0.252499 -1.11263 1052.94 0.597278 0.650918 0.726782 0.798848 472.944 -2.32576 1.21313 1375.83 92.9047 8.29506
605.05 -0.81053 -0.505942 298.774 2.40069 0.771593 2114.36 0.197884 0.644986 0.697315 0.776785 694.043 2.94094 2.16935 921.508 92.9047 8.6423
