pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
536.232 1.63557 -2.14722 359.396 0.199783 0.55466 1151.05 0.80048 0.676689 0.751668 0.823761 64.5922 1.70223 0.0498474 1159.45 92.9047
841.176 0.462004 0.0192008 734.978 -2.00544 2.86992 2975.28 0.809698 0.739368 0.799809 0.854263 392.85 -2.29836 0.398591 1732.59 92.9047
787.795 -1.54235 -1.15507 643.94 -1.1115 -2.82419 1208.8 0.744765 0.663544 0.808504 0.769512 529.627 1.39584 0.199338 1720.64 92.9047
1032.64 0.564674 1.95367 756.409 -1.26922 -1.17559 2602.21 0.807128 0.71242 0.835177 0.821148 77.3322 -0.734587 0.0670042 2108.62 92.9047
641.042 0.579716 2.43842 362.015 -0.371029 1.77158 690.392 0.753301 0.703738 0.787044 0.731204 910.598 -0.77267 0.128721 1302.77 92.9047
873.839 -0.60195 2.45861 567.38 0.59322 -0.145924 1729.37 0.623226 0.636789 0.73863 0.856463 202.496 -0.186719 0.0480294 1926.81 92.9047
802.401 -1.09481 -1.13613 289.582 0.487393 -1.88364 990.368 0.380545 0.710879 0.647522 0.792278 864.541 1.86984 0.223738 1124.11 92.9047
688.826 -0.142597 1.23779 618.006 -1.45306 -3.13857 1500.01 0.636423 0.790493 0.740446 0.838829 474.753 -0.508135 0.115313 1871.95 92.9047
556.809 -1.50984 0.284517 373.809 0.202534 -2.39158 1311.72 0.831601 0.569625 0.82231 0.882349 510.349 3.07137 0.184422 1165.79 92.9047
580.01 -0.389535 -3.13966 553.198 -1.6057 1.93027 1043.35 0.767653 0.494224 0.832505 0.887795 842.518 -0.649519 0.859621 1164.75 92.9047
1380.12 -0.39138 -1.07958 682.27 -0.00365517 2.62318 1974.42 0.642953 0.508179 0.804959 0.773993 367.236 1.82375 0.0644945 2658.95 92.9047
622.018 1.76041 -2.79746 489.966 -0.789163 0.640185 2167.22 0.683769 0.689507 0.67104 0.815682 76.5149 0.81123 0.187056 1492.15 92.9047
780.792 1.08443 -1.29913 311.006 1.47501 0.000740997 772.948 0.376874 0.821902 0.88535 0.784586 737.096 2.0742 0.244483 1218.5 92.9047
787.614 0.638653 -0.265645 394.872 -1.19545 2.2632 1613.62 0.584072 0.787609 0.756089 0.763285 537.528 2.48909 0.0793037 1511.48 92.9047
800.31 -0.0551721 1.5315 625.746 -1.25207 -2.69871 1576.74 0.589288 0.749083 0.871781 0.843961 502.653 -0.762476 0.108998 1547.63 92.9047
896.956 -0.900964 -2.52198 643.714 -0.128727 -0.213597 1566.38 0.654973 0.761558 0.604041 0.81739 125.388 1.74142 0.298625 2083.47 92.9047
522.694 -0.185025 -0.833297 483.422 -0.275667 1.41725 984.291 0.743274 0.822092 0.838162 0.811385 365.612 -2.98454 0.150498 1027.41 92.9047
827.764 -0.648471 -2.93092 285.184 1.21574 0.256591 1486.42 0.200978 0.84243 0.747283 0.8263 521.071 0.194095 0.0458104 1179 92.9047
821.654 0.361458 0.114751 544.685 -1.12725 2.72092 1734.21 0.800281 0.729951 0.867303 0.860351 380.499 -2.36583 0.0813611 1597.47 92.9047
995.035 -0.583083 0.213022 573.129 -1.64063 1.23744 1223.69 0.568351 0.803613 0.764584 0.774119 943.124 -2.47019 0.00226068 1816.16 92.9047
618.192 0.149208 0.68272 601.261 -0.285161 2.60096 1077.26 0.755579 0.418128 0.891142 0.775699 39.2503 -2.20904 0.147987 1802.75 92.9047
630.126 -0.279597 -1.97039 384.329 -2.18046 -0.748848 1309.41 0.779451 0.82366 0.762761 0.794909 679.494 1.5603 0.522252 1080.46 92.9047
1100.33 -0.243394 1.7512 393.609 -0.668948 -2.97992 1032.41 0.750676 0.744019 0.8392 0.812628 787.594 -1.14135 0.0307879 1815.79 92.9047
676.557 -1.73927 1.1607 456.559 0.49073 -2.64825 1905.75 0.805957 0.77971 0.845705 0.849135 320.114 -1.15566 0.193973 1167.78 -92.9047
752.428 -0.0331916 -1.45665 703.576 0.812815 0.648832 1488.73 0.427487 0.7771 0.866902 0.71354 132.9 2.38151 0.0117671 1953.69 92.9047
668.688 -1.42199 -2.07262 479.879 0.496532 0.459329 1689.43 0.726637 0.811423 0.808935 0.77761 132.687 0.421084 0.00447917 1829.07 92.9047
701.949 -1.35955 -0.123497 654.418 -0.78589 2.93224 1453.33 0.819335 0.545152 0.81512 0.610859 52.517 -1.9574 0.0873464 1374.73 92.9047
