pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
490.955 -0.88717 -0.343853 442.283 -0.177911 2.82341 1031.82 0.592259 0.645436 0.619605 0.855489 45.875 -0.797224 0.43627 954.087 0.0996691
2660.46 -0.192527 0.441243 364.359 0.675064 -2.12891 2360.93 0.0418426 0.621441 0.717619 0.77251 2394.1 -2.75392 0.58815 3164.05 0.0996691
1476.84 -0.225737 -3.00632 1265.87 -0.674594 -1.44721 2070.29 0.779858 0.833072 0.786821 0.813572 1468.92 1.18576 0.083515 4015.8 -0.0996691
368.803 0.773652 1.77392 324.71 0.241809 -1.45449 755.967 0.86333 0.734927 0.767879 0.625492 23.4439 -2.26654 0.0187299 708.76 0.0996691
1733.33 0.47203 2.13467 1674.87 0.415052 0.0772045 2974.36 0.707391 0.422959 0.780879 0.815676 224.153 -1.48193 0.0331664 4912.01 0.0996691
2334.86 0.559539 -1.47398 2135.03 0.200617 0.725433 4473.26 0.351652 0.24681 0.488967 0.688374 1963.56 2.67453 1.3171 4592.82 0.0996691
742.59 -1.16258 1.18969 466.849 -0.929486 -0.850297 1087.28 0.418242 0.357186 0.66411 0.835594 626.528 -2.60782 0.0660555 1728.11 0.0996691
1338.53 0.19733 2.22427 908.091 1.43788 2.41553 1601.48 0.707886 0.828111 0.635044 0.815825 1729.29 -0.648044 0.285245 2882.76 0.0996691
2128.07 -0.11504 -1.99851 1740.54 0.0788279 0.533165 3751.83 0.470443 0.627214 0.731496 0.813261 855.679 1.27486 0.721196 4538.96 -0.0996691
635.458 1.05497 0.655858 476.296 -0.282603 -3.1089 1354.16 0.632926 0.647401 0.713075 0.729174 81.3147 -3.07217 0.059586 1448.97 0.0996691
458.583 -0.0665568 -2.74918 388.42 0.333935 0.370717 934.673 0.723338 0.79526 0.863109 0.752935 35.3797 1.10254 0.0620453 1058.3 0.0996691
1166.08 0.373805 -2.03235 1071.15 1.13085 1.50201 2399.56 0.779618 0.834033 0.854492 0.860736 174.834 -0.325373 0.0097062 4433.46 -0.0996691
493.559 0.0248003 -3.13893 477.448 0.852622 -0.000933647 1088.59 0.509143 0.357835 0.789693 0.765607 3.32165 -0.826397 0.102509 1143.67 0.0996691
1592.31 1.114 -1.3215 1533.25 0.856381 2.19673 3135.58 0.754858 0.719024 0.7544 0.790719 527.219 0.0556013 0.10043 3931.79 0.0996691
1015.14 0.864845 0.548768 608.896 -1.44644 3.00883 2721.38 0.646325 0.68872 0.578752 0.764466 570.191 -2.24868 1.03634 1837.2 0.0996691
734.199 1.64337 2.55103 601.95 -2.53541 1.83813 5325.78 0.566272 0.802373 0.87636 0.733065 1125.17 -0.639155 1.05109 2134.76 0.0996691
1387.97 1.31398 2.48522 267.937 -0.766065 0.492131 1962.66 0.427625 0.622657 0.448492 0.784089 1242.32 -0.830141 0.415244 1841.07 0.0996691
1239.91 0.24067 1.80068 642.292 -0.924208 2.79032 1444.32 0.275849 0.552096 0.836402 0.680884 1519.75 -1.03806 0.301017 2007.59 0.0996691
469.006 -0.753227 0.949391 463.846 -0.737734 -2.25741 992.252 0.754221 0.608428 0.822576 0.661753 20.9124 -0.351063 0.0225986 1387.18 0.0996691
1863.69 -0.352119 2.76689 1144.97 0.198228 0.073083 2997.65 0.607413 0.461737 0.423395 0.537641 1526.59 -1.49164 0.0697448 4096.44 0.0996691
2155.77 0.683709 -0.575473 1979.84 0.87074 2.17967 4234.49 0.320911 0.512033 0.708044 0.783775 522.3 -0.832776 0.0105515 5932.32 0.0996691
2095.98 -0.570348 -1.38069 975.951 -0.459213 0.534282 2595.33 0.538056 0.390969 0.685026 0.748731 1732.44 2.20132 0.319696 3507.26 -0.0996691
1812.43 -0.514743 -1.36146 1599.95 -0.0120352 0.733427 3118.22 0.293524 0.572778 0.787029 0.842942 616.363 1.53509 0.80416 4821.61 -0.0996691
1351.24 1.50084 -3.06884 1202.34 0.434382 0.983584 2810.9 0.413872 0.27914 0.765275 0.790972 988.827 -0.930951 0.359483 2608.9 0.0996691
854.469 1.36097 0.071063 301.576 -0.65566 -2.74021 1596.76 0.737482 0.863049 0.771715 0.764117 310.283 -2.99056 0.232282 1407.9 0.0996691
1540.27 0.67732 2.66145 401.285 1.02296 -1.75775 1366.54 0.564577 0.775729 0.738082 0.716073 1217.12 -0.20933 0.0499864 2219.92 0.0996691
2379.02 0.138721 -3.00765 2219.9 0.301139 0.10385 4656.05 0.584076 0.728548 0.567334 0.745498 144.436 0.171734 0.0750104 4648.77 0.0996691
369.843 0.841845 -2.20386 309.566 0.0136218 0.993399 784.549 0.826477 0.832402 0.812262 0.66834 73.8367 0.996872 0.0263325 844.858 0.0996691
1186.18 1.08998 -0.278927 258.114 -0.0408328 -2.70648 1294.15 0.626959 0.732219 0.806876 0.807285 941.157 3.00431 0.375286 1665.37 0.0996691
440.408 1.8445 0.627061 362.031 2.76971 -2.5742 935.342 0.846496 0.416872 0.784962 0.745513 75.4721 -2.97916 0.228216 784.582 0.0996691
557.715 2.10381 -1.14995 259.851 -1.82119 -2.75216 2727.91 0.858084 0.739739 0.827363 0.794841 526.365 1.85928 0.28345 989.032 0.0996691
2416.14 0.578208 1.46823 1657.34 1.28327 -1.87489 4411.15 0.438339 0.301156 0.664883 0.812351 731.043 -1.36871 0.0916468 4616.55 0.0996691
1520.84 -0.0537093 2.69411 624.537 -1.37353 -0.180323 2410.42 0.686708 0.606146 0.827423 0.691528 786.703 -1.42032 0.143005 2943.67 -0.0996691
1000.42 0.1653 -0.172072 790.266 -0.647214 -2.74856 1914.92 0.568144 0.509796 0.728053 0.787042 125.488 -1.48033 0.128265 2624.8 0.0996691
370.435 -0.130555 -0.406451 317.736 -1.82618 2.67635 1005.08 0.879471 0.791554 0.858789 0.755122 49.4067 2.93613 0.0985842 722.984 0.0996691
2030.11 -0.304476 2.40227 399.687 1.33381 0.48182 2230.85 0.804745 0.831437 0.795215 0.845924 1817.3 -0.896374 0.0183644 2585.74 0.0996691
2354.5 0.312893 -0.868155 2058.56 -0.0389601 3.11201 4160.94 0.261263 0.687026 0.766206 0.742837 1091.11 0.728648 0.364186 5316.13 0.0996691
2447.31 -0.324489 -1.16629 1427.25 0.350277 1.36742 3860.06 0.54948 0.189458 0.752035 0.693376 352.261 2.54273 0.0122089 5061.32 0.0996691
797.061 -1.16897 -1.91387 733.261 0.702239 1.22221 2297.06 0.485704 0.730794 0.797604 0.800768 138.607 -0.524273 0.20756 1993.56 0.0996691
355.815 2.67646 -0.120572 316.414 -1.72682 3.09063 3080.37 0.698227 0.775293 0.795128 0.809092 97.8367 2.06258 0.673966 830.96 0.0996691
2478.64 -0.68946 -0.733293 1575.07 -0.72927 2.20131 3996.56 0.420882 0.592779 0.619282 0.53719 987.563 2.68606 0.311024 4267.25 0.0996691
951.885 -0.889744 1.32512 522.307 -0.103295 -1.81084 1551.96 0.670609 0.56959 0.767116 0.700875 369.782 -1.73215 0.0732086 1416.17 0.0996691
2184.93 -0.353368 -2.47806 2139.63 1.16341 0.632827 5673.72 0.475896 0.557647 0.541387 0.800013 783.341 -2.5817 0.05124 5238.06 0.0996691
1696.56 0.103387 -1.6938 1407.55 -0.352376 1.70332 3253.26 0.545244 0.180931 0.785571 0.792877 362.025 0.767747 0.546292 3246.27 0.0996691
1934.24 -0.0279602 2.3945 1500.63 -0.21534 -1.24192 3390.54 0.805169 0.540617 0.695253 0.711554 856.418 0.0378578 0.107932 3882.16 0.0996691
1525.84 0.48201 -0.85834 1458.12 0.129081 1.15042 2635.67 0.216902 0.698418 0.717226 0.779847 2248.68 3.09193 0.0987585 4046.61 0.0996691
1733.16 -0.445932 -0.66651 1515.86 1.32411 1.43923 4321.66 0.851807 0.740067 0.748959 0.792873 344.711 1.95997 0.505419 4896.8 0.0996691
2140.09 -0.387966 -2.37921 1366.36 -0.52117 1.97203 2862.22 0.488424 0.736503 0.713478 0.691856 1348.67 0.057417 0.173483 4325.25 0.0996691
1474.06 -0.126701 1.99883 926.877 -0.762435 -1.29646 2510.16 0.288275 0.680785 0.831333 0.606985 555.643 -0.954509 0.0589572 2415.55 0.0996691
2284.77 0.579965 2.7247 989.892 0.808512 0.879158 2520.29 0.525234 0.498173 0.759075 0.818398 2109.88 -0.811463 0.29484 3373.25 0.0996691
559.555 -1.33002 -0.551509 312.58 -0.997232 2.86637 929.392 0.742022 0.573207 0.808958 0.523789 359.773 2.58144 0.379425 1371.85 0.0996691
1764.33 0.791683 2.99721 678.68 1.11501 -2.15528 1279.99 0.532248 0.506777 0.797222 0.630109 1886.91 0.0862267 0.343989 2735.82 0.0996691
534.762 -2.65269 -0.137861 476.448 -0.758179 3.08281 1562.99 0.674214 0.72466 0.801504 0.764019 13.5953 0.830568 0.11202 1095.45 0.0996691
1303.39 1.45227 1.14031 1252.27 -0.503357 2.0464 3318.35 0.606503 0.145455 0.643886 0.806081 2082.29 -1.54006 0.0787426 2955.42 0.0996691
1608.84 0.185275 0.216447 338.245 0.633165 -2.8444 1586.4 0.777782 0.806798 0.854787 0.709164 1159.48 -2.86423 0.0113416 2652.82 0.0996691
2313.43 -0.336277 -1.87036 1817.5 -0.201239 1.54054 4424.99 0.0818265 0.64702 0.755918 0.833954 480.439 -2.10752 0.146855 5696.4 0.0996691
1544.12 -0.670362 0.955153 1517.6 -0.48907 -2.26838 3131.25 0.432333 0.176405 0.821112 0.755448 79.5061 -1.45862 0.196547 3205.99 0.0996691
400.419 1.61973 0.664188 287.805 1.65292 2.66119 667.446 0.53332 0.656678 0.840749 0.784839 257.357 -2.54077 0.0211015 1144.83 0.0996691
1494.67 0.90901 -1.09612 1112.6 0.633585 1.93968 2630.7 0.475454 0.651971 0.645507 0.672354 1153.32 2.07842 0.137978 3451.66 0.0996691
1434.47 -0.678165 0.784773 423.267 0.484209 -3.06568 1787.72 0.718374 0.646854 0.712681 0.627105 1116.52 -2.14044 0.103186 2168.06 0.0996691
664.636 -0.513484 1.11381 610.697 -1.5132 -2.03742 1464.92 0.630566 0.86893 0.703584 0.757372 36.9316 -2.09858 0.0569301 1227.14 0.0996691
416.144 -0.474831 -0.415836 380.989 -0.958229 2.7005 847.202 0.807792 0.787473 0.774278 0.744913 18.0367 2.74842 0.0601542 765.218 0.0996691
2016.77 -0.3195 -2.92215 1243.22 0.119914 1.46158 2736.36 0.757329 0.868127 0.721027 0.805002 1484.46 -0.404034 0.166858 4141.45 0.0996691
1592.09 0.645965 -0.961039 697.744 -0.568319 1.79434 2503.81 0.724537 0.526637 0.696093 0.657687 876.164 2.4633 0.265979 2294.19 0.0996691
2110.54 0.241009 -0.731353 1007.32 -0.00105653 2.64371 2987.44 0.559903 0.422319 0.661322 0.612365 1233.39 2.65001 0.0953634 3955.28 0.0996691
1690.97 0.0986272 2.44615 978.641 0.557 -0.105183 2567.47 0.696588 0.588576 0.578922 0.735712 535.893 0.465424 0.0667396 3537.34 0.0996691
1535.98 -0.41004 -1.38699 1534.6 -0.731475 0.796222 2808.6 0.667977 0.892097 0.839917 0.896958 1323.54 2.79163 0.241299 3103.48 -0.0996691
1179.11 0.0542985 -1.5445 840.229 0.48614 -0.62519 1055.75 0.659814 0.529253 0.881255 0.69607 1714.5 1.96774 0.0492499 2295.55 0.0996691
2279.84 -0.127891 -2.22337 1779.42 -0.833304 0.683584 4494.73 0.141088 0.629878 0.575166 0.742555 162.624 -1.82178 0.0173407 5465.3 -0.0996691
1246.87 0.868158 2.61536 810.449 0.878957 -0.565268 2125.5 0.642291 0.725747 0.58895 0.755695 395.55 -0.332436 0.160213 2106.93 0.0996691
428.442 1.64401 -1.00967 410.794 1.07596 2.15391 935.138 0.786135 0.750078 0.872769 0.708471 18.185 2.63913 0.211313 847.651 0.0996691
2318.33 -0.0775344 1.7103 1837.04 -1.12227 -0.990522 4642.92 0.74653 0.824017 0.700124 0.837517 871.665 -2.34168 0.45916 4491.89 0.0996691
