pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
511.143 1.54203 -2.25711 326.269 0.163689 0.533253 1029.68 0.73767 0.799221 0.761631 0.843855 111.561 0.1946 0.338653 1045.9 92.9047 5.16137
777.205 0.515039 0.0632657 694.506 -1.91661 2.81675 2717.32 0.727729 0.777389 0.825958 0.822594 392.77 -2.00398 1.46246 1617.31 92.9047 8.44588
289.256 -0.136884 1.18953 -1 -1 -1 -1 0.759794 -1 0.792439 -1 159.583 -1.67566 2.86519 487.962 92.9047 7.53281
749.72 -1.47459 -1.18502 581.727 -1.09104 -2.86146 1081.75 0.70445 0.62092 0.707003 0.760689 529.577 1.30517 2.11655 1633.3 92.9047 7.74206
940.187 0.646585 1.97782 742.792 -1.18373 -1.08342 2441.82 0.453361 0.622343 0.789015 0.844516 54.0247 0.296636 1.38006 2098.08 92.9047 9.48007
571.94 0.530353 2.4497 305.648 -0.344805 1.76544 519.37 0.794329 0.642971 0.801402 0.784899 839.998 -0.889377 2.65482 1499.67 92.9047 8.99078
843.056 -0.65072 2.40231 530.448 0.463513 -0.109852 1582.18 0.664103 0.57713 0.719616 0.784754 203.837 -0.349018 0.239166 2242.14 92.9047 8.3376
761.123 -1.14653 -1.16092 290.953 0.401193 -1.80441 920.049 0.417635 0.698481 0.776456 0.780385 842.544 1.79848 2.68029 1238.98 92.9047 9.17577
585.361 -0.236048 1.22161 506.406 -1.5113 3.1322 1194.91 0.54871 0.808765 0.748809 0.707009 522.653 -0.603443 1.82505 1767.41 92.9047 10.074
502.367 -1.49226 0.285846 354.065 0.199588 -2.28923 1189.91 0.72641 0.636369 0.752621 0.769788 506.172 3.04254 0.951411 1129.64 92.9047 9.1083
558.014 -0.444676 3.04649 480.575 -1.66734 1.89792 936.709 0.64161 0.435861 0.741138 0.89057 838.107 -0.61764 2.51556 1089.7 92.9047 8.17561
1228.09 -0.410261 -1.1142 654.246 0.00393752 2.56542 1823.26 0.582874 0.392789 0.60638 0.841424 251.867 1.53111 1.03431 2450.96 92.9047 8.51035
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 48.1251 -2.548 1e+06 269.058 92.9047 7.89386
633.486 -1.73394 2.23823 -1 -1 -1 -1 0.694638 -1 0.751412 -1 469.448 -0.840169 3.0784 1075.65 92.9047 8.3376
573.378 -0.788104 0.341376 487.546 1.84132 -2.80368 2181.53 0.413115 0.6797 0.81929 0.589082 40.7123 -0.0735829 0.414959 1369.11 92.9047 8.65571
265.605 1.44179 2.07933 -1 -1 -1 -1 0.759051 -1 0.781832 -1 92.2847 -1.04691 3.12624 768.13 92.9047 8.90105
677.889 1.11662 -1.24156 -1 -1 -1 -1 0.233356 -1 0.862917 -1 760.145 2.20118 2.84044 921.061 92.9047 9.07689
805.033 0.563306 -0.243715 341.935 -1.23766 2.25661 1496.47 0.697727 0.750384 0.822691 0.78078 550.93 2.72761 0.471 1450.44 92.9047 9.03937
1110.52 -1.98395 -0.480995 -1 -1 -1 -1 0.418292 -1 0.840861 -1 848.195 2.53992 3.02092 1480.06 92.9047 9.00607
739.831 -0.0864165 1.62078 589.279 -1.20973 -2.77272 1366.44 0.516629 0.747432 0.850351 0.845385 547.605 -0.742383 2.03034 1645.84 92.9047 8.80613
866.18 -0.891491 -2.56643 588.932 -0.167568 -0.288652 1432.75 0.517527 0.6102 0.652879 0.648402 130.502 0.993291 1.28194 1967.65 92.9047 8.16317
457.358 -0.200158 -0.727124 380.802 -0.375558 1.47032 779.742 0.723628 0.68381 0.851861 0.809864 327.434 3.09008 1.61975 795.591 92.9047 8.34246
405.223 1.75892 -2.10557 280.467 -1.67698 -2.07628 1832.89 0.711213 0.578185 0.838065 0.838512 315.151 1.12063 3.05698 1137.43 92.9047 8.54723
850.08 -0.621083 -2.97748 260.93 1.17261 0.335657 1414.04 0.27249 0.83436 0.706721 0.792358 499.963 0.151304 0.184354 1421.38 92.9047 8.31982
805.524 0.303535 0.127452 522.519 -1.1469 2.72104 1657.07 0.758524 0.815068 0.76683 0.818457 292.162 -2.21717 1.34498 1789.01 92.9047 8.41528
840.181 -0.73736 0.164444 520.187 -1.5693 1.34165 968.556 0.56447 0.679145 0.797101 0.765537 930.708 -2.52538 2.41616 1503.99 92.9047 8.65778
637.47 0.153427 0.552163 609.054 -0.245095 2.61117 1146.92 0.832318 0.502775 0.712717 0.787473 64.4176 -2.66894 1.00307 1758.91 92.9047 8.8015
