pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight cross_section
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 20.8743 -1.73127 1e+06 212.076 0.0996691 0.00766685
498.13 0.30204 -3.02987 -1 -1 -1 -1 0.781307 -1 0.86441 -1 250.629 0.261232 2.99208 694.265 0.0996691 0.0104915
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 27.3389 2.49666 1e+06 203.9 0.0996691 0.0124586
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 111.437 2.1034 1e+06 310.555 0.0996691 0.0124586
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 51.6676 3.09243 1e+06 180.782 0.0996691 0.0151014
432.344 -1.53136 -1.5868 411.604 -2.21258 1.55484 1007.02 0.840816 0.78291 0.722292 0.829626 66.9469 0.587627 0.967215 749.595 0.0996691 0.0149504
1682.74 -0.160076 -0.280879 1279.21 -0.016839 1.80992 2847.46 0.824983 0.375014 0.838952 0.889404 1144.69 -2.71923 1.75404 3606.35 0.0996691 0.0170167
2163.89 -0.405422 -1.08475 1269.44 -0.449626 1.32864 3173.62 0.699709 0.791292 0.822167 0.753743 241.477 2.01575 0.687114 4817.49 -0.0996691 0.010873
1899.98 -0.284007 1.66778 1235.36 0.567155 -0.537707 3159.2 0.756888 0.383004 0.841501 0.733769 916.434 -1.8587 1.32099 3861.38 0.0996691 0.0118251
1629.79 0.265941 2.87228 1440.68 -0.818601 -1.88353 2821.91 0.778469 0.6807 0.920135 0.602268 475.526 0.28889 2.17242 4664.55 -0.0996691 0.00934398
3036.52 -0.431346 0.428486 2634.17 -0.420067 -2.41964 5721.44 0.286641 0.811567 0.804473 0.818237 38.1218 0.527402 0.0989158 6589.41 0.0996691 0.0107336
1563.91 0.271808 -1.02474 1514.62 0.248021 2.09277 3166.38 0.812332 0.38289 0.807906 0.801576 135.175 0.585054 1.50771 3518.51 0.0996691 0.0119008
293.26 -2.63322 -0.219994 -1 -1 -1 -1 0.806344 -1 0.846334 -1 201.933 -2.87929 2.65929 419.337 0.0996691 0.0131915
765.343 -0.584948 -0.446608 465.915 1.06531 2.64373 1697.84 0.744031 0.620144 0.814812 0.825763 315.802 2.55875 0.08498 1177.77 0.0996691 0.0142384
441.154 1.44964 0.268059 387.63 0.011988 -2.98168 1124.52 0.839739 0.812275 0.80596 0.889548 26.6782 1.08632 0.818261 870.473 0.0996691 0.0127484
2129.69 -0.803499 1.82472 1795.18 -0.985633 -1.64896 4238.57 0.066843 0.551888 0.850479 0.782549 249.811 0.388996 1.43573 4569.34 0.0996691 0.0135912
272.318 1.08523 1.49369 -1 -1 -1 -1 0.756757 -1 0.778526 -1 23.4945 -0.821269 2.31496 604.797 0.0996691 0.0140837
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 45.2081 2.98574 1e+06 288.05 0.0996691 0.0145351
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 47.1786 3.06296 1e+06 301.5 0.0996691 0.0151014
259.879 1.02815 -0.338326 -1 -1 -1 -1 0.728053 -1 0.763961 -1 110.91 2.87468 3.07018 456.763 0.0996691 0.0154826
251.395 1.27939 0.240717 -1 -1 -1 -1 0.83742 -1 0.751167 -1 63.6838 -3.04173 3.00074 438.792 0.0996691 0.0159847
354.445 -1.74261 -0.582808 301.823 -1.52508 2.89073 726.915 0.803632 0.647104 0.864523 0.829136 47.7738 1.85094 1.03979 667.436 0.0996691 0.0160182
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 35.2861 -0.691724 1e+06 380.708 0.0996691 0.0151497
455.761 0.644226 2.11387 -1 -1 -1 -1 0.796619 -1 0.858716 -1 248.396 -0.944848 3.05872 783.805 0.0996691 0.0153337
313.741 1.88925 -0.246792 -1 -1 -1 -1 0.824882 -1 0.780534 -1 229.942 2.99973 3.03666 507.473 0.0996691 0.0159775
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 53.1381 0.00678812 1e+06 460.191 0.0996691 0.0142384
459.005 2.4046 -1.83563 456.269 1.00535 1.42239 1231.02 0.81075 0.78929 0.705937 0.849149 39.2017 -0.0644084 1.4868 887.383 0.0996691 0.0146012
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 28.3866 -0.0300699 1e+06 445.123 0.0996691 0.0146752
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 37.3149 -0.798131 1e+06 393.097 0.0996691 0.0147439
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 53.9702 -2.99612 1e+06 290.469 0.0996691 0.0144771
1924.59 -0.677256 3.02453 949.651 -0.336613 -1.23819 2443.35 0.557652 0.3964 0.559918 0.766464 562.427 0.580774 1.81896 3997.75 0.0996691 0.0145463
1410.21 -0.81045 -0.12433 1030.62 0.667129 -3.1036 3129.12 0.630403 0.591401 0.796033 0.727973 129.213 2.27597 0.903615 2761.71 0.0996691 0.0138155
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 47.4955 -0.887709 1e+06 377.173 0.0996691 0.0133815
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 12.1996 -0.111016 1e+06 441.705 0.0996691 0.0132892
1749.84 -0.570678 -1.86704 1707.3 0.806471 0.316052 4034.02 0.655037 0.806858 0.850703 0.829033 532.463 0.606286 0.290233 6014.9 -0.0996691 0.0126218
335.652 0.117104 -1.48797 -1 -1 -1 -1 0.79304 -1 0.716579 -1 295.84 1.6324 3.12037 418.917 0.0996691 0.0119603
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 34.805 -0.351944 1e+06 224.405 0.0996691 0.0121166
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 59.7626 1.036 1e+06 326.175 0.0996691 0.0121733
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 2.54424 -1.91403 1e+06 264.463 0.0996691 0.0124116
516.183 -0.464063 -1.60637 389.654 -1.66709 1.53224 1140.25 0.719711 0.865411 0.76461 0.829203 144.339 1.03931 0.492934 916.792 0.0996691 0.0125509
290.959 1.1716 1.68358 -1 -1 -1 -1 0.789218 -1 0.896659 -1 248.988 -1.4097 3.09329 393.194 0.0996691 0.0127781
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 56.4836 -0.7053 1e+06 531.911 0.0996691 0.0130476
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 42.8513 -0.311346 1e+06 281.842 0.0996691 0.0130309
565.872 -1.44338 1.25257 558.34 -1.54846 -1.81568 1234.36 0.730384 0.873058 0.824388 0.776928 45.223 -1.77311 0.0425731 1008.13 0.0996691 0.0132892
504.813 0.671937 1.93054 469.068 0.40301 -1.16467 1036.34 0.815216 0.807761 0.814696 0.732381 60.7594 -0.942095 0.22258 999.491 0.0996691 0.0132665
490.433 2.7196 0.195444 439.669 2.19362 -2.88698 1029.32 0.709174 0.80363 0.892521 0.813312 41.3719 2.96965 0.426549 991.452 0.0996691 0.0135145
497.525 -0.1281 -1.00352 -1 -1 -1 -1 0.61077 -1 0.732158 -1 441.292 2.16928 3.11038 590.378 0.0996691 0.0132247
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 25.2253 -1.27484 1e+06 244.484 0.0996691 0.0130408
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 10.4807 2.72807 1e+06 524.72 0.0996691 0.0133098
587.107 1.07018 0.740139 531.471 -0.256729 -3.10723 1365.24 0.671046 0.657907 0.760076 0.806243 21.4962 1.77152 1.03138 1537.76 0.0996691 0.0134111
692.565 0.50113 -0.851377 448.123 -1.74355 2.8815 1924.69 0.804426 0.815541 0.914427 0.81452 421.009 2.8966 0.0151019 1352.57 0.0996691 0.0135094
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 47.8758 1.79292 1e+06 234.525 0.0996691 0.0136047
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 24.6058 2.19413 1e+06 340.406 0.0996691 0.0138184
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 29.0991 -2.2513 1e+06 108.281 0.0996691 0.0139886
1229.56 -1.28397 -0.340115 617.427 1.29118 1.87718 3362.73 0.867356 0.576024 0.71062 0.819311 654.46 2.9571 1.07992 2365.77 0.0996691 0.0139937
2267.32 -0.705703 -1.22562 1243.91 0.0868241 2.06161 3845.82 0.307422 0.451892 0.70776 0.759417 161.282 1.71327 0.348337 4754.5 0.0996691 0.0141174
1600.7 0.320768 2.57151 282.171 0.175856 -0.20461 1429.43 0.786771 0.726755 0.853922 0.781499 1324.54 -0.616892 0.412283 1793.89 0.0996691 0.0143591
358.653 1.78027 -0.028321 352.619 0.296894 -3.05019 980.092 0.755165 0.627884 0.887262 0.700922 24.0931 1.86316 1.36983 679.723 0.0996691 0.0145584
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 21.3196 1.08688 1e+06 172.107 0.0996691 0.0147968
474.049 -2.18174 -2.28591 466.245 -0.563674 0.976513 1348.59 0.79755 0.854878 0.842856 0.797639 52.3836 -1.5817 0.704204 1065.87 0.0996691 0.014992
1401.63 0.110874 -0.697385 452.059 1.77468 -0.649156 1576.06 0.67386 0.705154 0.649333 0.808775 1630.07 2.46798 3.11714 1961.84 0.0996691 0.0149776
342.291 -1.84838 0.541565 251.468 -1.43671 -2.72029 684.229 0.790378 0.698673 0.808366 0.792212 58.9085 -2.36366 0.356622 611.987 0.0996691 0.0150444
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6.7868 -0.128293 1e+06 258.986 0.0996691 0.0151497
360.073 -0.0173091 -2.30107 303.786 -1.50371 1.44626 876.293 0.722475 0.828079 0.774557 0.805888 30.8205 0.970765 0.475498 777.483 0.0996691 0.0153745
1459.61 -0.26414 -1.56686 1364.05 0.627947 1.27472 3144.11 0.705667 0.669953 0.532624 0.864036 92.4933 1.62793 0.353211 3170.67 0.0996691 0.0154343
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 159.381 1.34258 1e+06 250.564 0.0996691 0.0152555
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 26.1311 0.193107 1e+06 488.06 0.0996691 0.0154703
1177.62 0.262524 -2.00308 1142.84 1.27852 1.48345 2676 0.690924 0.652875 0.802859 0.700444 155.83 -0.72126 1.28182 3550.52 -0.0996691 0.0150255
1137.83 -0.48106 -0.390261 375.339 0.897168 2.99717 1679.51 0.60421 0.827189 0.781183 0.761069 808.801 2.75269 0.244486 1497.88 0.0996691 0.0151995
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 38.5275 -0.245218 1e+06 404.189 0.0996691 0.015258
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 51.7396 -0.709199 1e+06 196.671 0.0996691 0.0153525
1714.74 0.256358 -1.86374 1214.92 -0.562717 1.38785 3182.94 0.806317 0.484159 0.775202 0.804493 148.009 0.563536 0.824316 3278.18 0.0996691 0.0151877
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 24.1735 -2.38979 1e+06 164.38 0.0996691 0.0153519
3103.55 -0.424515 1.3549 2240.92 -0.381938 -2.14191 5520.71 0.141695 0.849699 0.756255 0.755569 152.407 -1.90929 0.232618 6738.59 0.0996691 0.015478
261.674 1.54571 1.77873 -1 -1 -1 -1 0.731889 -1 0.80929 -1 80.8574 -1.37835 3.12611 380.568 0.0996691 0.0155298
648.274 -0.10507 -2.11862 -1 -1 -1 -1 0.778145 -1 0.876795 -1 539.597 0.995183 3.1138 726.246 0.0996691 0.0155091
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 85.0479 1.32333 1e+06 228.58 0.0996691 0.0156299
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 29.3347 -0.9144 1e+06 253.75 0.0996691 0.0157136
287.521 1.92606 0.678321 279.993 2.84426 -2.33061 725.548 0.753734 0.685615 0.799501 0.896673 65.896 -2.25605 0.0745597 567.605 0.0996691 0.0158311
297.24 1.06004 1.3907 -1 -1 -1 -1 0.737768 -1 0.762156 -1 127.006 -1.71285 3.10355 476.575 0.0996691 0.0159117
420.65 0.415351 1.1534 409.214 2.07234 -1.97226 1187.05 0.829339 0.758788 0.853135 0.876776 61.2494 -1.47651 0.495752 812.267 0.0996691 0.0157146
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 53.0553 1.88344 1e+06 287.273 0.0996691 0.0158955
344.581 1.50739 -1.59016 309.629 -0.408742 1.40707 1040.59 0.779876 0.840428 0.794953 0.784575 37.283 -2.67307 1.08291 701.183 0.0996691 0.0160757
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 44.8071 1.80055 1e+06 301.199 0.0996691 0.0161167
341.778 2.83225 -3.08031 329.699 -1.34605 0.00587088 2774.62 0.660095 0.82379 0.776129 0.81207 4.94569 -2.27459 0.805723 608.776 0.0996691 0.0162596
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 23.7973 0.0261628 1e+06 179.553 0.0996691 0.0164012
251.899 2.07108 -2.27899 -1 -1 -1 -1 0.854364 -1 0.641397 -1 5.24035 -0.426021 1.85297 478.403 0.0996691 0.0164381
309.679 -0.536629 2.03606 -1 -1 -1 -1 0.750983 -1 0.823022 -1 98.827 -0.683874 2.71993 543.236 0.0996691 0.0158519
373.923 1.96651 -1.50664 368.734 1.33414 1.75598 865.521 0.793198 0.689763 0.781297 0.83954 87.5684 0.481677 1.2743 655.17 0.0996691 0.0156761
