pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
790.382 0.672502 -1.1216 388.875 -0.419639 -1.28855 668.482 0.697945 0.68372 0.724692 0.752102 518.133 1.86242 0.206388 1528.56 1.5571
324.927 1.54463 2.05246 279.745 0.191529 -2.72654 628.19 0.393329 0.431259 0.73703 0.491275 410.717 0.486953 0.00881594 984.188 1.5571
534.507 0.152214 2.01116 257.809 0.328996 -0.0315585 665.834 0.671743 0.413491 0.435496 0.805233 1035.04 -1.07099 0.163942 874.622 1.5571
464.392 -0.365875 -1.24144 318.524 -0.0437438 0.795876 685.267 0.49491 0.643473 0.86047 0.69473 448.198 2.25465 0.784225 1021.02 1.5571
677.294 0.057329 -2.75116 483.662 -0.0954324 0.873654 1140.23 0.570474 0.59712 0.776147 0.487707 182.257 1.77969 0.859506 1399.28 -1.5571
357.027 -1.15624 2.14666 294.977 0.0621967 -0.232412 765.349 0.2047 0.807708 0.724048 0.73124 336.391 2.68022 0.363195 831.178 1.5571
306.261 0.512078 2.52114 297.243 -0.911908 1.81761 528.281 0.538065 0.723559 0.754117 0.783154 81.9048 -2.71782 1.03846 714.849 -1.5571
778.835 0.269257 -0.774493 309.155 -0.184922 2.87205 1016.77 0.594564 0.51949 0.708819 0.45654 793.606 -0.265413 0.513911 1281.22 -1.5571
475.536 0.878526 3.11717 255.715 0.877301 -0.304325 718.788 0.624544 0.382473 0.579967 0.693877 172.919 1.47995 1.19794 763.396 1.5571
1237.59 -0.402193 -2.06124 282.878 -1.17857 1.18753 1287.47 0.663612 0.508058 0.68221 0.769286 83.6376 0.90085 0.286856 1659.13 1.5571
518.71 -0.298089 1.79815 414.205 0.0929929 -3.00518 694.491 0.566877 0.60697 0.755415 0.746784 1444.76 -0.68386 0.124255 1250.14 1.5571
415.541 -0.659445 0.979335 380.095 -0.0624467 -1.75044 830.252 0.627184 0.641079 0.777744 0.819276 418.426 1.89708 0.88639 794.379 1.5571
338.673 -0.0622403 2.93746 290.218 1.41437 -1.00251 774.3 0.439083 0.583609 0.591095 0.824792 276.515 -0.158667 0.667025 741.286 1.5571
505.941 -0.209721 -2.73814 275.029 0.58165 0.977213 784.161 0.554435 0.454367 0.775402 0.705181 105 -1.64218 0.43991 1095.87 1.5571
532.027 0.29131 -0.743718 341.374 -0.953599 1.09772 897.956 0.48378 0.4648 0.83984 0.721175 145.441 2.87993 0.0307882 1089.02 1.5571
428.713 -0.911493 2.17872 267.865 1.26731 -1.82923 1089.47 0.525503 0.56039 0.809322 0.775492 522.809 -1.7808 0.0389675 1078.07 1.5571
451.246 0.269668 2.7274 275.004 -0.00342084 0.378564 709.581 0.257072 0.62121 0.745671 0.7287 222.057 -1.40494 0.435921 934.272 1.5571
454.106 -1.597 2.60624 383.869 -0.734098 -1.0873 914.483 0.535378 0.517069 0.27191 0.650925 1024.83 1.42521 0.00602615 919.496 1.5571
785.277 -1.40631 0.080073 408.446 -0.234861 1.29156 994.809 0.702636 0.838126 0.847014 0.719521 1271.65 -2.48717 0.353026 1237.16 1.5571
396.435 0.428369 -2.38149 389.505 -1.233 1.53766 1041.83 0.754169 0.815991 0.848942 0.769945 680.138 0.768481 0.453917 845.649 1.5571
885.188 0.537136 1.41303 502.646 -0.386177 -2.83706 1338.65 0.774105 0.550515 0.773767 0.756928 286.448 -3.12193 0.236287 1758.86 1.5571
695.931 0.2921 0.433463 460.028 1.55317 -3.06893 1365.63 0.261817 0.757083 0.623765 0.750316 102.174 -1.40778 0.0749546 1183.52 1.5571
612.873 1.02148 -2.49856 276.26 0.346306 -0.789862 700.246 0.438118 0.597297 0.797493 0.769602 687.323 2.60349 1.1807 1056.96 -1.5571
685.513 -0.210506 -0.769404 474.182 0.82755 3.13817 1240.5 0.699758 0.590019 0.686692 0.752404 324.861 2.59427 0.534703 1460.56 1.5571
311.949 -1.3426 1.04504 264.211 -0.317416 0.457143 370.474 0.462309 0.76806 0.867984 0.661236 918.764 -2.09973 0.618826 784.463 1.5571
495.208 -0.786205 -1.89605 348.836 -1.35591 0.912925 950.228 0.264787 0.730073 0.775718 0.469457 405.189 -1.29004 0.179496 1160.45 1.5571
765.507 -0.410988 -1.65721 476.791 0.304368 -0.599024 769.987 0.631918 0.458929 0.860096 0.709018 346.121 1.25669 0.501298 1470.91 1.5571
532.802 -0.255656 1.43636 389.099 0.0942656 -0.831316 881.364 0.791482 0.703601 0.83563 0.830198 95.5831 -1.47654 0.253811 1292.14 1.5571
916.988 -0.338596 -0.116042 298.138 0.714236 -0.341074 612.978 0.126688 0.575522 0.686616 0.667284 1210.89 -2.97758 0.0313156 1640.16 1.5571
592.453 0.352371 3.13955 311.881 -0.473056 -1.67943 708.092 0.382165 0.681917 0.696096 0.591798 101.173 1.53231 0.53485 1289.18 1.5571
458.623 -0.256452 0.604659 271.526 0.0334575 -2.05075 702.591 0.716088 0.680486 0.739065 0.800428 783.164 2.51629 1.69906 911.47 1.5571
382.666 -0.752017 -2.71839 312.969 -1.46312 0.382549 757.242 0.735313 0.680026 0.815243 0.797554 297.264 0.573789 0.14305 649.807 1.5571
361.222 -0.271793 3.00302 354.345 -0.844175 0.4722 740.776 0.754426 0.406993 0.722878 0.784788 263.552 -2.43218 0.442972 907.113 1.5571
458.053 -0.68903 1.63051 294.4 0.372681 -1.61528 856.87 0.754476 0.739966 0.739879 0.87894 167.969 -0.316885 1.31033 704.013 1.5571
339.126 0.298327 -2.3411 267.182 1.83785 -1.706 556.239 0.337484 0.549402 0.72492 0.700507 781.959 0.0566085 0.114323 927.956 1.5571
497.395 -0.022164 -2.37322 348.483 0.227929 0.730565 852.433 0.582596 0.48763 0.744582 0.605812 210.72 1.06887 0.0431938 840.97 1.5571
458.516 0.491823 -1.67162 337.124 0.489246 -0.066113 585.77 0.763371 0.622248 0.759418 0.721956 627 2.20083 0.0262496 884.361 1.5571
902.553 -0.345235 -1.0225 497.408 0.748854 1.79345 1599.67 0.240628 0.178311 0.611711 0.563095 324.896 3.00382 0.226022 1628.06 -1.5571
544.42 0.36574 -1.89985 387.339 0.395593 2.17693 841.796 0.767559 0.652193 0.795637 0.881509 162.372 2.03573 0.160968 1163.93 1.5571
340.84 -1.21221 -1.08695 332.543 -0.733894 2.12677 704.454 0.672542 0.70381 0.821909 0.805911 523.228 -0.69456 0.378822 979.392 1.5571
312.17 -0.199484 -2.17395 252.95 1.23254 2.49412 610.181 0.755459 0.796856 0.840983 0.848874 92.0185 2.71033 0.214807 594.697 1.5571
538.351 0.906763 -1.84306 426.83 -0.683232 2.70508 1131.15 0.52973 0.852282 0.849145 0.774805 188.066 0.167558 0.0928788 1479.03 -1.5571
688.828 -0.484338 -2.57023 463.901 0.796722 1.23202 1337.09 0.653709 0.613075 0.848627 0.704424 209.871 0.611755 0.109877 1473.56 1.5571
537.922 -0.365409 2.66644 314.991 0.331582 -1.44714 803.606 0.506608 0.437371 0.678074 0.756533 560.353 -0.489934 0.255432 1231.09 1.5571
502.98 -0.171017 3.02588 460.427 0.16634 -0.31528 991.391 0.315997 0.65449 0.809829 0.70254 215.275 -0.0189609 0.298093 1103.6 1.5571
846.559 -0.200189 -0.233894 363.585 0.364768 2.8707 1169.07 0.684865 0.641172 0.745096 0.784172 695.772 2.19863 0.177592 1465.8 1.5571
302.029 -1.30258 -3.05163 262.449 -0.159542 -1.03566 597.476 0.608298 0.565361 0.7598 0.727073 1064.3 1.58937 0.00237513 810.664 1.5571
805.523 0.321554 -1.00259 288.534 0.743882 3.037 923.101 0.343596 0.552496 0.762073 0.745077 606.041 1.86192 0.404252 1269.94 -1.5571
352.351 -0.952539 2.16397 275.331 0.254958 -1.0669 750.811 0.693266 0.536863 0.659051 0.694147 374.609 -0.492609 0.535123 827.14 1.5571
534.54 0.1542 -0.655252 379.731 -0.0912236 1.09734 721.363 0.238453 0.711096 0.86989 0.636677 253.638 2.6807 0.510601 1046.55 1.5571
303.719 2.024 -1.96822 258.713 0.2905 -3.04923 629.681 0.766533 0.848491 0.793134 0.686353 818.417 0.669737 0.722675 629.476 1.5571
532.043 -0.750407 -0.124412 258.261 1.26065 -1.97755 1066.29 0.549072 0.778991 0.844583 0.612808 974.398 -3.11572 0.0234101 991.228 1.5571
433.45 1.96642 -2.01432 341.631 1.11108 0.486434 814.074 0.325695 0.770755 0.712044 0.695461 514.503 1.24315 0.758209 1341.54 1.5571
342.737 0.271706 -1.23733 262.754 -0.767266 1.34876 681.568 0.738364 0.661203 0.872847 0.876858 474.628 -2.59933 1.35027 581.317 1.5571
619.618 0.246344 -2.42486 391.856 -0.331042 0.583656 1061.47 0.334231 0.523519 0.777941 0.690286 376.52 0.437974 0.156588 1024.19 1.5571
762.516 0.530766 -1.50437 459.546 0.137161 0.996295 1186.78 0.440147 0.530901 0.683893 0.680191 330.378 -1.60237 0.122305 1525.65 1.5571
477.437 1.08718 -1.81798 288.594 -0.535679 -0.919513 759.89 0.734894 0.673183 0.770064 0.776879 397.924 2.21321 0.240895 1077.54 1.5571
290.357 -0.546137 1.60351 283.051 -0.700386 -1.97097 594.76 0.474504 0.712717 0.543003 0.790144 270.989 -0.781848 0.377419 575.767 1.5571
877.094 0.532452 -0.999466 445.402 0.218894 1.20152 1143.18 0.883409 0.743002 0.702287 0.745995 847.723 3.09223 0.174662 1493.3 1.5571
605.363 -0.666694 1.28778 305.355 -1.25867 -2.84686 817.57 0.836868 0.619572 0.802334 0.758786 642.851 -1.3252 0.0775793 1240.55 1.5571
589.373 -0.774505 -1.37221 577.525 -0.517808 1.10266 1127.9 0.77548 0.740536 0.842819 0.849279 460.272 -2.05369 0.351363 1189.33 1.5571
780.818 0.731017 -2.91083 589.252 1.46342 -0.773801 1348.83 0.248138 0.578357 0.582816 0.847934 218.987 0.327413 0.695843 1869.11 1.5571
386.886 -0.822958 2.27312 371.363 0.223381 -2.24273 730.423 0.759067 0.657851 0.805877 0.714827 189.008 0.820539 0.350527 1044.24 1.5571
811.556 0.336006 0.636868 433.256 -0.0085907 2.64367 1038.42 0.627167 0.847573 0.680161 0.792337 197.314 -2.27608 0.694102 1587.38 1.5571
576.824 -0.127386 1.69534 286.584 -0.321773 -1.95519 805.423 0.53106 0.467128 0.751172 0.755472 359.429 -1.03013 0.0292953 860.98 1.5571
792.758 -0.455823 2.04538 342.058 -0.481844 -0.877212 1053.37 0.705317 0.521426 0.745609 0.658924 208.768 -2.38922 1.05599 1334.87 1.5571
597.681 -0.78792 -2.269 559.743 -0.855187 0.927304 1176.59 0.730698 0.426452 0.74273 0.817551 304.062 0.76912 0.220477 1254.76 -1.5571
521.277 0.18604 2.63092 498.823 1.20769 0.275357 1108.83 0.730792 0.778576 0.800303 0.744618 195.326 -2.51659 0.729466 1389.32 -1.5571
1093.07 -0.298331 1.3297 268.917 -0.233349 -2.54754 1024.96 0.696324 0.714614 0.795435 0.810767 724.141 -0.792998 0.461022 1434.36 -1.5571
686.153 -0.29317 1.16226 497.152 -0.900903 -0.692447 1055.75 0.747536 0.207726 0.734703 0.729175 647.476 -2.73866 0.202743 1591.27 1.5571
640.07 -0.823216 -0.30716 396.985 0.177864 2.33019 1117.74 0.731555 0.697271 0.736826 0.71021 425.717 -1.06255 0.654033 1142.2 -1.5571
536.448 -0.0492522 -1.7934 364.175 -1.17346 -0.0410057 875.402 0.424653 0.227103 0.75328 0.670138 678.738 2.68418 1.34912 1145.19 1.5571
1009.93 -0.413636 -1.49507 632.888 0.207094 1.8749 1675.93 0.530423 0.595726 0.739705 0.768166 339.93 -0.975708 0.255084 1796.28 1.5571
365.256 0.56579 1.26085 354.335 0.127157 -2.34016 739.079 0.466815 0.500447 0.646726 0.57506 609.278 -0.672442 0.231884 905.95 1.5571
1065.75 0.603251 2.88692 612.426 0.0340613 -0.1754 1698.04 0.375074 0.845667 0.762977 0.797883 429.122 -0.0664222 0.109967 2152.67 1.5571
401.358 -2.10875 -0.303944 359.644 -0.548667 -2.89433 1003.1 0.706702 0.773286 0.804212 0.779694 283.224 1.523 0.551908 824.186 1.5571
414.757 -0.852644 0.404258 406.925 -0.649256 -1.91395 770.817 0.768155 0.504972 0.682678 0.761812 486.901 -2.64557 0.73537 1146.85 1.5571
