pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
895.148 -0.725984 -1.78785 344.79 0.360794 2.79016 1071.06 0.747039 0.707719 0.790663 0.772436 227.965 0.93535 0.360201 1528.18 -0.0996691
666.909 -0.849586 -0.17001 447.079 0.626875 -3.11544 1412.39 0.703877 0.678689 0.794025 0.610516 95.2306 1.13405 1.30036 1304.34 0.0996691
606.619 -0.589258 1.41427 567.634 0.819483 0.263333 1118.43 0.797899 0.661792 0.79295 0.757647 258.163 -2.61981 0.793306 2117.54 -0.0996691
442.948 -0.35046 -1.6092 357.707 0.61561 1.26921 899.882 0.565822 0.408862 0.638968 0.788687 50.8401 1.22856 0.0305672 905.065 0.0996691
643.788 0.231648 -1.93402 471.707 -1.66647 -0.518693 1420.97 0.553526 0.766737 0.650896 0.805138 293.179 1.08215 0.480898 1343.68 -0.0996691
876.519 0.207858 -1.78164 445.863 -0.560733 1.39599 1347.8 0.563035 0.527916 0.689044 0.406003 70.9541 0.148114 1.24986 1396.73 0.0996691
1265.23 -0.476289 1.57874 533.236 -0.467889 -2.20383 1684.18 0.0786277 0.498459 0.656925 0.758123 72.987 -0.407659 0.775404 2161.38 0.0996691
1040.03 0.840406 -2.20479 430.375 -0.426354 0.746283 1624.5 0.811617 0.547947 0.721752 0.694728 163.243 -2.04708 0.159001 1580.29 0.0996691
611.539 -0.0816849 -2.12229 423.466 -0.775666 0.747602 1096.2 0.105597 0.499736 0.719306 0.773875 137.567 0.790662 0.0529397 1352.83 0.0996691
572.371 -0.491206 0.298405 462.011 0.921398 -3.03883 1300.69 0.56365 0.490926 0.399908 0.676574 364.488 -2.99924 0.0445752 1235.17 -0.0996691
592.246 -0.00603992 0.281879 592.149 -1.4395 2.27377 1384.31 0.469427 0.782841 0.760365 0.692669 905.913 0.554674 0.289127 1349.24 0.0996691
1024.05 1.22744 -1.94711 756.992 -1.10223 1.78413 3063.24 0.710077 0.766169 0.681203 0.858928 572.739 1.09962 0.683394 1885.17 0.0996691
508.797 0.605959 2.7386 380.469 1.70789 -1.34139 956.961 0.744866 0.646513 0.626973 0.792569 386.058 0.613104 0.198069 1130.68 -0.0996691
365.292 -0.170589 1.84795 285.149 -1.19267 0.220191 591.211 0.837156 0.615245 0.785873 0.818483 217.62 -2.13593 0.238427 1321.25 0.0996691
671.143 -0.893255 -1.5965 370.126 0.0721924 1.78197 1128.42 0.63434 0.725319 0.709563 0.620307 287.507 1.69089 0.110425 1319.38 -0.0996691
340.61 -0.231253 2.32664 309.949 0.21246 1.01276 439.221 0.819156 0.774172 0.81838 0.837334 305.904 2.70215 0.337313 1012.79 0.0996691
514.299 -0.0257332 2.80395 341.035 0.427747 0.310468 848.123 0.557149 0.693625 0.818925 0.827024 1133.74 -2.16038 1.2694 1029.56 -0.0996691
532.308 -0.941211 2.274 338.346 -0.27418 -1.6676 896.179 0.219082 0.669569 0.762248 0.871026 65.7757 2.69138 0.367782 1075.8 0.0996691
432.636 -0.496776 -0.359701 386.645 -0.332796 3.0868 829.057 0.243901 0.694007 0.756532 0.59424 153.35 2.28851 0.776641 1340.9 -0.0996691
1043.37 1.22468 -2.33603 594.695 -0.0744186 0.0317013 1832.82 0.753236 0.507995 0.785588 0.813132 407.97 0.531051 0.494777 1864.25 0.0996691
1140.86 0.231404 2.67026 414.718 -0.852625 -1.50569 1440.78 0.46482 0.610239 0.662317 0.723205 814.346 0.447638 0.00598827 1835.61 0.0996691
535.268 0.623166 -1.56604 311.741 -0.449486 0.936043 915.56 0.382691 0.488547 0.665889 0.812464 825.199 -1.07254 0.447713 1359.52 0.0996691
427.93 -1.19818 0.0139285 283.32 0.334589 2.37231 880.492 0.276673 0.783404 0.785545 0.698482 214.688 2.15627 0.198361 991.715 0.0996691
1006.13 -0.0620345 1.01597 696.659 0.970769 -2.11423 1969.79 0.317492 0.0307273 0.0907569 0.666753 37.6281 0.467202 0.486092 1854.55 0.0996691
487.093 -0.262516 -0.640315 372.875 0.677799 1.79061 917.181 0.704231 0.648109 0.844417 0.731494 104.203 -2.40863 0.234396 1108.71 0.0996691
1115.63 0.249761 -1.83002 676.492 -0.156817 1.09753 1939.19 0.343564 0.121811 0.555856 0.711389 754.195 1.30828 0.107807 1873.42 0.0996691
613.959 -0.0840797 -2.17931 520.124 0.439145 0.786245 1182.59 0.617146 0.585201 0.769698 0.74649 151.522 0.773907 0.00249046 1160.25 0.0996691
528.774 -0.175222 -1.7373 478.763 1.07878 1.29243 1226.57 0.46213 0.72019 0.689823 0.768561 442.082 1.30527 0.00630319 1031.9 0.0996691
1028.06 -1.38035 0.541612 338.304 -0.333417 3.13439 1341.49 0.222274 0.352084 0.727761 0.7299 913.863 -3.06063 0.179447 1501.11 0.0996691
482.612 -0.55966 -0.644098 321.493 1.23584 1.46019 1061.94 0.262594 0.397703 0.624531 0.797884 203.333 3.02658 0.281579 1270.5 0.0996691
1045.23 0.574351 -1.77084 490.089 -0.700057 0.596887 1678.47 0.78694 0.295597 0.829503 0.65281 868.255 0.593951 0.00998414 1876.47 0.0996691
688.226 -0.0693318 3.10657 263.649 -1.44664 -1.14611 969.651 0.537998 0.397324 0.539295 0.697018 98.0537 2.75313 0.353497 1327.48 0.0996691
1055.5 -0.712054 -1.26651 250.545 -0.126285 1.83354 1096.49 0.668473 0.524426 0.879774 0.732259 44.5687 -2.95051 1.51789 1265.87 0.0996691
343.265 -0.345851 -1.69692 339.05 -0.960028 1.59129 732.509 0.530263 0.825323 0.745173 0.821657 256.188 0.263093 1.33471 698.777 0.0996691
393.651 0.722862 -1.98402 330.077 -0.0295307 1.48801 809.74 0.602345 0.29918 0.877352 0.780353 137.56 -1.06888 0.923684 817.578 0.0996691
681.155 0.628293 1.44815 649.903 -0.037657 -2.01024 1473.18 0.377362 0.0406092 0.716121 0.788657 203.777 1.55353 0.0726758 1587.87 0.0996691
1086.5 -0.0752475 2.81562 544.357 0.173736 -1.35448 1364.22 0.679592 0.546977 0.6221 0.474299 924.758 0.474092 0.343097 2057.27 -0.0996691
880.887 -0.0943506 -0.638025 702.395 0.89079 -2.6812 1585.76 0.808163 0.43011 0.795794 0.620197 609.021 0.703124 0.528902 2421.28 0.0996691
683.487 1.0538 0.178397 638.359 -0.545476 3.04874 1791.65 0.581668 0.755822 0.37467 0.734626 1169.91 0.134535 0.0546058 1437.3 0.0996691
448.638 -0.869168 0.248345 265.445 0.361311 -2.3583 861.131 0.478341 0.618643 0.65091 0.779548 79.2619 -2.33131 0.0598786 758.604 0.0996691
420.125 -0.185803 -2.22496 307.635 0.755075 1.88416 735.387 0.545212 0.263179 0.656183 0.653012 247.946 -0.477076 0.131182 913.207 0.0996691
1427.83 0.0112036 -2.23494 645.529 1.99316 0.64792 2941.47 0.59715 0.434052 0.675944 0.747698 134.038 0.416271 0.237746 2611.03 0.0996691
641.516 0.294195 1.29975 611.685 -0.967047 -1.36629 1572.5 0.264076 0.31758 0.670834 0.742456 389.901 -1.85431 0.469636 1620.92 0.0996691
503.827 0.00803226 1.89187 355.456 -0.947656 2.67646 541.685 0.759215 0.481744 0.702784 0.697424 690.238 -0.463724 0.466045 1114.55 -0.0996691
491.083 1.00626 -2.84006 339.2 0.581326 -0.34153 806.955 0.671811 0.692989 0.835356 0.516004 60.1909 1.28235 0.75086 1048 0.0996691
704.089 0.530554 -1.90847 428.721 -0.529735 1.39814 1271.68 0.626449 0.590595 0.557378 0.591858 865.055 -2.8644 0.0870743 1722.81 0.0996691
822.093 0.154457 -0.537424 532.202 0.538026 2.17129 1343.51 0.602108 0.790481 0.680881 0.83653 225.788 2.83537 0.607421 1570.88 0.0996691
926.082 -0.838445 1.00153 608.795 0.721234 -1.99331 1997.93 0.649924 0.474805 0.885472 0.841195 461.892 0.211035 0.166558 1999.45 0.0996691
376.205 1.95649 1.32799 301.271 -0.587358 -1.2532 1302.35 0.668607 0.697433 0.805812 0.746886 159.335 2.57711 0.594382 890.887 0.0996691
384.014 0.491122 -0.422156 287.112 -1.17059 1.69299 881.216 0.613806 0.234651 0.609356 0.798427 1384.57 -2.63295 1.22569 803.541 -0.0996691
