pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
1904.19 0.0142696 1.30202 1784.17 0.536809 2.95535 3013.96 0.499458 0.325037 0.666314 0.635568 1409.51 -1.33402 0.202398 4907.39 -0.0996691
1650.64 0.28592 0.583718 1201.26 -0.0106612 -2.69631 2899.39 0.288936 0.824421 0.61849 0.835589 472.624 -2.30285 0.184347 2898.27 0.0996691
388.175 -1.08346 -0.556762 334.03 -1.98399 3.06375 839.42 0.784084 0.816491 0.837587 0.842794 111.39 1.52266 0.0650104 928.886 0.0996691
421.276 -1.85688 -2.53071 364.416 -0.92472 0.630336 921.936 0.856749 0.776035 0.837324 0.819945 74.7366 -0.059454 0.429972 742.521 0.0996691
399.568 0.48122 -0.670696 288.666 1.95096 0.349562 713.893 0.773744 0.66104 0.853859 0.861974 349.716 -2.70865 0.198221 1123.5 0.0996691
1210.24 0.32747 -1.99885 664.116 -1.23049 2.7082 2062.06 0.812566 0.479006 0.750393 0.774321 946.977 0.358432 0.469084 2387.78 -0.0996691
1447.78 0.348605 1.31714 335.561 -2.23047 0.615208 2422.91 0.540378 0.734798 0.789973 0.842668 1666.24 -2.00131 0.0147434 1821.85 0.0996691
1820.94 -0.701146 -2.12946 1279.73 1.01733 -1.26114 3276.2 0.661181 0.551371 0.66853 0.665997 2643.26 1.30929 0.0120374 3129.77 0.0996691
2200.9 0.928461 -2.75942 905.036 -0.964154 0.388774 4226.8 0.772582 0.761113 0.77478 0.809237 1202.11 0.281197 0.113054 3132.86 0.0996691
1394.77 0.64649 0.0803755 921.134 -1.03425 -2.3986 3102.9 0.592375 0.803789 0.866036 0.770939 811.105 2.46419 0.0172529 2489.34 -0.0996691
925.01 1.0161 0.572483 252.539 -1.37845 -0.777599 1613.23 0.804809 0.654247 0.778437 0.884203 1094.43 -2.87393 0.0714865 1355.73 0.0996691
819.135 -0.572351 2.80634 781.817 0.829838 -0.299886 2058.52 0.78366 0.726396 0.797437 0.722522 42.0209 -0.732321 0.131045 1647.21 0.0996691
1201.28 0.115249 -0.00472288 1056.48 -1.5666 1.20367 2523.97 0.764837 0.864003 0.899698 0.811407 1761.48 -2.57428 0.0859869 2271.36 0.0996691
3317.56 0.525227 -2.38097 1529.67 -1.3785 0.0779657 6633.1 0.612148 0.492762 0.669767 0.861223 2043.77 1.15492 0.0780339 5116.82 0.0996691
