pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
1977.64 0.0376516 1.32057 1744.99 0.600628 2.99899 3079.59 0.631251 0.241663 0.796353 0.773832 1351.16 -1.34789 0.166346 5142.64 -0.0996691
1589.72 0.409833 0.601426 1149.52 0.00831807 -2.73079 2809.75 0.258682 0.628749 0.680179 0.854377 462.961 -2.23122 0.505686 2759.46 0.0996691
1982.63 -0.564446 -2.19865 1223.64 1.11603 -1.34691 3269.84 0.551662 0.61277 0.761082 0.556649 2785.6 1.29051 1.14352 3188.01 0.0996691
2122.35 0.948219 -2.76093 847.394 -0.994596 0.448846 4070.4 0.581613 0.827917 0.655299 0.708209 1173.41 0.30016 0.150236 3092.74 0.0996691
938.794 0.954883 0.652684 271.649 -1.35079 -0.722121 1612.83 0.870585 0.644557 0.799055 0.892138 1039.19 -2.85682 0.11342 1609.8 0.0996691
3036.91 0.619664 -2.35649 1415.55 -1.3277 0.0928403 6162.81 0.470795 0.347367 0.672265 0.574368 1931.76 1.20683 0.177351 4663.58 0.0996691
1454.19 1.14199 0.899805 1247.93 0.139535 -3.06964 2874.57 0.814375 0.520951 0.744931 0.725105 2049.93 -1.09621 0.0374606 3818.99 0.0996691
2367.06 0.654414 0.569212 1293.42 0.578932 -2.32383 3619.96 0.524812 0.56292 0.641291 0.829502 1121.7 -2.91722 0.0881035 3763.13 0.0996691
1172.93 0.364328 0.85164 770.025 -1.03598 3.11719 2294.07 0.462389 0.737206 0.72383 0.812715 773.824 -1.5846 0.27195 2065.89 0.0996691
617.692 1.97754 -2.6305 596.687 -0.455002 1.55057 2162.85 0.747986 0.708658 0.798181 0.742088 844.84 -0.191733 0.480519 1728.12 0.0996691
1191.98 0.0983868 2.16508 1054.96 -0.77031 0.0157371 2312.9 0.306977 0.524886 0.88988 0.844933 1032.03 -1.90372 0.296833 2439.02 0.0996691
2154.17 -0.594089 2.40053 1938.08 1.2656 -0.838332 6093.3 0.301581 0.283418 0.882129 0.732991 236.564 -0.537107 0.0667649 4291.38 0.0996691
1418.6 -0.940007 2.4916 334.946 -0.194552 -0.873557 1495.87 0.515739 0.68887 0.712709 0.830661 1086.89 -0.714639 0.162596 1931.26 0.0996691
1778.04 -0.769332 -0.963859 1005.93 1.15529 1.80557 4014.53 0.43128 0.75281 0.894449 0.898045 973.538 2.68704 0.893227 2849.39 0.0996691
1476.32 0.353428 -0.700537 537.549 -1.11957 -2.02312 1892.83 0.421635 0.537262 0.756267 0.798199 1535.25 2.14022 0.134731 2230.99 0.0996691
1108.87 -0.77079 -0.907674 286.217 0.513666 2.16518 1443.15 0.481102 0.708362 0.67846 0.839144 738.128 2.17222 0.00819921 1663.5 0.0996691
1964.51 -0.0847513 -2.31637 1865.81 -0.230678 -0.0808216 3483.34 0.706439 0.540903 0.814885 0.762431 1204.49 2.21386 0.106272 4377.27 -0.0996691
2282.14 -0.403814 -1.56029 2174.97 -0.814644 2.06907 4460.31 0.43276 0.119483 0.846318 0.773364 1117.94 0.347477 1.65706 4466.19 0.0996691
688.112 1.45621 1.0577 504.852 2.43206 -1.61943 1321.06 0.555795 0.495024 0.843298 0.795475 578.517 2.84769 1.65449 1524.84 0.0996691
2167.67 0.257356 1.51153 1715.14 -0.477087 -1.40276 4220.64 0.517473 0.338863 0.748389 0.726966 731.703 -2.47904 0.0165939 3974.74 0.0996691
3443.16 0.368082 -0.292967 2207.8 0.614551 2.64215 5570.92 0.814456 0.497794 0.834397 0.867031 1393.69 -2.98066 0.0610769 5795.28 0.0996691
1369.85 -0.0596222 2.21023 292.393 -1.12702 0.208737 1350.11 0.634531 0.762591 0.780405 0.741847 1204.58 -1.0844 0.456052 1779.41 0.0996691
2304.92 0.266477 -1.88482 255.582 1.66826 3.02701 1970.51 0.171493 0.76011 0.798315 0.82348 2331.5 1.22127 0.0308797 3547.48 0.0996691
