pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
1323.04 0.0634807 0.0243296 644.948 0.00628839 2.59969 1819.9 0.643666 0.681695 0.787048 0.701978 837.273 -2.65947 0.0433164 2302.82 1.5571
1279.19 -0.0617985 1.80446 820.135 -0.236178 3.11704 1309.78 0.703829 0.323479 0.772037 0.86635 1465.91 -0.899345 0.0809487 2255 1.5571
1109.01 0.0195906 -0.257799 856.318 1.13976 -2.60859 2152.78 0.699602 0.574322 0.869976 0.81889 785.212 1.95548 0.390367 1972.21 1.5571
1459.59 -1.15453 -2.87212 1034.07 0.563892 -0.803875 3250.72 0.4855 0.802778 0.595499 0.809705 1114.64 1.10004 0.277953 2787.51 1.5571
754.734 0.0577196 -2.77285 459.686 0.401081 -0.805016 1055.89 0.753108 0.586168 0.769061 0.755949 811.139 1.38405 0.794565 1552.26 1.5571
1134.41 0.544358 1.43229 1125.95 -0.907031 -1.27069 2883.1 0.664375 0.58441 0.776276 0.847539 516.545 -3.10703 0.200202 2593.17 1.5571
1774.38 0.240185 -2.17469 1142.86 0.800218 0.652314 2948.69 0.563871 0.728585 0.575636 0.698381 496.858 0.411968 0.235312 3932.72 1.5571
912.572 -0.202701 -2.35884 -1 -1 -1 -1 0.754428 -1 0.779711 -1 913.344 0.867983 1.44016 914.034 1.5571
795.95 -0.689297 -2.26953 777.114 0.554718 0.243257 1840.79 0.764158 0.626491 0.893832 0.688842 196.668 1.29754 0.997187 1921.89 1.5571
1048.97 1.87256 -3.01662 1017.29 -1.46696 0.917208 5635.89 0.650726 0.662071 0.949421 0.834409 620.211 -0.131657 1.05005 2658.86 1.5571
470.627 -1.2023 -0.374726 365.868 -0.466401 -1.13243 524.015 0.710905 0.758875 0.874114 0.802055 657.089 2.46336 0.341794 1385.66 1.5571
1137.23 -0.978837 -1.24893 1077.71 1.2115 1.37189 3697.1 0.56225 0.67097 0.823042 0.762993 626.466 3.09957 0.322078 2453.44 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 54.0854 1.01506 0.6668 71.0929 1.5571
681.946 -0.781749 1.4953 601.968 0.237109 -1.94819 1456.76 0.718109 0.833673 0.721381 0.813865 365.489 1.94514 0.44843 1770.69 1.5571
1245.52 -0.223954 1.28221 1165.7 -0.855525 -1.03053 2380.81 0.725144 0.722634 0.690627 0.74608 800.862 -2.86207 0.2804 2601.35 1.5571
1252.67 -0.108584 0.190322 776.161 0.262991 -1.6062 1624.25 0.539014 0.846074 0.233416 0.786314 695.645 2.99489 0.504843 2766.13 1.5571
