pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 64.4564 2.73263 0.113871 263.929 0.0996691
364.038 -1.14478 0.0489984 -1 -1 -1 -1 0.716677 -1 0.828718 -1 215.059 -3.11882 0.00351596 598.912 0.0996691
258.605 -0.790834 -1.68311 -1 -1 -1 -1 0.820975 -1 0.82873 -1 35.4903 1.41312 0.143567 596.672 0.0996691
386.47 1.00643 1.49795 336.151 -1.09584 -1.68053 1187.93 0.623217 0.741807 0.796041 0.858559 57.3453 -0.911035 0.0590338 806.807 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 19.0717 -0.63501 0.285669 339.605 0.0996691
1768.55 -0.380525 -1.12636 1313.25 -0.487089 1.29118 2934.28 0.7503 0.795752 0.788973 0.835169 554.367 2.98456 0.0356305 3638.64 -0.0996691
1235.02 0.602636 -0.512281 1201.29 0.00894871 -2.07555 2010.06 0.175604 0.774908 0.856902 0.882547 816.524 1.88591 0.0249186 3356.45 0.0996691
1665.66 -0.504832 -2.24644 1215.18 -0.484781 0.596156 2985.96 0.367108 0.693265 0.896602 0.658248 798.873 0.0652197 0.0297997 3886.58 0.0996691
263.463 0.647771 2.17248 -1 -1 -1 -1 0.657076 -1 0.741885 -1 194.71 -0.85492 0.103539 435.909 0.0996691
1962.75 0.299781 -0.605855 1200.99 -0.373399 2.97871 3228.44 0.833861 0.779231 0.741972 0.802098 703.193 1.82837 0.0379003 3577.77 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 49.1239 -0.240119 0.229196 217.87 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 63.5722 3.03987 0.0309324 435.304 0.0996691
2378.54 -0.847998 1.77042 1848.39 -1.06415 -1.65986 4558.5 0.0891302 0.576319 0.851502 0.760762 367.172 -1.51201 0.156184 5107.47 0.0996691
278.483 -0.896707 -1.79507 -1 -1 -1 -1 0.829234 -1 0.889945 -1 255.85 1.36221 0.342191 315.177 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 50.0079 0.0774797 0.0545197 228.671 0.0996691
264.079 2.92034 1.84043 -1 -1 -1 -1 0.71411 -1 0.863439 -1 136.944 -1.17809 0.0917723 427.879 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 80.0452 -2.68973 0.0676463 461.416 0.0996691
1921.54 0.0687365 1.30236 1857.33 0.134144 -1.08154 3708.5 0.749914 0.175034 0.772989 0.789029 610.144 -1.2022 0.27022 5531.22 -0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 31.9322 -2.3504 0.231554 272.267 0.0996691
2108.73 -0.71808 1.59916 1590.59 -0.295458 -1.95641 3818.24 0.275464 0.691974 0.564196 0.831486 493.423 -1.03606 0.129996 4315.68 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 46.0157 1.66811 0.227827 339.216 0.0996691
486.748 1.24476 -2.51436 -1 -1 -1 -1 0.841582 -1 0.840569 -1 277.617 0.35505 0.0887133 719.196 0.0996691
2111.18 -0.0250735 -2.70749 2025.87 -0.24577 -0.129027 4216.29 0.1368 0.662708 0.731652 0.919333 158.493 -0.178459 0.0344372 5425.34 0.0996691
521.536 -1.77327 3.02048 268.364 -1.909 -0.138027 833.03 0.703366 0.799326 0.770842 0.805805 349.492 -0.199813 0.0191559 850.322 0.0996691
2362.64 -0.959691 -2.48562 1649.73 0.395221 0.291465 4956.17 0.490693 0.655534 0.381013 0.803646 883.42 1.28369 0.0381775 4065.14 0.0996691
403.588 0.969738 1.45337 -1 -1 -1 -1 0.754377 -1 0.864935 -1 28.6541 1.21424 0.154244 818.245 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 63.221 0.635476 0.0253007 354.272 0.0996691
2536.97 0.14584 -1.66083 2247.41 1.21191 1.77672 5700.74 0.213174 0.718494 0.666609 0.704471 262.506 -1.56505 0.0603429 5557.27 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 37.0044 0.174848 0.18899 221.257 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 35.8893 0.351327 0.23429 273.933 0.0996691
298.781 0.402635 1.54566 -1 -1 -1 -1 0.708696 -1 0.815815 -1 218.814 -1.61744 0.0610716 405.434 0.0996691
1460.45 0.803296 2.12285 868.843 -1.31343 -0.380151 3602.68 0.799369 0.825643 0.800524 0.78107 520.355 -0.998196 0.120502 2905.09 -0.0996691
315.205 -2.39757 0.205542 -1 -1 -1 -1 0.76412 -1 0.795264 -1 48.9063 1.82067 0.0458848 475.938 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 50.5113 -1.83696 0.00454426 106.586 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 63.5702 -1.72216 0.433585 229.021 0.0996691
1555.43 0.488346 -1.79319 1380.77 -0.423911 1.15771 3283.15 0.54514 0.73765 0.871292 0.731114 82.6128 2.96522 0.242433 3434.16 0.0996691
736.845 0.0588713 1.02669 443.392 -2.57455 1.53573 2053.6 0.77809 0.504338 0.749532 0.815744 1017.79 -1.94164 0.176547 1156.83 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 76.6333 -2.15333 0.489131 510.978 0.0996691
1270.16 0.993179 -1.38015 939.134 -0.420428 -2.1351 1987.33 0.725821 0.75529 0.613837 0.705819 920.45 1.45368 0.157786 3567.04 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 86.7495 0.688734 0.0522687 407.433 0.0996691
