pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht
334.688 0.499709 -0.173728 269.795 -0.598429 2.38518 695.102 0.662755 0.646944 0.520616 0.714036 161.984 0.0206135 0.194342 795.16
363.196 -0.356296 -1.19694 278.101 -0.121654 2.39924 646.282 0.497338 0.271504 0.682427 0.522185 212.321 1.44432 0.954924 836.87
390.773 -0.5801 -1.32223 275.61 -0.573749 -2.34392 351.313 0.547234 0.452384 0.761167 0.746955 686.573 0.219461 1.5417 813.491
449.376 -0.283182 1.52295 254.148 -0.949909 -2.02593 715.847 0.636023 0.744515 0.718214 0.698573 91.2153 -1.39173 0.634191 719.367
266.196 -0.533231 -2.29741 261.24 0.294988 0.644277 575.633 0.821999 0.713348 0.791879 0.651032 184.071 0.965809 0.321532 578.598
291.366 1.28097 -1.24802 280.006 1.08574 2.15804 585.719 0.65561 0.639964 0.783624 0.588486 335.254 -0.0299122 1.21811 553.404
500.626 0.490776 -2.95992 366.56 -0.872211 0.036026 1080.11 0.720375 0.4663 0.763994 0.889139 298 0.202682 0.166656 951.656
494.119 -0.197106 -1.23631 273.802 -0.956661 2.83101 735.531 0.769364 0.526491 0.680528 0.761166 509.065 0.650304 1.88662 742.038
342.194 -0.957316 1.37605 282.06 -0.821816 -1.80316 644.048 0.436232 0.484279 0.792103 0.763827 255.922 -1.51671 0.286442 624.145
624.703 -0.925301 2.09804 277.267 0.0567556 -1.21733 961.049 0.0839584 0.480333 0.605218 0.472739 360.649 -0.184517 1.03282 892.716
417.982 0.541268 2.70456 301.009 1.57425 -1.65552 727.368 0.544221 0.607401 0.757718 0.842287 469.649 0.86911 1.83545 816.057
850.137 -0.819509 2.01952 263.441 -0.597414 -0.880305 968.348 0.607258 0.386246 0.869795 0.602767 372.048 -1.32526 0.444955 1152.45
479.338 1.15203 -0.117264 440.58 0.132269 -2.93496 1041.53 0.626423 0.502076 0.830504 0.753418 190.261 0.918456 1.03572 1004.22
346.317 0.715353 -1.56929 272.783 -1.02633 0.144531 779.357 0.760534 0.320073 0.762429 0.695622 334.478 -0.970802 0.598486 865.824
289.903 -0.791297 1.80145 278.248 -1.17927 -1.98658 581.83 0.572803 0.164003 0.707274 0.690571 144.994 -0.67885 1.30773 670.051
697.928 -0.0444222 -1.81553 305.505 -0.349209 1.17904 967.934 0.624846 0.46638 0.853583 0.750336 126.548 -2.6007 0.785171 997.644
563.232 -0.814545 2.8291 353.289 0.239931 -0.43314 1030.66 0.529042 0.778673 0.842182 0.793804 230.777 0.468361 0.901501 1004.99
643.305 0.258696 2.78831 424.39 -0.691465 -0.0983034 1162.59 0.764183 0.631663 0.705017 0.775541 214.388 -2.0868 1.40807 1090.86
395.172 -0.153314 -1.19759 311.851 -0.532042 1.18637 671.876 0.80721 0.721857 0.829267 0.721782 248.445 -2.88366 1.68607 768.65
452.938 0.738804 -1.97779 253.379 0.131739 -0.698225 472.348 0.787116 0.403604 0.758233 0.639193 248.154 -0.784707 0.0864822 759.377
382.033 0.354699 -2.52529 356.856 1.98324 -0.0474009 988.201 0.508922 0.778202 0.696515 0.83055 422.318 1.72389 1.77129 755.492
647.536 0.440383 -1.9281 585.378 0.928208 0.937856 1285.27 0.736102 0.515104 0.78296 0.50781 237.596 -2.80216 0.87406 1267.92
352.174 -1.0289 2.93428 300.197 0.470086 1.26053 738.751 0.633426 0.787454 0.728632 0.748734 88.0919 -1.27351 2.0754 770.539
321.913 -0.147808 -2.81534 311.88 1.20144 0.468129 816.081 0.412767 0.208035 0.765252 0.819091 99.1433 -2.91888 0.103544 721.452
591.888 -0.258715 1.73624 288.87 0.896095 -1.89448 953.411 0.501736 0.700045 0.746193 0.765395 284.759 -0.929733 0.964743 916.939
316.089 -0.0659709 2.15073 308.42 0.668398 -0.983236 674.863 0.321373 0.773286 0.641629 0.728006 208.463 0.334872 1.31811 702.42
479.822 0.27565 2.56004 413.337 -0.507836 -0.0169023 951.963 0.75975 0.656687 0.782353 0.495795 376.865 -2.56785 1.1553 884.701
