pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht 
812.888 -0.693448 -2.15224 525.036 1.15431 -1.38216 1486 0.532129 0.266274 0.39061 0.653355 2653.02 1.30132 2.68348 1324.42
537.842 -1.68327 1.07427 510.458 0.0753251 0.127711 1165.08 0.587895 0.515942 0.801937 0.836993 1723.29 -2.61284 2.59608 1004.7
572.739 0.33694 -0.537968 288.62 -1.10372 -1.98373 848.725 0.507603 0.688076 0.591564 0.858313 1376.65 2.18339 2.11606 853.314
559.221 1.00217 0.330113 280.204 -0.0854567 -0.59871 598.389 0.571534 0.430242 0.709049 0.677526 2307.45 2.83253 2.50242 890.502
579.72 -1.1974 -2.71871 428.596 -1.13101 2.08224 691.164 0.655478 0.730081 0.716618 0.730893 1229.93 -0.407705 2.31101 976.59
872.03 0.643143 1.4431 749.169 -0.606768 0.876076 1183.3 0.441815 0.33888 0.314505 0.292288 2543.66 -1.91717 2.79325 1608.02
493.493 -1.36063 0.799564 399.026 0.667243 -0.872471 1269.47 0.402324 0.668448 0.741602 0.877709 1584.82 -2.94199 2.06951 875.199
389.467 0.32146 -1.7868 360.238 -0.309746 -0.260662 611.031 0.159303 0.580687 0.814947 0.650243 1090.3 2.47239 2.02399 814.155
934.117 0.863644 -1.17274 424.605 -0.140754 -0.879762 700.261 0.764792 0.744389 0.838937 0.729791 2245.06 2.04612 2.92588 1339.72
340.921 1.59126 1.63151 257.365 -0.872188 0.691921 970.589 0.647226 0.777866 0.796335 0.667712 2090.91 -2.23178 2.4199 584.248
814.122 1.12646 1.07272 356.832 0.827348 -0.502373 794.273 0.779191 0.78945 0.823722 0.7621 1071.95 -2.68918 2.1868 1145.56
746.647 0.752164 -0.654552 388.608 0.00761058 0.189889 646.762 0.390629 0.743005 0.566641 0.661308 1464.18 -3.0457 2.39115 1199.68
538.285 -0.380162 -1.99655 326.787 -0.651275 -3.06011 458.737 0.439238 0.79109 0.625514 0.781364 1375.92 0.564991 2.56154 944.197
802.544 0.385627 0.775577 483.296 0.0589367 2.5432 994.5 0.753981 0.182801 0.75173 0.607879 1872.65 -1.49538 2.2446 1271.38
678.929 -0.344213 3.1364 443.39 0.557699 1.84648 846.156 0.732317 0.708793 0.758795 0.829902 914.125 -0.519103 2.36558 1276.7
547.031 0.429647 -0.431511 318.104 -0.7807 -0.239042 560.031 0.837413 0.609988 0.741187 0.820253 2076.64 2.96546 2.88622 933.015
505.114 -0.586701 1.31772 259.324 0.267146 -2.06438 828.869 0.181427 0.208497 0.846186 0.850258 574.633 -1.19906 0.86532 751.924
432.003 -0.117707 2.83862 303.453 0.140625 1.3163 525.437 0.63978 0.541749 0.685917 0.632715 1132.75 -0.84797 2.16427 810.665
713.345 0.0163059 1.73816 712.431 -1.41083 1.22975 1175.49 0.566681 0.380586 0.741631 0.568241 2336.33 -1.67659 2.86844 1502.94
396.765 0.747633 -1.45473 382.841 0.376261 -2.88306 557.589 0.58674 0.557489 0.715904 0.609022 1560.11 0.765955 2.22068 851.37
548.771 -0.796471 -1.15932 330.591 0.0999678 0.0166937 641.943 0.684912 0.623611 0.836999 0.680305 1839.03 2.39388 2.37718 834.553
615.865 1.374 -1.65033 447.286 0.454791 -3.01007 849.58 0.228937 0.555495 0.698943 0.765905 1146.6 0.8433 2.42981 1187.5
764.056 0.248175 -0.330306 485.473 -0.934497 -1.32401 986.813 0.468475 0.800818 0.5927 0.773022 2042.34 2.5507 2.40848 1271.31
496.733 -0.334461 -0.580122 258.452 1.1435 -1.53393 704.803 0.588852 0.726671 0.545961 0.769369 2098.21 1.96934 2.54946 806.741
867.529 0.60399 2.19258 767.064 0.0518238 0.930713 1073.7 0.680862 0.221847 0.727127 0.534326 2481.31 -1.43477 2.36548 1624.16
354.035 0.533293 2.72548 341.261 -1.95305 -2.15829 1203.15 0.69585 0.740081 0.767386 0.810945 1081.95 0.31087 2.41461 681.116
335.12 1.38218 -2.39594 332.083 -1.08888 3.13707 1086.07 0.631693 0.691644 0.766124 0.607628 1086.2 0.432814 2.70426 723.233
833.894 0.145321 -1.00793 517.742 1.00843 -1.99518 878.136 0.429425 0.593416 0.754376 0.666875 1490.24 1.77282 2.51519 1347.85
785.929 1.04241 2.56622 327.222 0.335918 -2.34919 750.161 0.40559 0.370923 0.555194 0.762099 2104.17 0.113187 2.45303 1177.73
662.578 0.352398 1.22467 283.728 0.300563 -1.01785 864.528 0.122424 0.578291 0.859141 0.428576 1465.96 -1.45424 0.436396 1162.66
1601.97 0.939048 -2.43559 310.624 0.476808 0.855405 1652.24 0.0577313 0.474089 0.86844 0.756919 1485.79 0.824213 0.0311919 2095.98
775.65 -1.10149 -2.00521 724.012 0.764827 2.96971 1864 0.799025 0.630765 0.721349 0.820659 2436.68 0.538662 2.43105 1444.55
