pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht 
813.092 0.359266 -2.36549 596.286 -0.353448 -1.50476 837.073 0.274151 0.679513 0.425419 0.874528 577.031 1.04798 2.55274 2774.22
1371.21 -0.513766 -0.945384 977.972 0.0495738 2.7379 2364.78 0.679175 0.432121 0.758299 0.645295 727.416 2.86405 0.126145 3260.82
1521.47 -0.122172 1.01331 864.932 -0.00902139 3.06377 1980.28 0.728735 0.56177 0.910705 0.621186 832.123 -2.70391 0.51551 4005.43
1488.71 -0.682924 -1.79432 1320.16 -0.140051 0.662564 2959.84 0.389349 0.361593 0.73011 0.748977 205.007 0.584175 0.0783889 4410.95
1943.98 0.0704076 1.30214 1754.94 0.104734 -1.13059 3651.8 0.116404 0.0879336 0.686228 0.670192 758.121 -0.992865 0.137727 5530.09
1448.23 0.371788 0.648408 625.665 0.48822 2.80937 1849.42 0.217964 0.770008 0.709478 0.846995 522.923 -2.35176 1.12206 2909.03
1937 -0.228659 -0.0947625 1770.39 -0.25166 -2.73909 3812.26 0.703258 0.119741 0.677063 0.684929 416.453 -2.42906 0.310029 5168.79
2289.67 -0.116256 1.4824 1179.75 0.0124159 3.01962 2583.72 0.277646 0.235003 0.379924 0.643725 952.124 -1.04626 2.21731 5476.99
2758.31 -0.304196 0.454974 1205.39 -1.34968 2.99393 4320.44 0.0825995 0.462871 0.716559 0.756253 843.771 -2.41422 0.875037 5009.87
974.484 -0.591281 -2.22431 961.346 0.822894 -1.36677 1713.85 0.218997 0.352403 0.742761 0.953863 416.569 1.29387 2.66064 3317.34
1685.66 0.396816 2.26683 1187.18 0.331182 -2.17608 2262.85 0.699311 0.25579 0.777959 0.647261 753.716 -0.0249083 2.15117 4118.23
2166.34 -0.748021 -0.928009 1515.4 -0.741832 2.30482 3928.1 0.205195 0.0807413 0.685772 0.874706 751.795 2.13019 0.174634 3999.94
1354.8 -0.540986 -2.47715 954.825 0.461074 -1.36695 1730.15 0.856838 0.679177 0.688111 0.790992 405.622 0.991291 2.35825 4017.26
800.367 0.592701 0.41629 796.333 -1.42571 2.01857 2235.39 0.862689 0.517159 0.823929 0.691783 355.571 -1.77762 2.19391 2391.07
1088.2 0.429962 -2.01728 990.096 -1.65035 -0.483434 2953.75 0.722265 0.518763 0.881263 0.699642 163.282 1.98472 2.28119 3480.71
1080.19 0.302898 2.94405 780.389 0.989699 1.30336 1551.62 0.480404 0.534691 0.752249 0.806404 442.462 -0.832191 2.13555 2932.98
1036.48 0.989067 -0.396602 745.574 -1.3841 -1.15029 2715.87 0.609903 0.682722 0.771605 0.738899 514.787 2.67074 2.46215 3161.56
2006.09 -0.634294 -2.14578 1196.92 1.05525 -1.32204 3262.2 0.169017 0.232245 0.861367 0.636269 1167.9 1.42716 2.71025 5107.93
1167 0.796283 -1.38473 1110.78 -0.976487 -1.06961 2358.3 0.728632 0.801344 0.815982 0.82349 1135.66 1.8501 2.91971 4185.19
1202.64 0.212725 1.86927 1129.58 -1.10625 -0.831033 2846.24 0.638759 0.334917 0.856613 0.741163 164.406 -0.849132 0.0180989 4106.31
1148.74 0.815182 1.52064 731.305 -1.11614 -1.04507 2761.9 0.285665 0.345093 0.806749 0.669317 455.889 -1.07851 0.0334377 2768.07
1399.1 0.274187 -1.74873 1356.1 -0.536432 1.4301 3165.15 0.149186 0.253626 0.771508 0.499532 674.551 -1.98054 0.231808 3540.8
2895.44 0.530965 -0.432301 1259.05 -0.407724 3.05376 4576.1 0.210657 0.51123 0.71812 0.69947 1290.23 2.55926 0.494506 4845.82
1505.84 0.438361 0.907535 1371.42 0.256865 -2.51015 3105.22 0.603344 0.125703 0.751359 0.803883 1108.55 -2.36397 0.146183 4139.54
1162.5 0.0653571 2.62456 1055.63 0.312522 -2.20318 1524.96 0.640842 0.796315 0.858061 0.867276 769.219 0.137514 2.3407 3471.1
1125.15 0.287415 3.07681 467.365 -1.78698 1.13649 2214.52 0.197504 0.636152 0.40382 0.785442 297.874 -0.253861 1.39035 2390.92
902.957 0.42438 -1.85493 745.265 -0.034319 0.0808419 1430.44 0.32763 0.735087 0.68544 0.741998 510.169 0.819008 0.738166 3015.69
1917.6 -0.0185964 2.73086 1599.88 0.150525 -1.53907 3021.4 0.440356 0.826689 0.709178 0.879699 257.051 0.569696 2.10877 6041.99
