pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht 
715.921 -1.49631 -1.13065 660.916 -1.01204 1.24071 1361.37 0.843754 0.30411 0.838032 0.653203 239.081 1.4082 0.167494 2194.53
423.48 0.164675 -0.817658 415.448 -0.849406 1.69286 953.333 0.453543 0.864233 0.31065 0.877372 416.951 -0.9352 0.117542 1507.32
526.898 1.15141 -2.93066 519.29 0.36005 0.670203 1204.63 0.70785 0.202303 0.81676 0.736238 159.926 0.883653 0.21345 1440.61
514.993 0.473939 2.35869 452.181 -1.67887 -1.13744 1647.16 0.117646 0.487011 0.698734 0.805372 301.078 2.17408 0.184611 1360.37
632.527 -1.01072 -2.10677 631.407 0.591769 2.11935 1569.89 0.758279 0.747541 0.641425 0.777711 59.6979 0.0590808 2.06027 1998.63
528.038 -0.440675 3.06879 470.98 -1.55854 1.9661 797.972 0.946658 0.271019 0.713379 0.843331 67.794 -0.0592664 2.02537 1805.74
380.978 -1.24071 -2.49963 257.183 -1.20529 0.748106 661.844 0.443687 0.6744 0.922395 0.666661 63.3454 1.22254 0.474431 1027.19
657.315 -0.956809 2.88359 588.241 -0.0390847 1.10696 1140.25 0.369228 0.552411 0.697095 0.68918 292.65 -1.28316 2.11644 1892.04
1050.85 0.532513 -0.239862 537.109 -0.806759 2.72381 1942.66 0.368297 0.310971 0.643004 0.362013 290.081 2.61141 0.112398 1942.39
538.852 1.29885 0.580043 421.15 -1.24405 -0.776158 1681.78 0.613416 0.569393 0.825809 0.735472 228.463 -2.79805 2.02189 1594.64
324.108 0.364457 1.14657 315.033 0.558529 -0.617616 507.936 0.665222 0.654428 0.767167 0.753512 23.955 -3.08548 2.05114 1138.95
720.699 0.499353 0.875059 425.665 -0.601568 -0.809392 1060.98 0.670869 0.678492 0.872274 0.739724 132.828 -2.91323 2.10383 1900.11
769.827 0.490753 0.981852 596.961 -0.175829 -2.8422 1394.44 0.311159 0.388855 0.721521 0.65609 102.488 0.515772 0.46608 1937.35
818.135 0.935561 -1.29633 729.423 -0.147597 2.38351 1795.58 0.489225 0.138372 0.569869 0.665075 82.9002 2.39908 0.0155683 2462.15
640.753 0.0682255 -0.502583 595.004 1.24689 2.07952 1469.84 0.707681 0.0584687 0.727136 0.750172 244.532 2.47958 0.40006 1637.77
807.55 0.471278 2.8489 579.655 -0.849582 0.242864 1725.74 0.265201 0.44935 0.697598 0.832003 289.715 0.192688 0.0501761 2079.9
579.915 -1.67147 0.109541 404.681 1.19092 -0.757654 1959.31 0.734071 0.659445 0.788263 0.929396 292.733 2.79968 2.69014 1601.41
560.309 -0.59838 -0.449459 470.495 -1.17557 -2.96785 1117.29 0.417426 0.778498 0.698263 0.766467 175.332 -0.256423 0.193036 1490.05
534.423 -0.0332304 -1.36642 524.216 1.22667 2.42464 1268.83 0.892721 0.444589 0.63246 0.541497 124.284 2.47537 0.0507255 1885.4
701.869 1.12151 -0.693128 414.275 -0.209174 1.16117 1172.13 0.759377 0.544575 0.732966 0.544166 297.129 -3.11544 2.00657 1741.54
762.728 0.852641 -1.94226 506.704 0.691992 0.661955 1306.58 0.416125 0.700849 0.75312 0.68072 121.017 0.196336 0.465618 2170.29
850.579 0.12988 2.16994 784.061 -0.175658 -1.79572 1565.81 0.894041 0.357655 0.787974 0.78109 263.275 -1.69008 0.10564 2983.41
583.606 -0.41408 -2.77348 572.277 0.93426 -1.61259 1084.54 0.733043 0.460821 0.807057 0.578996 99.2462 0.539931 2.15252 2072.78
807.24 -1.55776 -2.77037 556.108 -1.32033 -0.583446 1222.99 0.597426 0.713839 0.716061 0.892559 166.477 1.46863 2.04418 1918.72
660.864 0.865747 -0.914821 630.415 0.0251607 1.72469 1413.54 0.774083 0.377161 0.74227 0.804163 98.9655 1.34334 0.381353 1687.45
597.596 1.22044 -2.9785 335.681 0.93793 -1.34917 706.436 0.87262 0.691583 0.739617 0.647219 115.662 0.935161 2.28433 1563.59
718.164 0.358317 0.434119 378.7 0.65287 2.03187 787.659 0.601883 0.439853 0.796862 0.816352 258.133 -1.61518 2.0493 1821.13
747.37 -0.85668 1.65296 633.028 0.79047 -0.490213 1761.2 0.682244 0.595043 0.64052 0.733019 72.6988 -2.60964 2.02059 2102.43
423.928 0.270649 -0.563192 317.29 -0.805749 0.91405 649.377 0.891161 0.518303 0.824267 0.752486 167.104 2.94531 2.03126 1232.48
664.22 -0.853083 2.31491 629.717 -0.438433 -0.0637254 1275.52 0.284256 0.745176 0.732352 0.631433 174.101 2.08571 0.229208 2144.49
453.909 -1.12959 -0.302735 334.173 1.35971 0.846898 1317.45 0.659085 0.622428 0.653092 0.880314 285.999 -2.89314 2.54314 1380.71
942.816 0.327558 2.5924 360.947 0.772701 0.0237349 1275.67 0.112626 0.705909 0.858879 0.735697 344.808 -0.711011 0.734746 1752.9
638.744 0.680392 -0.974623 626.788 1.90332 1.452 1587.78 0.448793 0.568946 0.660228 0.812211 91.9365 -0.763689 0.210934 1852.49
523.048 0.177291 1.90371 409.298 -1.05637 2.20387 638.442 0.819149 0.660685 0.728581 0.950321 463.89 -1.10831 2.97101 1470.84
532.864 -1.34981 -1.07945 433.07 -0.47912 0.969478 932.246 0.671921 0.781155 0.923747 0.789156 237.973 3.13987 2.06387 1256.8
804.85 -0.31145 0.622054 690.051 -0.907295 1.8381 984.243 0.708596 0.61857 0.794615 0.890523 392.829 -1.59007 2.21213 2675.69
691.473 -0.336524 1.13085 505.535 -0.212627 -1.55012 1188.35 0.192838 0.448025 0.854213 0.90475 203.187 1.45581 0.324955 1667.75
478.532 -0.601265 -1.76634 289.326 -0.2796 -0.296179 543.285 0.540568 0.532466 0.804126 0.781115 119.956 1.93615 2.23233 1460.49
649.466 -0.34487 -2.24181 593.086 1.07492 2.36147 1366.63 0.550815 0.58261 0.783264 0.612417 123.125 0.188251 2.17322 1950.96
762.801 0.610633 -2.1301 577.278 0.159152 2.63044 1012.44 0.483954 0.721999 0.734524 0.714873 350.777 0.372338 2.25811 2204.59
536.087 0.060701 -2.99237 311.604 -0.737993 0.0795661 906.932 0.667778 0.160803 0.714585 0.854175 251.308 -0.181718 0.261284 1483.86
498.861 0.0157736 -2.83028 399.852 0.890398 -0.192221 991.224 0.708488 0.512479 0.759576 0.827486 112.387 -0.141025 0.0511957 1794.7
321.633 -0.769078 1.15634 256.644 -1.79906 2.98203 561.046 0.474396 0.744985 0.839792 0.699476 211.089 -1.16258 2.13858 1314.14
930.331 -0.491708 1.19006 764.375 -1.20027 -1.80419 1948.8 0.380686 0.468644 0.715299 0.829729 246.714 1.64737 0.457309 3164.23
680.353 1.05031 -1.98605 642.566 -0.0419455 2.1361 1464.59 0.203104 0.455662 0.641705 0.699029 302.506 -1.38316 0.602888 2074.76
486.506 1.11506 0.918402 455.593 -0.14155 2.79454 994.599 0.50409 0.592787 0.775816 0.527786 35.1787 -1.20886 2.12726 1614.69
638.267 0.242891 0.771704 569.222 -0.962482 -2.37801 1475.55 0.833636 0.593986 0.802657 0.637775 32.996 -1.48647 0.891536 2139.64
590.575 -0.569805 -2.76595 505.618 -0.12634 -0.544598 1074.49 0.684602 0.507551 0.77913 0.78943 114.879 0.0716469 0.616245 1753.76
445.458 -0.846667 -0.531159 368.174 -0.135396 -2.27375 702.565 0.489237 0.848299 0.82555 0.866882 227.52 1.54139 2.07255 1300.69
562.18 -0.336022 2.66584 552.367 0.0894807 -1.93703 896.48 0.763616 0.502945 0.785569 0.596692 47.7251 0.530776 2.13507 1892.98
507.832 -0.247357 -1.68724 301.639 -1.70914 1.34248 1012.05 0.718978 0.523746 0.899843 0.720298 101.745 0.647135 0.695347 1325.89
626.127 -0.966994 2.00243 601.804 -0.152792 -1.31026 1342.23 0.55125 0.504428 0.661135 0.697598 92.8635 -1.69898 0.388716 2222.05
433.036 0.565788 2.68826 388.537 0.774322 1.10026 604.096 0.768015 0.485697 0.785891 0.811676 141.427 -1.0804 2.18067 1264.23
535.916 -0.575237 2.20371 417.534 -0.178334 0.0167871 871.547 0.711728 0.617992 0.723908 0.914944 32.4139 -2.02165 2.03843 1711.63
844.053 1.58015 -1.66128 755.16 0.493795 2.58214 1653.01 0.690007 0.627881 0.680795 0.735941 124.436 0.358073 2.01935 2313.79
800.663 -1.65542 -1.95992 496.089 -1.86646 -0.401351 899.204 0.775677 0.281933 0.723756 0.80802 268.499 2.04406 2.27921 2427.82
1080.15 0.431107 1.2736 681.437 -0.385372 -1.30726 1999.25 0.591119 0.451936 0.755432 0.664757 48.6007 1.22657 0.0470296 2758.92
515.532 -0.552413 0.0102521 485.705 0.351233 -1.12226 730.265 0.84391 0.690818 0.756353 0.762763 419.3 2.25095 2.2407 1727
542.835 0.542752 2.66927 427.053 -1.45269 -1.67265 1388.82 0.613749 0.820985 0.773826 0.784191 144.692 0.62981 2.03946 1572.92
