pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht 
744.221 1.66063 -2.00348 622.426 1.17876 0.143601 1370.42 0.438365 0.381989 0.677089 0.553497 300.908 2.01251 1.86891 1803.06
679.998 -1.49148 -1.12693 538.24 -0.86549 -2.67734 950.497 0.786933 0.603462 0.809533 0.679003 384.711 1.23661 2.36353 1933.43
489.291 -0.722199 -1.99803 358.707 -2.04814 -2.53726 704.205 0.345112 0.651553 0.600798 0.818311 460.353 1.19575 2.55018 939.291
619.253 0.0145716 2.04178 287.746 -0.261506 -0.727655 929.635 0.214405 0.503777 0.830422 0.731574 502.069 -0.86996 0.142305 1290.04
889.317 -0.917597 2.14525 378.321 0.236423 2.76351 817.12 0.393239 0.665084 0.78948 0.644624 757.026 -0.917734 2.60194 1778.43
519.818 1.17423 -2.83347 281.481 -0.726997 -1.45123 981.745 0.656726 0.526657 0.66394 0.619998 362.506 0.696184 2.14741 1068.92
421.782 -1.6956 -1.14292 353.96 0.504868 -0.552824 1080.71 0.462717 0.773548 0.886849 0.789377 555.078 2.06971 2.62253 997.185
424.192 1.11297 -1.34315 413.89 -0.321617 -2.85187 918.642 0.513176 0.46686 0.859937 0.684683 265.843 2.85966 0.571653 1623.87
1120.72 -1.33543 -2.15604 499.131 1.07977 2.52502 2544.37 0.446959 0.388987 0.795565 0.863948 844.631 0.486992 2.03802 2348.48
576.839 0.30252 -0.822381 453.858 0.652933 0.944689 819.097 0.366687 0.321429 0.757214 0.690061 63.577 3.08744 2.14275 1887.69
374.773 -1.41921 1.81345 358.228 0.40731 1.34964 802.608 0.605661 0.716997 0.62939 0.885011 519.056 -1.49027 2.83992 911.689
460.366 -1.02686 -2.25329 435.226 -0.36327 2.37751 754.516 0.478485 0.623813 0.770934 0.60966 498.987 0.0655586 2.31195 1237.22
377.762 -0.915663 -2.17339 362.115 0.148544 -2.02422 426.375 0.720517 0.857427 0.813831 0.590496 196.791 1.1663 2.9435 1438
474.62 2.29195 -1.84458 284.89 1.92191 2.51943 629.164 0.214516 0.505107 0.843908 0.658529 256.054 0.404216 2.11521 983.7
704.102 -0.571587 1.48083 544.7 0.677326 2.55639 1056.64 0.417329 0.841394 0.93319 0.794235 320.535 -1.70328 2.02351 2231.37
497.983 -0.105241 2.96232 482.684 -0.474762 -1.68316 744.05 0.820796 0.573965 0.677617 0.781354 53.1194 0.476375 2.15953 1616.69
