pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
465.936 1.52256 -2.15888 300.098 0.191553 0.492159 905.3 918.541 0.602852 0.481047 0.594756 0.571956 75.8431 0.664618 0.172459 962.361 0.320966 92.9047
760.489 0.418342 0.0328157 605.394 -1.97812 2.835 2452.87 2428.83 0.646294 0.45474 0.574667 0.61679 366.197 -2.01872 0.957424 1530.13 0.603529 92.9047
908.313 0.555804 1.9498 632.447 -1.21451 -1.13881 2152.84 2174.9 0.649487 0.0933405 0.435069 0.530387 38.3891 -0.0449756 0.535743 1886.13 0.970068 92.9047
547.502 -0.209021 1.25895 474.135 -1.44866 3.12191 1070.32 1044.45 0.408638 0.718177 0.481907 0.77658 536.797 -0.57812 0.337731 1498.73 0.604654 92.9047
492.72 -1.43053 0.260668 289.5 0.222715 -2.3484 1026.94 1382.07 0.759684 0.388265 0.743084 0.68191 529.157 3.10857 0.79102 1031.32 0.259376 92.9047
1278.13 -0.379037 -1.15854 614.145 -0.0316297 2.60991 1760.3 2243.67 0.413256 0.343481 0.521187 0.711051 269.491 1.49099 0.21339 2450.78 0.425519 92.9047
471.766 -0.719644 0.520938 470.044 1.84504 -2.82451 1850.23 1580.93 0.71278 0.618776 0.675062 0.527412 28.7858 0.791456 0.22453 1319.01 0.848038 92.9047
731.371 0.644595 -0.22205 304.918 -1.12159 2.21571 1303.9 1260.83 0.708158 0.580986 0.706099 0.476082 589.658 2.70382 0.398096 1386.01 0.942266 92.9047
726.89 -0.117016 1.62194 553.195 -1.19166 -2.73365 1281.54 1258.01 0.31293 0.680455 0.585944 0.628698 575.614 -0.797317 0.182474 1408.83 0.849417 92.9047
868.888 -0.850035 -2.53487 547.006 -0.144282 -0.303707 1357.42 1355.65 0.583795 0.439042 0.532806 0.529757 175.088 1.03917 0.314406 1946.8 0.431888 92.9047
729.112 0.373808 0.0969504 461.496 -1.113 2.7144 1481.42 1372.65 0.645827 0.694805 0.545197 0.799278 274.232 -2.17173 0.0242958 1392.62 0.633301 92.9047
860.476 -0.663903 0.177597 446.369 -1.55078 1.33423 897.73 886.092 0.430821 0.1827 0.754201 0.760958 945.28 -2.53797 0.223241 1485.28 0.924781 92.9047
569.617 -0.249791 2.58135 513.11 0.172399 0.601552 939.735 934.067 0.403223 0.740276 0.680643 0.740701 22.4684 -0.276999 0.876282 1655.67 0.551447 92.9047
992.145 -0.229705 1.72366 330.651 -0.649428 -2.99199 850.63 855.822 0.297558 0.728977 0.214363 0.59667 793.62 -1.10938 0.0423462 1611.09 0.586948 92.9047
560.735 -1.73419 1.08648 379.512 0.377111 -2.7084 1470.56 1399.92 0.717196 0.687117 0.714645 0.735971 289.994 -1.25906 1.34314 951.885 0.962549 -92.9047
646.521 -1.34724 -2.01182 448.527 0.378468 0.517213 1474.2 1473.38 0.744219 0.588307 0.690986 0.510103 130.921 0.787178 0.274818 1764.6 0.354654 92.9047
642.962 -0.790705 2.88347 584.823 -1.36786 -0.0621168 1285.31 1259.28 0.30703 0.28393 0.415566 0.521618 85.1344 -1.26902 1.20594 1234.53 0.111529 92.9047
638.96 0.857902 -1.84665 489.621 -0.749794 1.80581 1478.51 1457.38 0.715193 0.542665 0.697492 0.685209 196.821 0.250792 0.878225 1290.55 0.579342 92.9047
980.116 -0.415558 2.10982 579.878 -0.549051 -1.28231 1506.29 1514.67 0.453668 0.367274 0.474555 0.33138 656.943 0.111537 0.271273 2055.86 0.799497 92.9047
975.602 0.646879 2.68368 607.838 1.3752 -0.749325 1632.09 1652.79 0.0934188 0.0674097 0.566987 0.393616 366.232 -0.500005 0.248567 1783.68 0.271954 -92.9047
607.105 -0.118464 -0.485841 424.417 0.424589 3.0482 1044.73 1019.88 0.569321 0.58301 0.766393 0.801184 74.2925 1.20793 0.177028 1763.62 0.280364 92.9047
869.127 -1.46362 -2.83486 525.394 -1.37928 -0.577924 1227.04 1226.84 0.248553 0.597755 0.373395 0.834437 36.1654 -2.44371 0.391278 2115.32 0.560908 92.9047
799.473 0.696697 1.49004 732.134 -0.134185 -1.68327 1677.43 1650.75 0.354684 0.591733 0.766481 0.707741 105.039 -1.3955 0.291533 1539.26 0.0465082 92.9047
736.724 -0.0635018 1.84236 641.013 1.72433 -0.420729 1891.45 1677.44 0.503107 0.492319 0.456171 0.71925 561.549 -2.3004 0.354376 1419.93 0.740455 92.9047
633.693 -1.66719 -1.7048 280.1 1.19943 1.97987 1864.46 157.289 0.190673 0.470317 0.634185 0.39527 230.672 0.607412 0.835547 1163.05 0.193819 92.9047
353.315 -0.076688 -2.09626 251.771 2.54085 1.18162 1191.57 1115.96 0.350652 0.674755 0.147961 0.652487 14.4173 -1.16291 0.93374 726.018 0.222504 92.9047
806.72 -0.624328 0.762514 350.521 -1.68877 -2.1848 1277.05 268.594 0.226093 0.293665 0.696145 0.890257 299.525 -2.51003 0.00137997 1348.46 0.90988 92.9047
508.233 0.0922503 2.51705 304.915 -0.476753 0.955169 616.765 613.525 0.511498 0.213125 0.370577 0.568112 554.845 -1.02945 1.14144 892.189 0.876941 92.9047
505.355 -0.563433 -1.57284 423.009 -0.154788 1.36728 950.395 926.157 0.535441 0.488405 0.392414 0.707261 115.671 -1.33863 0.222332 1484.15 0.887374 92.9047
