pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
721.13 0.615021 -0.212198 461.478 -0.181865 -2.68997 1195.93 1200.13 0.515333 0.60533 0.724244 0.764876 299.327 2.4529 0.716093 1376.21 0.748529 92.9047
483.715 -0.222387 -1.11797 423.073 -0.652115 1.74627 933.768 892.72 0.64838 0.659477 0.752811 0.770057 450.077 -2.96676 1.54197 1220.2 0.7871 92.9047
830.245 1.36175 -0.891589 461.534 -0.397727 2.89093 1714.71 1637.75 0.32043 0.531472 0.515629 0.393009 448.244 1.87067 0.719906 1428.53 0.826618 92.9047
370.034 1.79144 0.923051 251.479 0.435106 -2.12579 759.668 760.141 0.375623 0.553734 0.842381 0.524367 62.4525 -0.928696 1.20973 760.505 0.93006 92.9047
582.491 0.37661 -0.38432 366.488 -0.352032 2.3508 981.26 962.76 0.417437 0.459546 0.85416 0.752568 474.092 -2.30305 1.64287 1265.32 0.90435 92.9047
497.793 -0.723256 -1.43197 319.138 0.123545 3.13389 711.369 662.684 0.509419 0.51588 0.49252 0.622099 541.512 1.06294 1.21263 848.676 0.924636 92.9047
1078.44 -0.348402 0.982341 665.652 1.3365 -2.2515 2339.84 2337.6 0.217203 0.576449 0.743713 0.853514 402.181 -2.02812 0.225492 1867.01 0.248304 92.9047
911.013 0.475173 3.07144 804.467 -0.438384 0.441387 1864.04 1800.44 0.220882 0.595509 0.516795 0.623483 160.405 -2.93174 0.279745 2291.19 0.758561 92.9047
455.963 -0.773961 2.75393 314.126 0.26437 -2.47786 568.488 565.9 0.364118 0.64508 0.682438 0.698919 496.542 0.249391 0.505216 1107.26 0.488819 92.9047
552.668 -0.205087 -0.476186 428.097 -0.631954 0.99114 693.371 689.082 0.71041 0.610158 0.873169 0.64217 401.305 2.98498 0.588253 1351.17 0.471781 92.9047
889.638 -1.33223 -0.756763 786.306 0.715416 2.93597 2600.55 2624.97 0.263269 0.360993 0.55459 0.625225 599.919 1.02817 1.78374 1903.64 0.7402 92.9047
704.997 1.05713 0.443337 424.219 -0.481705 2.74616 1405.44 964.755 0.221344 0.350495 0.835101 0.844869 351.315 -2.09013 0.0626202 1294.05 0.53092 92.9047
801.557 -0.835576 -1.78448 685.451 -0.777942 1.11949 1549.7 1216.8 0.186961 0.592382 0.822647 0.643958 213.967 2.26409 1.13679 1508.24 0.229551 92.9047
1027.83 0.692911 0.0904685 725.817 0.788698 2.70096 1674.82 1692.38 0.204673 0.574459 0.517851 0.750812 369.884 -2.43835 0.394614 1955.51 0.783184 -92.9047
1038.5 0.0637316 1.65006 522.014 0.593151 -2.91408 1207.81 1180.9 0.578788 0.568875 0.799614 0.655083 1015.81 -1.00602 0.271474 1596.03 0.940682 92.9047
606.465 -0.909649 -0.0357173 406.04 0.399815 1.83668 1066.62 1070.47 0.390203 0.848348 0.769199 0.802399 595.463 -2.46193 0.784504 1046.48 0.914817 92.9047
924.188 -0.933336 0.681333 827.19 0.0533061 -1.68701 1857.76 1882.25 0.658572 0.528602 0.631149 0.669077 393.024 2.82679 0.0779412 2037.62 0.733694 92.9047
819.504 0.522894 -2.89898 501.551 1.73714 1.4948 1382.88 1087.36 0.472418 0.216595 0.728134 0.87999 633.076 -0.322877 0.179192 1507.16 0.706229 92.9047
748.084 -0.924263 2.68319 603.514 -0.178926 -1.22275 1381.64 976.074 0.605718 0.316232 0.626583 0.7039 427.324 0.93489 1.41639 1607.08 0.892387 92.9047
596.073 -0.425754 -0.657496 543.362 0.394941 1.25671 1152.31 891.405 0.665887 0.30616 0.807033 0.847043 250.492 3.04737 0.525067 1578.37 0.546881 92.9047
719.219 -1.6286 -0.782634 357.789 -1.09235 1.51388 1004.21 894.632 0.749116 0.700137 0.707235 0.746137 647.404 2.9017 0.897685 1176.7 0.791251 92.9047
584.889 -0.374167 -1.46677 561.424 -0.533562 2.23513 1174.24 1098.11 0.560652 0.202735 0.890023 0.778284 263.737 2.64816 0.267384 1712.76 0.744569 92.9047
1097.03 -0.361343 -2.08513 271.635 0.876655 1.53678 1291.11 1289.07 0.59915 0.636052 0.512672 0.846469 815.872 0.963112 0.566005 1448.38 0.638234 92.9047
622.257 0.494115 2.64411 464.414 -1.45219 -1.65635 1525.02 1520.55 0.701183 0.741591 0.671433 0.796333 501.477 0.14836 0.51304 1187.71 0.81348 92.9047
773.572 0.552904 -0.353925 448.149 0.564745 2.02789 1102.27 1107.82 0.59899 0.263582 0.369079 0.876509 301.27 -2.6667 0.535815 1497.29 0.505052 92.9047
490.592 0.901649 0.0955344 391.007 -2.47107 -2.42575 2433.51 2391.1 0.431293 0.760918 0.806969 0.746924 129.586 1.3676 1.27124 1085.42 0.338935 92.9047
798.033 0.098468 -2.89486 742.464 1.18806 -0.0851354 1782.3 1757.41 0.40223 0.337495 0.754303 0.624625 247.647 1.44181 0.878478 1573.41 0.975744 92.9047
667.974 0.863807 -2.79034 354.744 0.0913738 1.14286 985.26 964.835 0.530585 0.584504 0.606703 0.624666 628.553 -0.367403 1.51103 1222.08 0.875509 92.9047
587.015 -0.744574 -2.71286 387.439 0.481793 2.19404 874.717 878.095 0.303187 0.569615 0.931303 0.621495 732.743 -0.0899155 1.00335 1035.94 0.956312 92.9047
465.21 -0.368448 2.98334 353.535 -1.16903 2.1786 533.33 357.293 0.313227 0.562633 0.838322 0.651652 721.827 -0.368773 1.12573 913.04 0.761475 92.9047
406.14 -1.68575 -1.58444 388.656 -0.450066 1.29142 956.19 923.673 0.619122 0.643539 0.635449 0.744392 153.16 -0.632958 0.951382 1040.94 0.534967 92.9047
831.62 -0.367086 -1.89424 556.043 -0.205317 1.19189 1368.96 1373.36 0.571103 0.49921 0.760187 0.715267 272.186 1.74988 0.551703 1554.4 0.20743 92.9047
815.068 0.313731 0.286081 664.864 -1.27237 -2.69427 1965.18 1986.3 0.440645 0.218628 0.55593 0.748836 159.478 1.83947 0.367919 1991.23 0.34496 92.9047
711.995 0.786762 2.49301 557.852 1.24695 1.0708 913.098 824.005 0.801871 0.300344 0.714397 0.7492 467.668 -1.67063 0.160113 2031.91 0.470079 92.9047
315.669 -0.844514 -2.07419 285.443 -0.709811 2.14003 528.693 521.289 0.829805 0.493038 0.743014 0.72173 279.826 0.385391 1.19928 679.691 0.915991 92.9047
708.499 1.8676 -0.602813 447.824 -0.14623 -2.48801 1650.57 1552.84 0.537354 0.607319 0.659555 0.709375 330.632 1.9483 0.0153319 1540.64 0.459772 92.9047
663.771 1.51782 0.955752 303.371 0.342229 -2.90382 1047.6 852.118 0.491532 0.369414 0.800768 0.777153 469.278 -1.78107 0.887555 966.379 0.835633 92.9047
605.498 1.11801 2.68397 433.949 0.820408 0.389258 1002.21 851.061 0.453523 0.545834 0.680812 0.702923 266.646 -1.30344 0.379938 1441.52 0.534018 92.9047
545.96 -0.508219 2.28004 545.349 0.253009 -2.58124 854.338 808.293 0.582492 0.683882 0.71658 0.888498 615.764 -0.0127308 0.425996 1300.76 0.535256 92.9047
984.543 1.00242 -1.63066 515.675 0.45918 0.778041 1391.81 1405.43 0.654668 0.509499 0.442577 0.691259 720.492 2.35795 1.57653 1768.72 0.463431 92.9047
839.797 -0.943615 0.871065 520.256 0.596993 -2.27343 1771.49 1526.31 0.697871 0.292187 0.656163 0.760399 320.637 -2.28464 0.112953 1392.41 0.288344 92.9047
674.931 0.716037 -3.09635 257.893 0.156824 0.982035 786.043 786.777 0.471814 0.647093 0.495764 0.726444 490.866 -0.496466 0.438732 1075.7 0.910137 92.9047
544.049 -0.744714 -1.56777 315.946 0.396253 1.69972 987.855 935.7 0.431465 0.585568 0.70899 0.608653 100.299 2.49834 0.451002 1161.48 0.684673 92.9047
916.747 1.3747 -1.02086 832.382 1.40196 1.95194 1839.46 1429.54 0.596049 0.224344 0.707987 0.790436 68.826 -2.50927 0.730093 1898.52 0.938391 92.9047
685.661 1.04076 -2.86694 654.353 0.58477 0.606973 1377.54 1298.05 0.731722 0.56978 0.767339 0.836583 207.786 -0.901855 1.33563 1343.57 0.853932 92.9047
546.046 1.20707 -1.16427 445.293 -0.415187 -2.81062 1157.56 1144.48 0.754372 0.722196 0.662669 0.891994 578.724 1.28273 0.00277376 1044.58 0.906501 92.9047
858.687 0.785709 -0.993629 572.724 0.167544 1.12055 1310.57 1279.3 0.387725 0.719682 0.81807 0.736483 729.194 2.84482 1.22833 1447.34 0.943547 92.9047
881.771 1.06894 2.35025 549.281 0.55782 -0.0734648 1380.41 1331.98 0.57103 0.639276 0.663741 0.788618 556.108 -1.46989 0.587354 1428.68 0.944674 92.9047
684.77 -0.961544 2.14824 492.254 1.03265 -1.98023 1727.5 1595.74 0.516256 0.318914 0.71695 0.671952 575.138 -0.209292 1.40691 1197.76 0.827539 92.9047
930.538 -0.226848 1.45054 718.346 -0.958719 -1.28952 1854.27 1382.49 0.107884 0.535657 0.887933 0.839779 358.218 -2.51978 0.329704 1772.9 0.759475 92.9047
868.197 0.0332895 0.762337 730.386 1.28318 -2.9832 1865.09 1859.18 0.807786 0.529467 0.865505 0.83978 427.278 -1.46145 0.654983 1681.7 0.917205 92.9047
482.118 -0.641677 -0.149138 402.993 1.39653 -1.0919 1140.98 1110.12 0.526188 0.570887 0.780254 0.791706 626.915 2.46503 0.0271256 1104.82 0.815656 92.9047
840.914 0.329909 2.48033 637.836 -1.97068 -0.340471 2538.25 2564.5 0.649729 0.474846 0.591461 0.423353 392.843 -1.982 1.63983 1750.94 0.965694 92.9047
663.358 1.19944 -1.66243 524.212 1.26736 0.968858 1149.56 1134.81 0.692233 0.770178 0.634687 0.691211 277.803 2.26128 0.722172 1202.94 0.960421 92.9047
714.549 0.912159 -1.50428 303.504 -0.0103928 -2.77206 746.102 637.952 0.506342 0.528153 0.816798 0.62847 604.413 1.65182 0.78794 1370.91 0.55978 92.9047
876.154 -1.08145 2.71544 536.55 -1.16869 -0.901776 1339.46 1346.05 0.563951 0.408503 0.657017 0.554396 399.461 0.0314481 0.536052 1491.29 0.895328 92.9047
1262.71 -0.89624 -1.78902 708.46 -0.0974313 1.91394 1985.07 1989.26 0.638807 0.659101 0.728303 0.804164 725.567 0.829156 0.290998 2021.95 0.948126 92.9047
506.842 -0.488563 -1.60036 451.197 -0.991361 0.839604 944.752 945.491 0.516127 0.363746 0.740076 0.461667 189.714 -2.41111 0.810721 1291.8 0.350672 92.9047
425.927 -0.600864 0.692416 417.86 -1.6672 0.264304 545.182 836.908 0.30492 0.737296 0.737812 0.79076 579.692 -2.25173 0.320105 1263.84 0.769088 92.9047
650.417 -0.0684901 -1.09638 624.846 0.44355 1.44462 1265.79 1280.35 0.154851 0.101671 0.866162 0.744847 169.774 -2.78801 0.437537 1494.63 0.785125 92.9047
817.987 0.734615 1.96711 380.427 1.39752 -0.508469 1168.45 1114.06 0.494596 0.784194 0.776622 0.651015 576.328 -1.55135 1.04576 1217.47 0.477498 92.9047
1393.32 0.34388 2.48806 649.696 -0.597795 -0.217919 2133.27 1823.09 0.557142 0.184334 0.557714 0.870811 860.256 -0.923292 0.0453377 2126.87 0.790486 92.9047
1032.74 -0.229614 0.112547 697.86 0.419949 -2.9304 1826.43 1661.01 0.612391 0.475697 0.802691 0.738011 361.716 -3.13594 0.0529359 1743.32 0.781496 92.9047
683.025 0.834158 -1.17436 619.681 0.66981 1.81553 1334.58 1249.09 0.822618 0.612825 0.744999 0.863886 258.535 1.57043 0.26218 1526.63 0.10492 92.9047
858.514 0.582788 1.15637 556.886 -2.22727 -1.78654 2988.77 2978.12 0.249786 0.70693 0.681789 0.698098 250.349 -2.25071 0.375041 1489.16 0.86914 92.9047
563.345 -0.355127 -0.559253 562.394 1.51033 -2.92871 1614.73 1570.53 0.733645 0.344056 0.771622 0.562229 61.366 0.993969 0.386906 1637.56 0.540489 92.9047
688.309 1.41552 -2.84802 625.318 -0.47265 0.395833 1952.35 1952.52 0.607224 0.586943 0.609783 0.732039 102.319 -1.17878 1.57865 1394.06 0.982792 92.9047
1048.13 -1.41841 0.445311 844.633 -0.8733 -2.99029 1960.66 1895.92 0.314786 0.537002 0.491981 0.694447 247.888 -2.50824 0.218386 2133.7 0.897244 92.9047
533.33 0.351131 -1.01109 477.157 -0.789291 2.81538 1199.82 827.563 0.568708 0.418545 0.787614 0.701378 340.912 1.08705 1.18251 1011.05 0.502009 92.9047
883.463 0.383723 -0.611194 840.904 -0.506504 2.62582 1914.35 1735.32 0.532848 0.242408 0.396753 0.791581 292.2 1.24644 0.087978 2156.95 0.538591 92.9047
384.188 1.28288 1.9836 329.436 -0.0551354 -1.6724 862.158 855.47 0.668184 0.43178 0.635686 0.29265 457.648 0.190776 1.78495 989.88 0.712204 92.9047
519.025 -0.767281 2.1682 391.826 -1.44268 -1.1385 954.592 942.617 0.480689 0.71646 0.327392 0.831357 191.569 0.594564 0.0520758 1375.51 0.398081 92.9047
803.944 0.859554 1.67402 746.018 -0.553623 -1.65126 1950.84 1972.43 0.41788 0.171404 0.507083 0.706367 157.849 -0.236246 1.41481 1567.67 0.0993205 92.9047
1209.61 0.532069 2.41354 488.537 -0.737168 -0.0849059 1849.65 1422.06 0.117734 0.316234 0.804992 0.547603 763.411 -0.89829 0.46805 1919.79 0.615236 92.9047
