pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
592.724 0.398766 0.0351684 532.618 -0.810439 -2.88964 1338.45 1332.05 0.506071 0.736737 0.452852 0.816325 580.526 1.46545 1.43385 1602.04 0.591096 92.9047
500.217 0.878114 -0.825084 474.765 -1.14504 0.776809 1402.31 1025.01 0.193929 0.300731 0.782098 0.62681 634.519 3.09032 0.175273 1077.1 0.741464 92.9047
682.542 1.18177 1.49836 504.769 2.40441 -2.20174 1368.71 1359.28 0.238048 0.733428 0.535823 0.718051 229.433 0.0823957 1.41694 1492.07 0.316226 92.9047
798.3 0.595588 -0.323996 427.62 -0.130457 -2.71698 1174.49 1189.39 0.257587 0.590274 0.0539874 0.745595 370.323 2.65274 0.893903 1433.26 0.735144 92.9047
694.324 0.626632 -1.65299 688.544 -0.0419638 1.27772 1456.03 1475.45 0.319621 0.692942 0.622939 0.674429 153.036 3.05359 1.57667 1401.92 0.105149 92.9047
1357.27 -0.716221 0.712088 1273.36 0.472828 -2.6598 3096.56 3140.92 0.0665365 0.231653 0.445296 0.43699 238.373 0.155471 0.55574 3088.67 0.118654 92.9047
606.553 0.42066 1.74714 583.552 1.3952 -1.50596 1343.03 1323.43 0.573826 0.531806 0.638673 0.731586 74.6299 -0.625423 0.688928 1200.07 0.959226 92.9047
826.806 1.33776 -1.01526 458.98 -0.350121 2.90744 1641.24 1551.89 0.449342 0.404999 0.240513 0.730063 458.954 1.70106 0.583652 1404.77 0.831591 92.9047
564.246 0.398019 -0.339325 369.185 -1.06596 1.4338 1025.44 1015.15 0.284481 0.573897 0.686082 0.630199 545.6 -2.25587 1.70506 1269.89 0.906405 92.9047
1074.7 -0.354328 0.961852 644.79 1.32415 -2.24081 2290.58 2303.03 0.725959 0.422495 0.657092 0.63747 425.084 -2.07459 0.165937 1835.79 0.256894 92.9047
907.202 0.481615 3.07316 835.376 -0.419004 0.507131 1870.14 1826 0.0782497 0.50231 0.391107 0.531178 198.595 -2.67614 0.533798 2301.63 0.306009 92.9047
461.64 -0.780612 2.78867 304.616 0.291952 -2.50842 558.241 561.174 0.195391 0.6104 0.274084 0.650781 521.284 0.257893 0.419322 1054.23 0.532534 92.9047
538.499 0.462623 2.90223 250.781 -2.31803 -0.555114 1582.8 1275.61 0.357628 0.809655 0.68385 0.860226 234.326 -0.39232 0.178665 881.191 0.315961 92.9047
743.649 0.0739824 -0.860708 514.388 0.965018 2.53325 1382.85 1232.88 0.363785 0.637789 0.687524 0.747141 413.498 1.24861 0.236196 1492.66 0.803298 92.9047
1163.9 0.0820398 1.71802 966.814 -1.56906 -0.959567 2858.67 2847.18 0.319008 0.724734 0.682688 0.643557 467.727 -2.36452 0.148902 2158.7 0.965765 92.9047
682.924 1.05006 0.458258 437.246 -0.470658 2.74446 1390.93 964.857 0.319893 0.334256 0.454719 0.352418 329.308 -1.95071 0.105316 1288.94 0.367884 92.9047
1061.61 0.660924 0.147264 702.678 0.761329 2.77441 1674.29 1695.88 0 0.470826 -1 0.658178 416.469 -2.42457 0.407549 1981.7 0.773053 -92.9047
983.788 0.0599299 1.67566 541.731 0.551385 -2.90136 1176.45 1160.04 0.529558 0.339283 0.706765 0.490533 990.02 -0.962917 0.228554 1580.93 0.260765 92.9047
531.989 0.459997 -1.10598 468.3 -0.375124 2.75002 1046.11 1020.03 0.390084 0.611254 0.664378 0.56849 316.135 0.481677 0.0857298 2138.37 0.192434 92.9047
841.549 0.00806531 -1.05059 592.124 -1.01968 1.6362 1613.3 1323.78 0.719015 0.129019 0.683906 0.756367 149.915 3.02386 0.381171 1604.46 0.726107 92.9047
