pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
1191.23 0.139621 0.146254 885.674 0.132883 2.5811 1942.69 1922.51 0.594411 0.751674 0.47235 0.708499 721.693 -2.21053 0.943132 2104.15 0.951781 2.98316 1.5571
736.148 -1.2694 0.101848 292.854 -0.019126 0.0181453 628.948 633.085 0.589289 0.316444 0.55818 0.587341 855.961 2.91132 0.0165348 1528.09 0.604075 2.87773 1.5571
1479.62 -0.438789 1.94218 937.795 0.665905 -1.08451 2902.83 2197.87 0.107303 0.602553 0.747886 0.410925 169.107 1.87592 0.268928 3328.49 0.190751 2.96402 1.5571
1395.13 -1.39567 0.982538 969.485 1.86526 -3.01325 6092.46 6104.79 0.139431 0.578654 0.553299 0.726328 220.111 -0.7172 0.227384 3303.47 0.683007 2.07488 1.5571
916.633 0.325015 1.96162 569.033 0.228016 -0.724373 1415.68 1427.39 0.465761 0.647599 0.546913 0.473309 476.173 -1.7278 0.856145 1527.2 0.967901 1.73871 1.5571
1178.21 0.193158 -2.84598 944.184 -0.329353 0.373516 2217.62 2006 0.381934 0.0615658 0.488351 0 75.5666 2.34609 0.373385 3628.35 0.301791 2.72658 1.5571
1428.47 0.0401581 2.05698 765.107 -0.963163 2.96842 1437.22 1452.85 0.446623 0.113664 0.552164 0.699691 1283.92 -1.01296 0.251367 3189.96 0.62854 2.96014 1.5571
1301.14 -0.475865 -1.09946 1053.84 -0.0129055 0.742191 1961.62 2241.76 0.0995081 0.684395 0.150568 0.79241 447.458 2.23517 0.789542 3421.65 0.481907 2.15902 1.5571
1267.88 -0.170645 0.622798 1166.54 0.0276622 -2.73982 2574.7 1966.55 0.220004 0.705657 0.392571 0.683725 173.925 2.74787 0.334193 3285.26 0.661915 3.0151 -1.5571
1309.29 -1.26679 2.09552 1278.15 0.0877017 -0.246883 3099.74 1686.08 0.130002 0.594685 0.739961 0.490232 138.416 -2.77153 0.123796 3498.88 0.96307 2.64716 1.5571
1116.56 -1.17468 2.16272 374.101 0.78897 0.136248 1915.36 1242.26 0.608416 0.385307 0.600564 0.818287 748.608 -0.840211 0.757522 2056.89 0.617805 2.5281 1.5571
808.677 0.592266 0.707929 334.552 -1.50716 -1.8365 1649.61 1541.59 0.683226 0.666641 0.76389 0.646881 545.585 -2.63417 0.123326 1367.6 0.0863504 2.99669 1.5571
1186.98 1.40184 -1.12985 673.564 0.493721 2.48468 1950.35 1885.38 0.501741 0.395707 0.716108 0.504667 72.8877 -2.09185 0.501036 2835.34 0.572669 2.52976 -1.5571
1643.22 -0.468089 3.09541 968.815 -0.404773 -0.984689 2268.68 2254.7 0 0.427439 -1 0.580118 389.262 0.664627 0.0291473 3409.79 0.630562 2.45993 1.5571
574.62 0.95588 -0.158287 531.347 -0.965424 1.6492 1542.25 1402.74 0.261232 0.420464 0.530062 0.720345 653.644 -2.14709 0.0754528 2054.44 0.0872554 3.00415 1.5571
1222.38 -0.818718 -1.05124 840.706 0.155174 2.21813 2279.87 2312.91 0.32084 0.274159 0.410975 0.598632 829.134 2.32445 0.106324 2895.96 0.778315 3.00285 1.5571
1297.44 0.919391 3.07378 976.126 0.962934 -0.218564 2324.53 1789.63 0.361061 0.0986732 0.202794 0.425463 177.548 0.711043 0.521702 2571.69 0.533462 2.88302 1.5571
2054.96 -0.909795 1.39666 1758.85 -0.316351 -2.07673 4118.85 3650.68 0.47088 0.403893 0.372558 0.6932 92.168 -2.18776 0.102162 4574.52 0.11092 2.92382 1.5571
2142.21 -0.261657 1.85075 1343.18 0.211286 -2.72478 2854.41 2841.06 0.223393 0.233559 0.662637 0.547987 1430 -0.716096 0.0272209 4572.69 0.953113 3.09002 1.5571
1092.76 -0.0543141 -1.76743 978.234 -0.69588 1.00162 2163.83 2080.23 0.620906 0.658695 0.757622 0.83528 306.48 2.2114 0.199992 2233.43 0.921741 2.50477 1.5571
1295.3 -0.0248465 2.87929 1048.3 1.46946 -0.973041 2906.66 2924.13 0.339135 0.562542 0.490317 0.715336 258.259 0.618463 0.169723 3026.23 0.579988 2.42986 1.5571
2123.24 0.359025 1.36319 1444.04 0.340073 -1.56059 3691.94 3054.5 0.0914715 0.356823 0.294762 0.729834 678.047 -2.14852 0.434545 3711.55 0.733455 2.36273 -1.5571
1396.88 -0.0473098 -2.22394 1173.3 0.00479977 2.50271 1846.97 1768.54 0.411076 0.151065 0.51529 0.512303 1550.13 0.309727 0.596016 2925.86 0.446544 2.31909 -1.5571
973.308 -1.37013 -2.16588 926.956 0.561752 0.842821 2862.3 2875.39 0.521172 0.0323614 0.638349 0.266926 24.828 -0.022981 0.646844 3773.78 0.0717963 2.99813 1.5571
1661.84 0.31032 -1.19735 1430.54 0.53225 1.31963 3110.69 2419.97 0.659798 0.196231 0.620452 0.626956 448.292 2.63973 0.263226 3949.15 0.960509 2.18443 1.5571
1115.46 0.347555 -2.97849 1038.39 0.105898 1.19355 1900.53 1910.32 0.490974 0.385097 0.597444 0 299.315 0.0519503 0.177143 2913.26 0.869941 3.084 1.5571
1067.92 -1.03852 2.0514 713.005 0.677972 -1.05709 2541.69 1526.17 0.620393 0.264512 0.786954 0.740256 338.997 -1.27849 0.0224777 1806.28 0.925167 2.97331 1.5571
1341.08 0.37175 -2.19615 870.505 0.850171 0.30489 2326.84 1562.52 0.264405 0.692535 0.734235 0.765089 835.137 1.64511 0.423673 2410.08 0.368319 2.54472 1.5571
718.926 1.4439 3.08456 440.064 -1.0634 0.692988 2107.31 1864.04 0.0750042 0.684574 0.661477 0.815548 463.649 -0.220853 0.8976 1415.14 0.463314 2.40814 -1.5571
1747.87 1.25926 -1.49414 782.591 -0.102288 1.46481 3010.96 2461.96 0.288161 0.676461 0.507055 0.739927 439.406 1.65308 0.0758803 3191.75 0.120218 2.91547 1.5571
1839.48 0.40481 2.10667 1105.72 -0.281688 -1.69602 2917.67 2802.33 0.683321 0.462556 0.575652 0.479092 706.98 -0.401747 0.0968098 3684.98 0.618855 2.69148 1.5571
977.197 -0.823936 -0.00867556 940.124 -0.285945 -2.82861 1974.98 1960.02 0.666272 0.358919 0.604099 0.673411 719.597 2.24936 0.11963 2824.41 0.571628 2.90297 1.5571
1365.02 0.341873 -0.831234 1303.97 -1.15417 2.88992 3382.84 3419.73 0.518479 0.258663 0.408735 0 81.6793 -2.11551 1.27775 3514.1 0.657777 1.77381 1.5571
1115.82 -0.929743 2.13124 1012.84 -0.684853 -0.0125115 1887.2 1913.3 0.363421 0.375815 0.468516 0.502917 339.521 -1.73627 0.0955118 3320.37 0.906423 2.94647 1.5571
1002.4 0.13689 2.71506 996.373 -0.0601314 0.327591 1966.32 1544.45 0.227435 0.215202 0.596211 0.503242 108.217 -1.22578 0.238182 2785.85 0.207919 2.84669 1.5571
1899.28 -0.695046 -1.1534 999.669 -1.5878 2.66351 2970.13 2634.62 0.448871 0.38429 0.63164 0.43573 1123.63 1.47671 0.149789 3114.15 0.744682 2.68106 1.5571
1051.72 -1.41831 0.0867789 761.344 -0.280221 1.27619 1518.06 1383.15 0.531809 0.377427 0.74611 0.703994 1349.71 -2.46719 0.0312979 2039.77 0.341842 2.93797 1.5571
1084.43 -0.322077 -0.740327 994.907 0.512697 1.53814 2101.55 2111.59 0.197923 0.605324 0.300674 0.661578 182.778 -2.35985 0.250067 2989.61 0.283716 2.65053 1.5571
869.007 0.659039 -2.37072 816.262 -0.0183073 0.585244 1783.46 1801.42 0.727708 0.196846 0.690829 0.429937 46.7161 2.58729 0.829141 2800.12 0.0588542 3.08731 1.5571
