pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
1243.88 0.141952 0.0337553 954.829 0.156871 2.49121 2098.21 1944.53 0.888095 0.676859 0.79792 0.855315 772.091 -2.22585 0.902176 2142.99 0.919405 3.11981 1.5571
549.878 -0.86218 -2.21998 369.914 -2.45472 -2.96408 927.926 920.892 0.673971 0.63703 0.768791 0.790801 417.65 0.531735 0.0632347 1385.07 0.874903 2.99709 1.5571
1568.85 -0.405525 1.92252 1029.9 0.626867 -1.15915 3107.57 2225.48 0.22972 0.645517 0.766147 0.775813 189.371 1.96456 0.364926 3518.41 0.204269 2.73909 1.5571
1531.95 -1.33665 0.999189 1057 1.8468 -3.01713 6432.25 6046.53 0.757675 0.707854 0.83803 0.773395 259.382 -1.13644 0.183235 3493.5 0.778028 1.95707 1.5571
891.93 0.33113 1.99852 653.201 0.161911 -0.697825 1514.65 1453.11 0.618301 0.286404 0.689012 0.759165 448.583 -1.77113 0.826042 1574.73 0.968125 1.69407 1.5571
1241.82 0.123043 -2.85078 954.064 -0.427995 0.42554 2321.86 1674.28 0.415721 0.656997 0.762381 0.524142 76.6854 0.812486 0.0790969 3610.41 0.915157 2.82223 1.5571
1539.18 0.0554281 1.94026 819.364 -1.01851 3.09794 1808.53 1651.49 0.51236 0.655665 0.732948 0.70968 1363.62 -1.0155 0.162851 3560.32 0.87618 3.01307 1.5571
1244.5 -0.438099 -1.12989 1122.03 -0.0818251 0.830617 2049.8 1936.62 0.320651 0.717668 0.795917 0.828302 256.603 2.29779 0.585998 3460.09 0.953416 2.83464 1.5571
1312.43 -0.290685 0.731023 1225.7 -0.0280628 -2.75454 2675.57 1975.96 0.180636 0.678377 0.639042 0.854807 76.5852 2.88033 0.00200796 3348.06 0.914176 2.71463 -1.5571
1392 -1.27115 2.06172 1284.96 0.0173952 -0.30235 3171.86 1637.24 0.132486 0.853757 0.652445 0.719984 112.458 -2.78463 0.177516 3592.46 0.0388513 3.07258 1.5571
846.741 0.595324 0.864225 386.161 -1.5569 -1.80156 1875.92 1619.78 0.814094 0.714766 0.729153 0.796366 528.087 -2.52701 0.168993 1487.28 0.109159 3.01272 1.5571
1650.79 -0.450939 3.09581 1037.67 -0.317031 -0.914472 2428.34 2270.5 0.429577 0.713313 0.801581 0.855197 385.114 0.72507 0.0476693 3864.63 0.258174 3.11856 1.5571
1141.72 -0.965761 -2.25406 957.086 0.640242 1.32035 2787.52 2646.14 0.751839 0.755981 0.746803 0.754949 498.706 -2.19421 0.0559852 2911.69 0.379721 2.96047 1.5571
599.015 1.06171 -0.196209 548.472 -0.961469 1.65022 1700.83 879.003 0.314489 0.721429 0.808256 0.690044 505.852 -2.1767 0.119481 2116.53 0.904385 3.0959 1.5571
2216.25 0.120921 -0.696058 1915.37 -0.273601 2.95734 4259.33 3655.7 0.66916 0.557716 0.792764 0.429103 240.102 0.992492 0.363143 5168.11 0.535481 2.70986 -1.5571
1363.05 0.927119 3.09654 972.375 0.943607 -0.174377 2427.1 1755.93 0.628131 0.283005 0.604107 0.549585 238.133 0.585772 0.113728 3002.81 0.283487 2.69667 1.5571
2204.11 -0.245048 1.76921 1427.94 0.222653 -2.72991 3097.89 2733.19 0.476037 0.266537 0.734219 0.477553 1460.32 -0.711781 0.0755348 4726.34 0.917991 3.07612 1.5571
1200.34 0.0525271 -1.80138 1106.44 -0.582826 0.90306 2442.21 2091.32 0.836545 0.748872 0.823261 0.768088 410.578 2.33708 0.257564 3128.82 0.237797 3.13034 1.5571
1253.23 -0.0389786 2.92179 1084.01 1.44178 -1.02662 2879.61 2781.12 0.792655 0.642988 0.775475 0.796053 250.545 0.911036 0.0360236 2931.96 0.870872 1.97398 1.5571
2139.18 0.377903 1.35965 1542.16 0.339969 -1.63869 3846.56 3046.28 0.169406 0.446046 0.509791 0.785103 600.595 -2.22346 0.385257 3711.43 0.887489 2.31837 -1.5571
1457.71 -0.021314 -2.28271 1120.61 0.037317 2.50939 1790.92 1643.26 0.400467 0.582547 0.647459 0.660072 1502.71 0.398869 0.405618 2961.92 0.664815 2.73175 -1.5571
980.465 -1.40828 -2.11662 947.069 0.561064 0.853263 2957.52 2808.24 0.668734 0.18696 0.690646 0.678297 48.4106 -2.41035 0.0968149 3756.76 0.107413 3.09001 1.5571
716.11 -0.309266 1.93641 454.658 -1.26947 1.31363 729.469 600.839 0.775159 0.837375 0.668503 0.758815 1014.31 -1.42243 0.0575273 1531.59 0.922342 3.00744 1.5571
1603.54 0.377216 -1.05302 1472.17 0.574007 1.29976 3038.07 2257.8 0.842558 0.234928 0.873933 0.866993 444.304 2.7177 0.0605378 4127.21 0.240627 2.76526 1.5571
1119.24 -1.0136 2.07202 779.867 0.705781 -1.08377 2722.65 1521.36 0.679394 0.369708 0.787973 0.756949 272.726 -1.20544 0.108235 1959.35 0.915043 2.90168 1.5571
785.272 1.43834 3.12613 494.879 -1.17571 0.618976 2477.11 1941.43 0.560648 0.685392 0.824824 0.835904 419.131 -0.21267 0.319801 1471.06 0.91908 3.02039 -1.5571
1937.33 1.23108 -1.48054 906.947 -0.167537 1.52311 3462.59 2585.95 0.283962 0.833921 0.829463 0.780712 487.718 1.63623 0.0172334 3806.97 0.968577 3.07005 1.5571
1848.43 0.535489 2.14096 1163.47 -0.204829 -1.65512 3042.55 2837.85 0.762516 0.499028 0.882994 0.585648 676.947 -0.322194 0.0407842 3832.49 0.867869 3.03535 1.5571
472.529 -1.30225 -0.991546 439.168 -1.68307 2.22453 974.535 782.272 0.757982 0.824262 0.852899 0.75855 27.5516 1.02313 0.124427 942.205 0.19068 3.0678 1.5571
1252.42 0.205175 -3.06045 289.391 -0.827261 0.0600787 1420.84 1160.9 0.464815 0.833629 0.650102 0.760903 923.534 0.0263623 0.0783057 1752.29 0.691509 3.11623 1.5571
1088.84 -0.746706 -0.127265 987.915 -0.28613 -2.79608 2102.34 1987.67 0.453403 0.621312 0.77718 0.775113 715.238 2.20259 0.00918245 2831.98 0.528482 3.03434 1.5571
1398.19 0.307021 -0.78712 1303.93 -1.1462 2.82518 3416.77 3316.93 0.483434 0.634101 0.550523 0.722757 131.873 -2.78363 0.668716 3485.02 0.976109 2.03936 1.5571
1496.76 -0.433735 0.150289 468.699 -0.741413 -2.23491 1658.39 1452.14 0.680286 0.822312 0.6736 0.820646 1172.51 3.0316 0.256212 2131.89 0.0965117 3.07285 1.5571
1146.64 -0.616784 -0.0789606 1082.78 -0.975867 2.14941 2051.96 2017.86 0.656617 0.758858 0.853062 0.767714 354.231 -2.25815 0.267837 3341.12 0.221826 2.69936 1.5571
1011.82 0.0623952 2.71394 985.314 -0.112117 0.4192 1967.79 1449.25 0.224353 0.449476 0.685934 0.532158 131.466 -0.693635 0.23298 2794.95 0.2144 2.88757 1.5571
1094.9 -1.43431 0.100327 734.702 -0.274914 1.2563 1528.82 1349.1 0.658754 0.488364 0.817231 0.667677 1312.38 -2.46265 0.0263565 2011.45 0.292133 2.92342 1.5571
1588.58 0.476684 -2.34771 1030.25 -1.28582 1.46895 3532.74 3383.91 0.788133 0.81734 0.725098 0.876772 686.155 0.75982 0.701911 3268.75 0.396882 2.47442 1.5571
1105.98 -0.431768 -0.684411 1075.02 0.479403 1.4991 2250.22 2029.91 0.422111 0.744618 0.859369 0.767597 285.468 -2.63751 0.0456996 3408.09 0.742344 2.96355 1.5571
944.973 0.69137 -2.41035 855.895 -0.131089 0.607389 1989.77 1825.63 0.818284 0.502144 0.749251 0.756607 25.9238 3.01695 0.362107 3022.37 0.448387 2.2129 1.5571
638.078 -1.50706 2.35833 491.382 -0.902551 -1.82286 1104.2 836.015 0.659859 0.61761 0.696936 0.830709 504.936 0.0391674 0.222376 1263.09 0.920245 2.11767 1.5571
1381.08 0.419307 0.446625 1312.56 1.48832 -3.09322 3102.23 2932.9 0.303258 0.738708 0.616785 0.772842 157.041 -1.40231 0.116841 3011.63 0.927257 1.76861 1.5571
1277.98 0.728214 1.92311 1244.67 -0.956748 -0.362483 3396.45 2782.05 0.524677 0.778713 0.656289 0.861704 793.658 -2.43751 0.142747 3100.09 0.164181 2.91987 1.5571
1045.22 0.57313 2.08618 921.141 -0.152106 -1.82131 1982.8 1920.86 0.664048 0.644803 0.748847 0.59391 113.993 -0.845473 0.957964 2639.52 0.576972 1.96963 1.5571
1663.46 0.837981 -2.55438 1137.66 0.459224 -0.0922354 2701.68 2597.24 0.390358 0.609561 0.58114 0.79786 983.564 1.29733 0.4605 2950.36 0.502163 2.74518 1.5571
1067.54 0.45361 -2.49107 942.425 -0.937401 1.10369 2532.91 1961.68 0.78654 0.418192 0.876185 0.867316 209.615 -1.72306 0.106943 3034.35 0.10016 3.05748 1.5571
1233.83 0.521192 -2.5722 324.293 -2.03505 -0.733997 2349.3 1960.67 0.498608 0.806185 0.791795 0.837842 930.5 0.820049 0.00222939 1959.7 0.932733 2.89442 1.5571
1957.46 -0.255002 -0.849066 1295.62 -0.241225 1.84333 3217.17 2996.05 0.775405 0.479635 0.81569 0.764781 125.374 2.47074 0.0746672 5202.34 0.976557 3.0371 1.5571
1235.68 -0.08199 -2.65513 1079.59 -1.39934 0.9218 2833.31 2536.72 0.718431 0.538699 0.730228 0.811055 712.855 -1.93283 0.244179 3399.53 0.417454 3.08076 1.5571
921.077 -1.38192 0.933573 896.654 0.641934 1.9631 2411.47 1961.49 0.669007 0.471346 0.616471 0.796228 192.86 -1.30199 0.0618148 3546.72 0.941129 3.08653 1.5571
1221.22 0.959595 -1.01313 1164.71 0.14418 1.51208 2516.53 2350.88 0.670079 0.783284 0.695976 0.828538 290.62 1.03096 0.350689 3305.42 0.167976 2.81758 1.5571
1389.4 -0.444865 -1.66747 1301.42 0.058902 1.78405 2777.7 2618.68 0.601026 0.43524 0.762494 0.840403 32.1029 -0.112609 0.479126 4198.03 0.925872 1.84422 1.5571
1331.75 1.14186 2.80186 1191.49 -0.139326 -1.17831 3035.63 1681.68 0.173507 0.550715 0.758108 0.792976 1001.78 0.746606 0.123058 2565.86 0.0845284 2.99564 -1.5571
1497.87 0.870947 -0.430882 1156.73 -0.943748 -2.96771 3753.44 3450.6 0.716 0.58765 0.824257 0.600904 177.419 2.51208 0.00217724 3406.32 0.883199 2.95374 1.5571
873.435 -0.224715 -1.17096 636.018 1.31474 0.318336 1672.72 1377.85 0.762934 0.761322 0.807492 0.734847 788.078 2.47631 0.325121 1811.83 0.674747 2.32693 1.5571
1321.05 -0.243307 -0.0375937 750.272 1.27823 1.23652 2084.35 1881.93 0.632118 0.803094 0.759823 0.742447 1443.19 -2.93304 0.00672126 3283.45 0.423296 2.89214 1.5571
1516.52 1.0179 0.937032 974.237 -0.275199 3.0888 2800.92 2245.95 0.446637 0.517747 0.524521 0.772119 1208.16 -1.62956 0.504036 2713.91 0.301596 2.53139 1.5571
618.19 1.53492 0.929398 492.614 -0.097792 0.755957 1096.09 1156.53 0.554804 0.55545 0.798082 0.746115 1113.64 -2.57574 0.114438 1850.92 0.674138 2.91639 1.5571
1044.22 0.866157 -1.15998 867.081 -0.272495 2.64387 2167.19 2004.09 0.760175 0.785773 0.741792 0.826452 163.783 0.164038 0.188361 3231.21 0.946762 2.74679 1.5571
635.451 -0.787266 -1.23877 440.456 0.807703 2.46972 1400.32 1283.45 0.748861 0.781637 0.713824 0.795388 567.01 0.377951 0.255585 1514.67 0.776814 3.0583 1.5571
631.558 0.556013 -1.50025 464.189 2.49315 1.6624 1671.52 1455.2 0.769839 0.804436 0.794723 0.739888 218.08 1.41182 0.263563 1060.56 0.1882 3.11503 1.5571
1025.74 0.167001 2.34535 799.118 0.291387 0.520207 1476.83 1396.39 0.688556 0.551538 0.645183 0.846211 329.067 -1.28429 0.356049 2456.46 0.440791 2.28316 1.5571
482.667 -0.0603863 1.14269 390.652 0.835542 -1.91833 984.766 869.001 0.482932 0.6591 0.806751 0.739396 87.6769 -2.23662 0.0086062 856.117 0.914167 2.88145 1.5571
936.05 -0.258847 -0.67872 771.422 -1.7204 -2.38928 1887.08 1786.45 0.660614 0.414749 0.645573 0.568471 603.24 1.44153 0.555611 2280.09 0.944264 3.02456 1.5571
852.609 -0.603652 -3.02286 714.113 -1.14407 0.830849 1567.52 1381.82 0.409887 0.601824 0.807611 0.750511 583.642 -0.862678 0.236424 1619.97 0.187206 2.87557 1.5571
1462.51 -0.752221 1.71145 1070.03 0.749612 -1.34787 3289.9 3031.21 0.326155 0.528314 0.641666 0.747552 230.409 -1.20747 0.130882 2775.22 0.138378 3.1042 -1.5571
1146.8 -0.183747 0.592936 703.454 0.142065 -2.02993 1787.15 1697.32 0.606641 0.639574 0.787118 0.732369 860.172 2.58947 0.482417 2257.21 0.894933 1.83546 1.5571
1101.35 -0.798569 -2.78655 821.49 -1.43719 0.298896 2027.49 1898.98 0.817966 0.602626 0.793784 0.781528 332.942 0.553222 0.24808 1978.58 0.161295 3.08995 1.5571
1279.33 -0.696126 0.41406 738.789 -0.198958 3.07466 2061 1605.68 0.517576 0.775936 0.810459 0.792052 262.127 -2.62789 0.0322645 2892.37 0.955005 3.01943 1.5571
719.625 -0.496917 -2.04977 643.77 -0.823978 1.61433 1447.93 1004.89 0.784328 0.401166 0.82812 0.792854 350.887 0.934991 0.0962201 2204.25 0.655427 3.04679 1.5571
1035.51 -1.35914 1.98864 669.751 0.661973 1.43784 2073.16 1837.45 0.804487 0.878697 0.749608 0.798367 991.465 -1.45917 0.0997876 2356.51 0.0533148 3.10992 1.5571
564.032 0.855919 3.09433 489.781 1.44452 1.02406 983.605 903.824 0.716789 0.770121 0.637642 0.738054 577.209 -0.796433 0.0272714 1877.92 0.0662446 3.044 1.5571
924.996 0.263533 2.81432 516.105 -0.108846 -2.1194 993.219 738.052 0.503218 0.373203 0.859549 0.767854 899.305 0.0626533 0.0309292 1790.16 0.0712214 3.09808 1.5571
1007.94 -0.746393 1.64679 780.122 0.313324 -1.65384 2054.39 1919.26 0.69746 0.701237 0.839951 0.781865 256.934 -0.824038 0.530241 1769.99 0.951406 3.00213 1.5571
1574.31 -0.76979 0.398859 749.631 0.668756 -1.06636 2302.3 1929.31 0.492009 0.825485 0.632914 0.794375 1399.66 3.04406 0.0481501 2940.68 0.125411 3.08418 1.5571
1176.87 0.178198 2.00429 905.514 0.135316 -2.36292 1747.88 1628.21 0.820435 0.507532 0.76424 0.53601 860.213 0.151397 0.0575442 2978.72 0.85356 3.13506 1.5571
1563.9 0.133267 0.129448 478.127 -1.04559 2.59271 1979.43 1844.66 0.693848 0.784286 0.863101 0.809871 1100.63 -2.71793 0.367867 2127.65 0.973709 2.4767 1.5571
1652.48 -0.767963 2.13374 1327.23 -0.311834 -0.550132 3051.34 2170.32 0.841048 0.185648 0.85985 0.729147 161.02 -2.0486 0.246807 3777.93 0.924685 2.81884 1.5571
1095.29 0.376874 -2.04888 952.073 1.39865 -0.213522 1998.32 1839.6 0.771356 0.821007 0.854025 0.809626 846.528 2.3367 0.187572 2729.07 0.851562 2.36989 1.5571
1099.75 0.437461 -2.04832 1040.18 -0.553318 -0.0214648 2163.24 2014.64 0.754509 0.608008 0.792405 0.68181 768.417 1.85518 0.121234 2639.43 0.0522677 3.05014 1.5571
1249.56 -0.127208 -2.30809 915.058 0.144857 0.726439 2187.77 2073.81 0.793607 0.765006 0.819262 0.642359 186.536 1.06124 0.0450343 2268.11 0.949041 2.86885 1.5571
1259.69 0.00365525 2.08186 1236.92 0.406558 -1.72524 2465.47 2262.48 0.708052 0.738973 0.8003 0.77489 365.568 2.76315 0.163776 3862.6 0.852543 2.68152 1.5571
1049.39 1.41796 2.91017 657.885 0.0847222 -0.752456 2029.16 1921.78 0.794605 0.79104 0.873421 0.705341 62.4247 0.793269 0.485062 2307.81 0.144402 2.85768 -1.5571
1715.25 0.264427 -1.75401 786.896 -1.16075 1.27034 2985.34 2517.88 0.71754 0.49705 0.695482 0.815076 334.781 1.9288 0.0176264 3617.31 0.333258 3.03018 1.5571
1850.24 -0.573644 2.43292 1670.67 -1.1746 -1.05537 3914.91 3033.86 0.216547 0.21062 0.563817 0.837177 55.8168 3.00703 0.0111084 4529.56 0.931135 3.06878 1.5571
1546.01 -0.534771 -2.48866 1147.88 0.702095 1.17275 3210.52 2553.41 0.658214 0.260815 0.775845 0.797287 222.574 0.761538 0.0544693 3554.69 0.862194 3.03476 1.5571
1151.12 -0.15652 -0.734579 984.314 -0.286577 2.34404 2195.65 1880.02 0.701693 0.355143 0.747938 0.857716 82.1973 -3.02388 0.811134 2215.45 0.919757 2.76067 1.5571
1626.18 -0.268769 2.97904 1577.58 0.0759977 -0.284175 3338.85 2959.44 0.568035 0.540485 0.842753 0.84322 551.09 -0.395645 0.0633468 3803.25 0.811333 2.9274 1.5571
1631.31 -0.217636 -0.214531 878.403 0.411185 -1.7546 1889.48 1762.29 0.575727 0.392294 0.677915 0.760451 852.86 2.24697 0.141256 3608.47 0.921982 2.73625 1.5571
2140.32 -0.160786 1.03323 1734.21 0.497608 -2.87214 3839.73 3730.97 0.846628 0.515417 0.903539 0.484133 137.909 -0.456329 0.128996 5627.6 0.909428 2.85109 1.5571
2025.68 -0.365216 -2.48061 894.311 -0.744876 2.01757 2294.5 1628.42 0.34216 0.480989 0.478509 0.621133 1801.36 0.287735 0.569813 3179.73 0.917739 2.19871 1.5571
1548.66 -0.455752 -2.21604 951.255 -1.26593 1.95574 2387.74 2186.7 0.776774 0.659031 0.787142 0.815523 1016.18 0.178548 0.273102 2923.66 0.816543 2.67545 1.5571
912.352 2.13637 3.08603 698.364 -0.854071 1.33044 3632.12 3100.15 0.81161 0.782031 0.777642 0.871583 583.623 -0.798124 0.0114804 2353.43 0.871529 2.84557 1.5571
1729.32 0.243438 1.573 1233.53 0.454541 -1.73767 2975.87 2854.06 0.208455 0.382126 0.786066 0.485528 378.04 -1.30496 0.0306075 3412.93 0.960445 2.84283 1.5571
1908.23 0.582664 0.823991 1482.6 -0.394419 -2.74102 3822.74 3085.27 0.339743 0.261771 0.790842 0.760089 716.344 -1.46855 0.101963 4209.8 0.101334 3.13971 1.5571
