pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
1209.37 0.11457 0.018589 905.666 0.150356 2.56456 2012.1 1973.65 0.478428 0.806835 0.75151 0.703721 721.024 -2.25128 0.955307 2122.67 0.947017 3.05894 1.5571
718.465 -1.28407 0.0843749 289.066 -0.0161708 -0.0284503 635.794 638.662 0.684308 0.186224 0.583576 0.537374 844.828 2.90327 0.0588551 1537.35 0.5805 2.87453 1.5571
1490.64 -0.444768 1.91981 965.413 0.668431 -1.13645 2963.92 2253.24 0.108475 0.611407 0.812466 0.439815 219.338 1.84031 0.252236 3320.45 0.22298 2.86271 1.5571
1363.28 -1.40693 0.972433 928.259 1.88164 -3.0405 5968.19 5896.66 0.211166 0.494014 0.32414 0.809844 209.083 -0.786912 0.141893 3170.95 0.646169 2.12106 1.5571
1216.28 0.207543 -2.84883 932.728 -0.398273 0.43274 2261.76 1617.51 0.298087 0.081544 0.692147 0.439888 17.9256 2.0744 0.114546 3587.03 0.298369 2.67515 1.5571
1192.6 -0.169174 2.40259 850.336 -0.601617 -1.1644 2027.13 2019.33 0.454882 0.620978 0.68947 0.690805 45.7459 -0.0805585 0.0191992 2595.55 0.848016 2.46307 1.5571
1442.54 0.0537995 2.04041 765.818 -0.968158 2.96799 1473.67 1473.04 0.322533 0.232627 0.590118 0.393457 1261.5 -1.02262 0.223687 3168.42 0.61529 2.99488 1.5571
1230.09 -0.472324 -1.2242 1109.4 0.112193 2.98368 2133.49 2135.23 0.170367 0.604312 0.159311 0.431618 276.261 1.98351 1.00265 3388.2 0.511366 2.07282 1.5571
1214.87 -0.183416 0.66999 1177.76 0.0595092 -2.74818 2545.5 1949.01 0.186305 0.607664 0.601219 0.753501 120.376 2.64221 0.179935 3273.02 0.915253 2.54852 -1.5571
1619.32 -0.762236 1.99227 850.57 -1.0867 -1.21705 2565.08 1818.9 0.167847 0.506523 0.552069 0.569564 862.749 -1.30982 0.0101508 2553.77 0.568073 3.05297 1.5571
1277.19 0.0102014 -0.269395 1265.69 -1.30766 2.1164 3037.04 1650.62 0.520523 0.169537 0.717904 0.482607 130.97 2.97556 0.400504 3479.22 0.953823 2.63804 1.5571
1067.36 -1.16602 2.12315 330.875 -0.387102 -1.60877 1258.3 1176.5 0.425859 0.63399 0.719507 0.765252 709.294 -0.91961 0.713788 1986.39 0.613718 2.52816 1.5571
907.577 -0.788718 -1.24952 890.861 -1.34748 1.79295 1876.98 1854.26 0.409023 0.328494 0.695715 0.624148 67.4964 -2.82129 1.57178 1780.99 0.051522 3.04055 1.5571
1195.21 1.41514 -1.07483 658.65 0.526424 2.52772 1930.21 1825.98 0.608491 0.341105 0.707491 0.407731 66.0166 -2.71755 0.168657 2787.3 0.520095 2.89581 -1.5571
461.865 -0.558504 2.63373 423.977 -1.13222 -0.2319 926.498 895.986 0.408973 0.582394 0.50917 0.261259 63.8248 -1.72716 1.50618 869.155 0.140864 2.87218 1.5571
1152.28 -0.839181 -1.08108 816.414 0.171936 2.25014 2195.34 2200.61 0.271464 0.228264 0.43144 0.52937 797.344 2.28393 0.0337906 2800.59 0.77296 3.05908 1.5571
