pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
1185.08 0.164712 0.0355165 875.714 0.124449 2.52617 1942.63 1897.05 0.785881 0.717699 0.606768 0.72537 696.317 -2.21777 1.02472 2056.17 0.956153 3.00489 1.5571
728.51 -1.26252 0.121399 299.54 0.0102453 -0.0173942 652.452 649.009 0.4099 0.201918 0.400507 0.599031 854.622 2.87621 0.0244336 1507.39 0.6111 2.91919 1.5571
1583.95 -0.443457 2.00813 987.409 0.612374 -1.16356 3012.66 2298.13 0.136957 0.608952 0.617978 0.44773 258.88 1.42882 0.288801 3376.89 0.20171 3.11002 1.5571
1324.62 -1.43719 0.926813 965.73 1.87111 -3.05309 6062.62 5961.7 0.171128 0.536097 0.130851 0.811325 185.81 -0.403947 0.57292 3175.76 0.666121 2.08641 1.5571
899.734 0.3095 1.98342 602.635 0.182292 -0.708495 1446.28 1440.98 0.577077 0.548705 0.591264 0.483462 421.351 -1.84028 0.762898 1525.68 0.967146 1.69714 1.5571
1195.73 0.183473 -2.83195 973.392 -0.343296 0.368006 2276.8 1996.75 0.379567 0.095042 0.705903 0 113.2 2.71778 0.630296 3634.2 0.488389 2.1247 1.5571
1309.96 -0.886897 -0.905418 687.949 -1.12692 -3.05136 1732.46 1614.85 0.349994 0.63782 0.73162 0.759824 394.347 1.11703 0.841608 2764.26 0.687049 2.73529 1.5571
1490.3 0.0342315 1.96609 817.352 -0.942977 3.05694 1610.63 1602.37 0.563808 0.173818 0.505668 0.494181 1279.59 -1.10274 0.100637 3253.31 0.631675 3.11239 1.5571
1288.28 -0.420024 -1.15304 1044.74 0.113187 2.99518 2132 2121.49 0.166263 0.549392 0.0850219 0.648114 460.753 2.17131 0.827479 3345.76 0.493005 2.13136 1.5571
1304.71 -0.161003 0.679608 1161.03 0.0248567 -2.7425 2590.69 1953.79 0.197239 0.604188 0.434995 0.642723 117.28 2.43858 0.250478 3263.05 0.891779 3.09825 -1.5571
1636.16 -0.753987 1.92289 854.949 -1.10278 -1.21037 2597.34 1832.44 0.15769 0.574661 0.576724 0.463188 878.269 -1.35383 0.042385 2546.64 0.623315 2.98836 1.5571
1313.16 -1.30102 2.09445 1272.28 0.0490231 -0.246673 3098.71 1703.67 0.195561 0.477434 0.49176 0.623547 56.763 -1.30495 0.803183 3490.78 0.419947 2.27592 1.5571
1081.38 -1.14302 2.24646 333.155 -0.390817 -1.58388 1243.5 1177.4 0.410771 0.53044 0.619243 0.747307 693.562 -0.766883 0.65944 1961.62 0.728229 2.35242 1.5571
869.009 0.555434 0.839779 324.972 -1.51808 -1.82957 1678.92 1551.18 0.782005 0.638849 0.624754 0.678018 579.184 -2.50089 0.149786 1367.42 0.119535 2.95491 1.5571
1508.74 -0.521599 3.05999 977.967 -0.312555 -0.880436 2258.3 2236.05 0 0.529732 -1 0.590948 228.292 1.31633 0.35651 3222.88 0.961699 2.56018 1.5571
567.392 0.992737 -0.149785 530.332 -0.996278 1.60917 1573.87 1355.66 0.215467 0.648912 0.727606 0.712375 653.125 -2.26702 0.266504 1986.85 0.00645464 3.13665 1.5571
1188.9 -0.83004 -1.05098 821.431 0.184356 2.21964 2243.24 2234.63 0.408064 0.388112 0.348491 0.56718 858.119 2.30299 0.0814631 2838.22 0.745314 3.02284 1.5571
2157.6 0.19693 -0.6987 1887.78 -0.279381 2.93106 4181.04 3588.77 0.265638 0.525934 0.518588 0.506609 237.799 0.361616 0.270827 4906.29 0.928717 2.44831 -1.5571
1340.64 0.938855 3.11351 940.262 0.987613 -0.191689 2328.3 1757.79 0.277244 0.0841717 0.217613 0.560739 239.581 0.608496 0.382673 2579.97 0.550449 2.885 1.5571
2083.44 -0.272954 1.76487 1390.62 0.210353 -2.74006 2932.19 2645.99 0.286605 0.198465 0.694647 0.560609 1424 -0.732066 0.00379407 4428.79 0.945065 3.03868 1.5571
1095.83 -0.0530975 -1.86572 985.434 -0.683164 0.932685 2179.3 2045.3 0.612753 0.693451 0.671294 0.8034 320.52 2.28087 0.211871 2188.77 0.921538 2.35097 1.5571
1228.52 -0.083686 2.85437 1133.23 1.39298 -1.02954 2917.86 2897.47 0.326149 0.670734 0.5874 0.74276 369.222 0.232318 0.255836 3009.95 0.571777 2.36638 1.5571
2090.52 0.373824 1.34942 1467.28 0.336855 -1.59228 3705.3 3004.56 0.0764147 0.293041 0.380674 0.778625 633.424 -2.22634 0.4425 3628.3 0.890626 2.27021 -1.5571
1383.64 -0.0164919 -2.20947 1117.67 0.00616744 2.52583 1788.2 1680.4 0.425115 0.58167 0.503865 0.38266 1487.85 0.354165 0.64639 2793.23 0.440149 2.33456 -1.5571
969.506 0.549999 0.907717 934.287 -1.4052 -2.14367 2899.41 1119.27 0.0841695 0.502076 0.678546 0.801154 64.2983 -0.837121 1.29507 3677.81 0.964162 0.537065 1.5571
688.389 -0.252579 1.89003 405.389 -1.23465 1.2607 669.248 602.613 0.690881 0.467142 0.643421 0.616895 1005.49 -1.41591 0.0572554 1312.83 0.928341 3.08129 1.5571
1601.2 0.361857 -1.20583 1483.64 0.511948 1.3772 3088.26 2371.11 0.613447 0.225808 0.693123 0.595449 293.359 -2.03536 0.402406 3836.61 0.948131 2.67179 1.5571
1185.2 0.298975 -2.95238 1096.93 0.15064 1.05546 2085.63 2061.56 0.412111 0.357035 0.539585 0 355.874 0.217352 0.10384 3047.58 0.862446 3.02065 1.5571
1489.24 0.737124 -2.14188 706.613 -1.20545 0.694348 3187.68 2482.93 0.0489293 0.682485 0.830878 0.80008 381.931 1.11141 0.01938 2899.08 0.932559 3.1393 1.5571
