pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
1212.41 0.121288 0.0336718 902.45 0.190894 2.49438 1983.48 1976.08 0.715837 0.709466 0.688352 0.773105 748.533 -2.24817 0.970282 2146.21 0.960043 1.5571
1945.76 -0.337021 1.35191 1537.51 0.195519 -2.27591 3502.09 3545.14 0.489516 0.479328 0.707549 0.671088 423.727 -0.667808 0.467445 4028.46 0.648471 1.5571
785.859 -0.91282 -3.03023 556.953 1.09468 1.41016 1906.76 1633.53 0.597522 0.274718 0.626015 0.750496 595.932 -0.636309 0.0592602 1604.25 0.604521 1.5571
1391.64 -0.480445 2.54308 1369.2 -0.40948 -0.455146 2791.67 2716.38 0.600069 0.19716 0.394291 0.484042 309.612 -2.3515 1.39037 2873.61 0.972854 1.5571
925.291 0.416464 1.54954 536.358 -0.429367 -0.660333 1413.66 1368.79 0.0913368 0.656261 0.433679 0.741953 661.006 -2.3406 0.949673 1570.26 0.78269 1.5571
1224.38 0.0956059 -0.380353 870.475 1.09286 -2.56634 2220.49 1415.37 0.429535 0.635512 0.667428 0.54445 888.002 2.13848 0.996911 2253.88 0.960245 1.5571
1380.82 -1.14612 -2.7868 1034.74 0.583738 -0.719925 3118.2 3123.17 0.0615505 0.671407 0.535694 0.635593 463.905 0.782247 0.590605 3333.9 0.526221 1.5571
881.442 -0.282636 -2.38437 348.369 1.57463 2.00229 1489.75 1489.01 0.368144 0.291371 0.537086 0.650068 722.284 0.463544 0.0575066 1380.09 0.741527 1.5571
1522.12 0.442834 2.838 922.849 0.326303 -2.02241 1584.63 1563.31 0.615723 0.089394 0.775571 0.312518 1778.24 0.139247 0.0556676 2760.9 0.846542 1.5571
1421.48 0.176778 -1.40398 1295.68 0.21032 2.24402 2712.26 2095.69 0.397416 0.193923 0.485769 0.735487 627.889 1.30966 0.163188 3269.16 0.940972 1.5571
669.03 -1.35742 0.0313739 631.193 -0.0848942 -1.35078 1234.06 1217.08 0.558363 0.677552 0.697604 0.431575 400.22 2.0576 0.653774 1957.09 0.446001 -1.5571
1143.66 -0.553235 -1.14604 426.634 -0.931588 2.9164 1291.37 1258.72 0.612241 0.480749 0.545878 0.896335 924.814 1.58292 0.374958 1671.4 0.9407 -1.5571
2023.59 -0.0697485 -2.13173 691.797 0.611284 0.755322 2502.7 2524.06 0.16691 0.603317 0.397131 0.487354 1510.01 1.04536 0.290648 3052.14 0.506582 1.5571
1743.3 -0.644022 0.633353 1656.78 -0.523012 2.9788 3205.72 2674.54 0.274564 0.524191 0.279613 0.624246 72.8822 -1.527 0.0383914 4684.02 0.459194 1.5571
1867.69 -1.00714 2.28988 833.217 -1.08434 -2.15098 2115.44 1832.71 0.363929 0.454488 0.445257 0.338112 1661.33 -0.386529 0.0823486 2987.28 0.131551 1.5571
1259.19 0.452756 2.42161 620.801 0.522757 -1.29964 1700.17 1723.15 0.379654 0.230398 0.791717 0 444.825 0.140377 0.960534 2359.6 0.478165 1.5571
1380.09 0.85624 1.22731 1036.24 -1.28907 -2.30112 3888.34 3812.93 0.8246 0.459819 0.680566 0.673739 340.766 -2.24698 0.0397601 2965.76 0.254582 1.5571
1299.26 0.096703 -1.24951 418.598 1.19958 1.1679 1639.82 1563.97 0.681547 0.661974 0.6894 0.657409 900.611 1.77041 0.0887542 2115.5 0.957952 1.5571
1658.36 1.02547 2.88874 1035.48 -1.01815 -0.725603 4208.94 3673 0.223963 0.179624 0.618411 0.67543 211.329 0.140563 0.289522 3483.07 0.152545 1.5571
705.88 0.153922 -0.321526 386.692 0.625326 -2.88557 1051.44 979.974 0.352877 0.645091 0.447637 0.70968 389.904 2.50925 0.907949 1094.15 0.423743 1.5571
878.141 -0.535155 -1.28827 482.78 -0.862429 2.10281 1321.07 1291.84 0.518936 0.547427 0.714775 0.728111 215.696 1.13198 0.0799322 1867.28 0.63345 1.5571
1616.77 -0.740557 2.96314 1092.55 0.919605 -0.354257 3651.34 3582.32 0.617129 0.679127 0.571841 0.727678 158.64 0.965269 0.823869 3352.05 0.548743 -1.5571
1625.55 0.00245085 1.35205 916.003 0.211706 -2.31516 2414.19 2309.41 0.367439 0.591892 0.668713 0.48928 98.9092 2.4456 0.442304 3612.37 0.871259 1.5571
2103.1 0.677386 -0.517511 2033.03 -0.372453 2.41864 4700.23 4768.32 0.353811 0.252869 0.39483 0 104.489 2.71487 0.296228 4794.89 0.103654 1.5571
1391.49 -0.0588563 1.02326 1027.55 0.999474 2.37097 2226.46 1986.71 0.203099 0.391579 0.501985 0.708008 1563.14 -1.6111 0.213676 2899.78 0.20354 -1.5571
2023.83 0.12281 -1.91013 1960 0.572642 0.836992 4037.77 3931.79 0.743334 0.714283 0.699565 0.645637 762.544 2.54032 1.46494 3990.65 0.213237 1.5571
1051.67 -0.49865 1.68832 618.118 -0.283279 -1.44494 1735.93 1366.99 0.206791 0.632563 0.622731 0.485277 457.454 -1.39819 0.0569474 1939.12 0.144526 1.5571
944.294 -0.561065 -2.30311 566.503 1.21193 2.59831 1802.35 1678.48 0.100311 0.562986 0.82568 0.686492 693.467 0.26467 0.124229 1992.21 0.756004 1.5571
1580.36 0.352596 -1.05836 1506.58 0.528085 1.34959 3077.97 2051.87 0.319933 0.501788 0.645001 0.584437 453.814 2.94794 0.489472 3913.93 0.68576 1.5571
2165.52 0.0720316 -1.09479 481.555 -0.183819 1.77503 2206.71 752.524 0.0760369 0.648589 0.402063 0.705165 1707.38 2.11123 0.334942 2814.36 0.583758 1.5571
1329.72 -1.07268 0.674484 807.575 0.408702 3.11005 2633.73 2018.57 0.44996 0.469502 0.610213 0.48106 339.068 -1.98979 0.0555851 2792.46 0.859635 -1.5571
1219.82 0.574643 1.39439 566.002 1.02654 -1.5356 1707.15 1705.51 0.59562 0.578477 0.542374 0.767735 591.513 -2.14141 0.333044 2228.44 0.961882 1.5571
1816.45 1.04875 0.133731 1346.58 0.367522 -2.75182 3307.03 3303.33 0.379815 0.510242 0.699914 0.328636 754.732 2.64638 0.150928 3357.94 0.952532 1.5571
1123.47 -0.761514 1.68824 685.859 -0.368441 -1.5218 1794.7 1808.01 0.659424 0.224965 0.760726 0.102637 316.211 -1.37756 0.134304 1957.26 0.789378 1.5571
1267.63 -0.298446 -0.381948 848.203 -0.42778 3.02508 2147.47 1926.2 0.559231 0.206834 0.380614 0.36521 808.617 1.13808 0.811862 2984.51 0.61283 1.5571
1230.17 0.263703 -2.13301 964.969 0.429206 0.210693 2017.77 2043.2 0 0.388922 -1 0.218791 213.477 2.3969 0.381451 3042.64 0.642748 1.5571
2246.15 -0.466948 2.83749 1052.84 0.0728644 -1.09064 3057.87 2810.54 0.331813 0.32464 0.30232 0.757419 1700.83 0.162446 1.21962 3393.91 0.906574 -1.5571
1072.6 -0.929408 -2.27382 827.671 0.426373 0.0837386 2244.29 2183.86 0.465184 0.419949 0.518251 0.741238 600.163 1.24872 1.15615 2248.39 0.403203 1.5571
1493.79 0.638056 2.48253 860.385 0.611555 0.370418 1991.36 2000.67 0.231806 0.279407 0.27896 0.430301 555.419 -1.58001 0.190835 3551.85 0.934277 1.5571
1089.76 -0.249599 -0.696346 883.516 0.593887 1.49605 1947.87 1957.67 0.545859 0.583906 0.218575 0.754128 854.185 -2.9053 0.0236115 2045.23 0.963338 1.5571
475.518 -1.22187 2.28402 448.436 -0.8844 -1.85973 837.412 814.811 0.697739 0.449366 0.809943 0.750553 120.764 0.311003 0.176467 1233.25 0.557402 1.5571
