pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
1273.03 0.14741 0.0667168 983.848 0.197701 2.5866 2195.55 1912.65 0.873878 0.816964 0.865205 0.911557 705.668 -2.28391 0.11541 2318.05 0.226353 2.96101 1.5571
1914.31 -0.283997 1.24037 1587.25 0.160383 -2.2855 3547.38 3456.83 0.484367 0.60315 0.809666 0.568953 271.814 -0.503238 0.0109579 4029.91 0.140514 2.87041 1.5571
1450.93 -0.410386 -0.365261 1448.16 -0.400538 2.55455 2962.18 2671.09 0.502455 0.468559 0.54614 0.847802 312.989 -2.30067 0.0810084 2996.78 0.215127 2.7082 1.5571
1016.09 0.409094 1.45824 624.142 -0.42102 -0.58872 1578.98 1268.49 0.760019 0.732569 0.825818 0.839334 745.606 -2.40077 0.512158 1712.99 0.268192 2.62979 1.5571
1323.47 0.0708852 -0.341425 1023 1.05803 -2.51058 2526.48 1952.13 0.527371 0.787063 0.743932 0.785247 908.602 2.15566 0.0203645 2454.42 0.0721462 3.09048 1.5571
1368.58 -1.21449 -2.79357 1120.97 0.560028 -0.849362 3264.77 2988.85 0.299174 0.752543 0.775663 0.822048 522.689 0.937628 0.180126 3344.69 0.227845 2.7868 1.5571
964.017 -0.288742 -2.30947 398.784 1.65262 2.05268 1756.57 1483.64 0.77803 0.756472 0.703574 0.807191 707.26 0.471638 0.0642598 1537.67 0.901614 2.87061 1.5571
1719.35 -0.223937 0.162109 1102.03 -0.139998 2.58132 2730.89 1978.84 0.114564 0.657197 0.720729 0.825993 1115.95 -2.36119 0.186794 2853.78 0.965801 2.68522 1.5571
1572.09 0.112222 -1.49872 1396.25 0.210042 2.22868 2964.23 2117.54 0.78434 0.326627 0.827366 0.795762 615.611 0.685702 0.060335 3449.94 0.402209 3.07126 1.5571
771.221 -1.40477 0.0805324 724.325 0.0576581 -1.3449 1625.18 1290.51 0.824134 0.831487 0.81339 0.654554 298.945 1.94057 0.402791 2071.74 0.969487 2.59762 -1.5571
2037.07 -0.0291788 -2.25754 679.223 0.663606 0.817241 2525.42 2391.4 0.215897 0.617235 0.554284 0.838326 1304.06 0.969219 0.0784577 3067.2 0.988648 2.97923 1.5571
1776.94 -0.510255 2.9972 1763.35 -0.738013 0.587834 3454.13 2672.53 0.813599 0.298384 0.710381 0.855596 71.4646 -0.730079 0.126814 4775.21 0.688525 2.92217 1.5571
1360.71 -0.429979 -1.22807 1145.53 -0.0819855 0.838511 2286.4 1681.98 0.312774 0.691543 0.843225 0.816665 1197.4 2.85916 0.134813 2581.4 0.251906 2.64041 1.5571
2027.84 -0.971371 2.27045 925.048 -1.12188 -2.16495 2347.77 1918.82 0.51264 0.756975 0.551647 0.74965 1691.06 -0.415527 0.00449967 3177.39 0.0920721 3.04597 1.5571
1594.72 0.773466 1.31643 1159.33 -1.31077 -2.34194 4330.27 3828.68 0.822526 0.626498 0.818428 0.790142 469.313 -1.86597 0.0288557 3328.87 0.977838 3.13363 1.5571
1194 1.24427 2.65503 1124.47 -1.02739 -0.831154 3995.42 3630.7 0.70283 0.512243 0.727442 0.828915 127.231 0.367139 0.0115121 3665.89 0.287495 3.131 1.5571
770.446 0.154202 -0.19554 445.85 0.617211 -2.90637 1232.33 1010.45 0.688014 0.721371 0.745838 0.755392 494.987 2.60444 0.391896 1245.61 0.239129 2.66339 1.5571
956.417 -0.607052 -1.29243 552.416 -0.934246 2.02872 1528.49 1241.48 0.862618 0.804052 0.825001 0.739006 175.625 0.276657 0.498693 1970.16 0.925149 2.61875 1.5571
991.723 0.708453 1.20602 324.491 1.06519 -0.0568391 828.3 548.555 0.71827 0.734983 0.643178 0.817379 1046.38 -2.13282 0.0331359 1413.17 0.260143 3.05942 1.5571
1069.94 0.48802 -2.02483 644.236 1.62921 0.181753 1907.66 1396.07 0.582033 0.541239 0.774162 0.78504 479.153 1.59429 0.00764596 1962.29 0.727139 3.07466 1.5571
2201.58 -0.200887 2.41507 2128.84 0.661492 -0.397177 4735.03 4475.87 0.831524 0.776504 0.853174 0.781937 272.067 -2.16898 0.136764 4911.86 0.972528 2.93962 1.5571
1060.86 0.866037 2.43812 961.096 0.0598912 -0.0601076 2171.73 1853.52 0.593348 0.734052 0.731915 0.749206 253.111 -2.34663 0.360266 2311.13 0.389365 2.48255 1.5571
1481.43 -0.0996523 1.00463 1053.45 0.982106 2.35893 2390.21 1970.87 0.187259 0.779814 0.739438 0.797575 1324.72 -1.78424 0.128457 2992.11 0.969401 2.95664 -1.5571
1025.92 1.26225 1.31988 710.399 -2.01474 -2.63383 4533.45 3843.07 0.804695 0.802931 0.79744 0.833734 830.639 -0.786665 0.00594801 2052.26 0.125633 3.10297 1.5571
1187.74 -0.48855 1.71749 774.178 -0.261056 -1.42524 2108.14 1389.6 0.387498 0.802238 0.749275 0.818065 422.992 -1.34691 0.0608771 2249.82 0.135313 3.05932 1.5571
1049.35 -0.570919 -2.26979 677.682 1.27124 2.55223 2201 1609.61 0.444847 0.797044 0.705159 0.814044 676.133 0.286052 0.122612 2175.45 0.799096 3.1395 1.5571
1498.82 1.20604 -0.522152 1404.07 -0.989798 -2.67355 4708.68 4133.4 0.425129 0.609625 0.732622 0.553667 635.32 1.09377 0.107548 3856.93 0.0725751 3.00916 -1.5571
1604.64 0.533282 1.38877 1603.94 0.319101 -1.0744 3239.45 2060.01 0.56907 0.457624 0.597519 0.666031 414.471 2.8331 0.347001 3981.62 0.223039 2.92335 1.5571
1509.6 -0.524013 0.263124 731.476 0.602304 2.65328 2484 1557 0.257426 0.74821 0.784678 0.85685 649.267 -2.72218 0.307088 3056.54 0.141233 2.85832 1.5571
2501.98 0.653881 -2.43508 1893.29 0.116405 0.669865 4689.53 4022.71 0.716189 0.589447 0.793069 0.717937 362.504 1.54091 0.04255 4483.25 0.913565 3.13035 -1.5571
931.954 -0.749184 2.00898 508.68 1.02005 -3.06942 1705.65 916.673 0.421056 0.709802 0.517705 0.82942 1048.24 -0.774135 0.100193 1472.78 0.175483 2.78905 1.5571
2170.65 0.0835995 -1.12226 529.35 -0.135174 1.80336 2360.81 747.418 0.136944 0.746543 0.723388 0.838598 2008.76 2.12234 0.0368631 2909.47 0.981161 2.98472 1.5571
1368.27 -1.05925 0.687055 869.464 0.363484 3.11223 2747.89 1910.42 0.642326 0.445981 0.79524 0.583864 359.577 -1.96743 0.112594 2793.15 0.822097 3.03359 -1.5571
1304.58 0.558136 1.38344 604.334 1.13087 -1.52009 1897.13 1590.46 0.675478 0.819298 0.773061 0.821825 678.372 -2.16776 0.0680647 2268.71 0.654044 3.02665 1.5571
1190.76 1.24349 -2.3651 1040.38 -0.347277 -0.267263 2876.13 2409.65 0.631425 0.477326 0.794732 0.635505 837.095 2.20066 0.377975 2744.86 0.339851 2.60538 1.5571
1221.39 -0.774255 1.65374 819.559 -0.394432 -1.426 2103.53 1798.53 0.798319 0.730571 0.812732 0.747379 289.56 -1.40346 0.0094794 2319.45 0.979796 3.07396 1.5571
1409.34 -0.222135 -0.415112 928.016 -0.35607 3.10287 2372.65 2004.06 0.572162 0.703741 0.541084 0.67657 837.584 1.29945 0.61569 3210.3 0.346258 2.63973 1.5571
689.44 2.06353 2.70044 580.152 0.307433 2.29749 1403.85 998.184 0.839868 0.8464 0.829674 0.817691 973.054 -0.628825 0.055985 1330.32 0.166291 3.12112 1.5571
1339.24 0.292499 -2.25613 1057.04 0.416652 0.311387 2342.38 2116.29 0.703965 0.790933 0.65031 0.726165 69.0779 2.13888 0.198405 3235.06 0.0916101 3.08439 1.5571
381.377 0.836777 -1.70145 261.558 -0.254253 -0.00953029 648.796 437.048 0.853093 0.603945 0.756347 0.789839 331.687 2.05417 0.103916 762.625 0.182724 2.8551 1.5571
2345.65 -0.485182 2.94025 1207.5 0.052317 -1.0466 3390.36 2724.02 0.745233 0.51488 0.789197 0.725822 1737.19 0.160913 0.147603 3665.12 0.281941 3.0487 -1.5571
1174.57 -0.906476 -2.24861 1011.41 0.472925 0.0785069 2653.24 2223.61 0.516865 0.745767 0.874864 0.573669 609.058 1.50358 0.0657393 2497.38 0.193604 2.86764 1.5571
1679.4 0.531364 2.46906 904.531 0.621569 0.334066 2251.81 2042.58 0.391721 0.486095 0.753111 0.785837 1162.37 -1.10657 0.104532 3735.85 0.0864856 3.13182 1.5571
714.385 -0.955605 -1.66842 437.138 0.819856 -1.20167 1206.16 902.695 0.796708 0.803169 0.809949 0.799309 1048.4 1.7773 0.0210398 1383.93 0.183584 3.12506 1.5571
1044.88 -0.794566 -1.50271 924.398 -0.0607265 1.15596 2113.79 1782.27 0.827909 0.771291 0.809552 0.816585 336.624 2.73373 0.179463 2046.17 0.167101 2.9432 1.5571
1097.7 -0.332646 -0.806525 942.204 0.4829 1.53111 2084.18 1962.47 0.397482 0.73448 0.679297 0.834446 747.791 -2.98972 0.0380139 2144 0.535926 3.11529 1.5571
597.896 -1.38277 2.27567 582.741 -0.856373 -1.83016 1174.89 820.481 0.753721 0.817503 0.856799 0.852283 89.2141 0.415465 0.0662528 1472.84 0.137448 2.87198 1.5571
988.774 -0.526569 -2.24236 260.103 -0.142489 0.734262 1096.42 803.948 0.645297 0.595496 0.815779 0.82843 725.995 1.0129 0.0428159 1374.05 0.248535 3.00853 1.5571
1887.81 -0.25534 -2.89455 1209.82 -0.893744 1.0657 3011.37 2858.28 0.299322 0.578539 0.857617 0.719795 1150.2 -0.435489 0.0933196 3259.36 0.825387 2.91087 1.5571
1491.95 -0.205661 0.540627 1070.44 0.349773 -2.83767 2670.72 2397.94 0.817017 0.408734 0.815739 0.803541 215.772 1.55674 0.51974 3343.68 0.237513 2.66294 1.5571
1347.21 0.151318 1.6618 993.222 -0.123357 -1.66055 2386.66 2114.15 0.574182 0.666446 0.842154 0.712222 343.54 -0.579425 0.251106 2533.91 0.383305 3.12328 1.5571
718.735 0.426232 1.59625 713.189 -0.492595 -1.73262 1664.67 1182.02 0.715891 0.56888 0.870567 0.7665 419.55 2.17983 0.0999806 1977.31 0.567459 2.95302 1.5571
