pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
267.466 -1.56997 -1.58452 257.733 -2.13826 1.52256 555.113 518.142 0.466441 0.515448 0.156463 0.821306 7.53017 2.08142 0.193903 521.662 0.840322 2.81107 0.0996691
2005.84 -0.341212 -1.15116 1262.1 -0.397355 1.35189 3034.97 3048.66 0.350945 0.720693 0.621718 0.708393 86.6588 0.189338 1.1634 4664.98 0.925608 2.45077 -0.0996691
1533.76 0.370721 2.79851 1452.57 -0.686891 -1.82444 2792.59 2558.25 0.674748 0.577749 0.591255 0.547501 375.41 0.308409 0.16625 4673.52 0.885836 2.98948 -0.0996691
3092.18 -0.369359 0.37834 2675.56 -0.410561 -2.37112 5745.89 4756.77 0.257712 0.113747 0.799237 0.493465 176.297 2.10153 0.508721 6826.4 0.904089 1.3039 0.0996691
1510.46 0.179107 -0.976191 1400.63 0.235267 2.14452 2960.84 2724.85 0.664442 0.319927 0.663342 0.758475 79.6454 0.360863 0.477324 3284.15 0.829273 2.57057 0.0996691
706.797 -0.478782 -0.502699 350.985 1.10987 2.5536 1359.06 1104.66 0.742222 0.544338 0.787575 0.612154 375.793 2.67561 0.0261209 1025.23 0.377236 3.12866 0.0996691
381.912 0.954429 1.44192 351.543 2.39852 -1.80769 958.44 831.556 0.346859 0.649767 0.425288 0.678965 14.4669 -1.42836 0.397679 734.072 0.205455 2.75132 0.0996691
1948.08 -0.575541 3.01639 911.992 -0.27544 -1.21596 2380.77 2074.1 0.45404 0.270284 0.472886 0.522259 675.247 0.571823 0.00915182 3966.84 0.711912 2.51956 0.0996691
1298.26 -0.852365 -0.0992471 950.812 0.655354 -3.03599 2890.88 2872.47 0.240793 0.588969 0.686542 0.722982 101.13 2.05063 0.622882 2610.83 0.949904 2.77154 0.0996691
1832.03 -0.512298 -1.81631 1621.37 0.855293 0.324583 3964.42 3962.12 0.247635 0.692102 0.666505 0.715968 87.378 -0.675751 0.997455 5983.25 0.277933 2.60184 -0.0996691
447.217 -1.46076 -1.82434 401.788 -1.35844 1.28164 874.088 835.575 0.764293 0.587632 0.875647 0.827535 26.3368 1.60988 0.332962 874.555 0.0672062 3.09643 0.0996691
508.973 1.05202 0.666795 467.335 -0.320031 -3.13706 1190.46 1159.11 0.533762 0.611482 0.537691 0.688041 37.219 0.811065 0.0382329 1428.72 0.717255 2.71626 0.0996691
1168.82 -1.23947 -0.281177 497.273 1.35044 1.91986 2928.48 2637.43 0.45872 0.308637 0.494191 0.490115 700.98 2.95719 0.268634 2196.13 0.751872 2.78968 0.0996691
288.664 0.441405 -3.09769 260.133 1.70274 0.0623946 675.42 568.166 0.668153 0.538704 0.574543 0.755572 26.9171 0.170595 0.0109201 543.728 0.150719 3.05924 0.0996691
