pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
254.833 -2.15319 1.53834 252.643 -1.59035 -1.65021 537.141 517.762 0.660523 0.217326 0.704844 0.24475 14.3996 -0.109413 1.53948 494.455 0.0479367 3.0772 0.0996691
1498.06 -0.121178 -0.184974 1152.15 -0.102542 1.79603 2391.61 1998.9 0.602023 0.267717 0.792313 0.793735 1081.85 -2.66734 0.463984 3416.42 0.573833 3.09073 0.0996691
2961.83 -0.404003 0.395522 2638.37 -0.387544 -2.38742 5609.4 4636.73 0.25142 0.0647034 0.649492 0.382046 114.512 1.30473 0.054963 6701.29 0.98481 2.53633 0.0996691
1577.61 -1.03812 -1.56143 1154.52 -0.96642 2.22465 2618.9 2513.04 0.540767 0.262533 0.347932 0.0661147 132.96 -0.543231 0.574907 4381.07 0.594816 2.94039 0.0996691
364.802 2.38752 -1.83666 356.529 0.976539 1.41979 927.883 845.538 0.657777 0.558691 0.63619 0.479021 19.9595 0.925763 0.507758 726.808 0.113941 2.91853 0.0996691
1879.62 -0.595693 3.01893 944.258 -0.225532 -1.24189 2387.18 2088.06 0.575987 0.317015 0.464676 0.604772 680.13 0.618888 0.0712529 3917.52 0.722836 2.53062 0.0996691
1327.1 -0.861538 -0.112859 957.009 0.68134 -3.09245 2970.52 2939.18 0.313708 0.622455 0.68929 0.530544 89.3962 2.26141 0.463298 2649.74 0.603503 2.84106 0.0996691
1708.28 -0.565318 -1.81439 1595.25 0.891671 0.180753 3826.88 3855.89 0.156373 0.5621 0.668554 0.761421 105.27 -1.92721 0.11213 5765.91 0.249535 2.98314 -0.0996691
528.506 1.02624 0.618072 485.667 -0.288831 -3.12544 1228.54 1171.64 0.610443 0.616988 0.497618 0.634109 46.8818 1.24623 0.347 1467.19 0.159539 2.82116 0.0996691
1149.2 -1.23965 -0.192696 494.94 1.36838 1.90447 2906.55 2611.02 0.375631 0.268117 0.575131 0.459797 691.9 3.04945 0.122417 2170.86 0.748288 2.93943 0.0996691
292.476 0.405528 -3.05071 259.013 1.71635 0.0434933 684.727 579.873 0.617679 0.619364 0.776962 0.756826 57.2759 0.846367 0.715855 543.211 0.149033 3.10019 0.0996691
1375.12 0.130627 -0.670928 407.106 1.79997 -0.541633 1473.22 1339.21 0.34517 0.290583 0.401219 0.699769 1700.67 2.48402 0.0642052 1888.95 0.891873 3.05028 0.0996691
1337.26 -0.322007 -1.6033 1274.14 0.621832 1.2518 2908.3 2929.45 0.515998 0.587894 0.539646 0.67998 103.38 1.43195 0.182027 2992.56 0.147331 2.8518 0.0996691
1140.04 0.278055 -2.05379 1026.74 1.21747 1.5354 2384.35 2288.26 0.300575 0.568388 0.725943 0.453508 276.066 -0.233633 0.251311 3489.25 0.846308 2.9542 -0.0996691
2882.82 -0.402643 1.35216 2061.69 -0.392424 -2.23256 5005.05 3925.65 0.0808003 0.572171 0.639772 0.331052 26.4189 -1.41831 0.229116 6463.44 0.0977117 2.9573 0.0996691
2070.08 -0.412417 0.792675 1807.95 0.835797 -2.20753 4657.06 4674.05 0.513097 0.658486 0.700653 0.714033 208.424 0.395962 0.0863928 5084.13 0.935748 2.65478 0.0996691
741.748 -0.463849 2.50404 737.317 -0.650732 -0.470952 1495.65 1470.19 0.330305 0.641623 0.684216 0.80935 71.6354 -2.41374 1.36338 1463.83 0.0843203 2.97339 0.0996691
285.947 -0.514615 0.583567 277.574 -1.24937 -2.42181 619.37 575.404 0.561273 0.412047 0.683563 0.877922 28.0968 2.24512 1.60397 532.988 0.0506148 3.04596 0.0996691
1717.9 -1.35366 0.916286 971.079 -0.836504 -2.41232 2682.49 2688.8 0.0699867 0.428906 0.64544 0.825327 232.552 -2.13453 0.287344 4420.85 0.300674 2.94453 0.0996691
1666.1 0.0142062 -2.10276 1125.04 -0.727924 0.728022 2955.96 2820.19 0.224571 0.65711 0.499227 0.813874 39.5571 -0.497997 1.07687 3542.53 0.72164 1.89424 0.0996691
2033.14 -0.371987 0.274352 1148.41 0.991051 -3.07715 3793.01 3796.49 0.352874 0.246738 0.687965 0.536406 416.578 -2.99373 0.0809877 4302.9 0.302024 2.93282 -0.0996691
1990.54 0.117022 -2.1747 1331.91 0.0574665 0.322674 3151.7 2976.19 0.48869 0.571067 0.8216 0.63381 769.547 0.365963 0.0486453 4490.5 0.0360749 3.08932 0.0996691
1192.5 0.65256 -1.79064 1142.48 -0.864991 1.20216 3043.63 3061.07 0.666006 0.583913 0.825958 0.724286 70.6094 2.96166 0.719065 2464.22 0.958671 1.04386 0.0996691
2327.25 -1.0295 1.85725 1953.01 1.20751 -1.96668 7105.56 6620.52 0.537034 0.346524 0.534546 0.729176 194.572 -0.330173 0.0413677 5529.93 0.566771 2.14744 0.0996691
1543.89 0.548085 2.7132 756.548 1.71509 -1.22541 2426.45 2335.34 0.688869 0.691909 0.722907 0.80866 555.953 -0.16942 0.0103013 2996.31 0.051313 3.07652 -0.0996691
