pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
1495.58 -0.103087 -0.201659 847.631 0.121279 2.08073 2085.31 2011.13 0.588566 0.670441 0.693835 0.682149 1072.24 -2.68072 0.514405 3268.53 0.695731 1.96382 0.0996691
1905.93 -0.608134 3.0112 877.139 -0.256793 -1.25709 2297.96 2267.23 0.64168 0.20927 0.426384 0.498468 678.929 0.542184 0.00788325 3833.64 0.770344 2.4769 0.0996691
1117.74 -1.25697 -0.256163 492.931 1.37789 1.8435 2894.93 2596.34 0.494569 0.16662 0.472339 0.617114 697.95 3.00848 0.170921 2078.1 0.743 2.86356 0.0996691
1387.15 0.386385 2.56686 -1 -1 -1 -1 817.331 0.56528 -1 0.513051 -1 1234.27 -0.589461 0.22414 1544.2 0.950983 2.93201 0.0996691
1334.8 0.135044 -0.668702 402.028 1.74889 -0.569629 1398.97 1252.15 0.345561 0.284931 0.363445 0.646245 1637.35 2.50155 0.0019896 1819.39 0.887621 3.09624 0.0996691
2096.49 0.115554 -2.26043 1318.85 0.0706684 0.373798 3280.15 3064.9 0.711923 0.528038 0.87709 0.677194 902.944 0.381081 0.013238 4494.33 0.966694 3.05276 0.0996691
1553.85 0.289489 0.269814 1541.62 -0.116729 2.73172 3041.35 2196.39 0.539831 0.156345 0.687135 0.845235 1383.74 -2.24325 1.10461 3863.19 0.388772 2.66539 -0.0996691
1633.35 -1.19162 0.583933 725.449 0.502942 -2.50924 3048.9 2664.17 0.446941 0.397853 0.530682 0.774805 937.27 -2.60441 0.133065 2310.89 0.470347 3.07136 0.0996691
1091.56 -0.44964 2.15097 -1 -1 -1 -1 454.739 0.138416 -1 0.676743 -1 992.423 -0.924135 0.188649 1349.7 0.750337 2.83383 0.0996691
1652.42 -0.0690947 2.17876 1095.83 0.820885 -1.23601 3145.55 477.151 0.122894 0.340653 0.637562 0.644993 905.457 -0.992803 0.0939294 3355.78 0.292235 2.79895 -0.0996691
1524.01 0.0685109 1.79998 925.228 -0.562497 -0.283853 2206.2 1995.47 0.248002 0.37206 0.700547 0.460609 1024.21 -2.25236 0.0304337 3002.08 0.885946 2.20041 -0.0996691
1308.36 0.34362 -2.29957 658.132 -0.455709 0.875828 2037.8 1924.23 0.483113 0.563674 0.58347 0.73371 654.316 0.800338 0.0783309 1920.9 0.314263 3.10564 0.0996691
1362.13 -0.0568534 2.74835 263.184 0.0758764 -0.551121 1276.89 368.232 0.516165 0.494511 0.616689 0.605241 1251.16 -0.506695 0.0456998 1763.24 0.0377106 3.08159 0.0996691
1748.39 -1.38748 0.674115 1065.41 -0.394815 -3.13347 2989.85 2738.9 0.524336 0.525429 0.420191 0.668046 632.936 -2.72796 0.021431 3671.38 0.891271 2.8597 0.0996691
1456.71 -0.653859 0.758923 388.509 -0.081056 -2.30234 1579.44 1552.33 0.0843576 0.468922 0.541773 0.567824 943.587 -2.26079 0.0413864 2141.44 0.878143 3.07872 0.0996691
1088.58 0.186064 -0.997496 731.913 -2.2371 -1.83318 2842.52 2802.65 0.537476 0.379546 0.687776 0.512831 1154.5 2.01872 0.0853519 3059.29 0.260748 3.09664 0.0996691
1127.67 -0.120876 0.991364 417.681 1.25737 -2.09671 1725.58 1565.21 0.674033 0.703329 0.653301 0.714589 710.37 -2.20637 0.0700467 1521.94 0.516886 3.13483 0.0996691
1964.13 0.495036 -0.465707 1223.36 -1.15664 1.66636 4027.17 2529.32 0.534948 0.0885934 0.817162 0.611366 1357.18 -2.63303 0.59591 3884.74 0.984681 1.59038 -0.0996691
1993.63 -0.388849 -0.551378 1462.34 -0.214701 1.38499 2926.81 2533.93 0.171012 0.265913 0.753944 0.765731 1244.92 -2.97815 0.00183201 4354.04 0.9479 2.50472 0.0996691
1528.88 -1.22195 -1.8972 -1 -1 -1 -1 1002.31 0.151776 -1 0.817627 -1 1331.74 1.22113 0.0479172 1709.16 0.76675 3.11654 0.0996691
1628.05 -0.306399 -1.93668 -1 -1 -1 -1 479.653 0.0993297 -1 0.673273 -1 1585.97 1.26759 0.338815 1951.63 0.458442 2.89995 0.0996691
1667.19 -0.333484 2.73199 407.49 1.13551 -0.886431 2103.28 1908.16 0.494324 0.684741 0.627673 0.74142 993.616 -0.295563 0.123657 2345.54 0.710314 2.90483 0.0996691
1565.56 -0.802693 2.39205 677.074 -2.30696 -2.00039 2390.26 2379.87 0.154254 0.545047 0.328568 0.357056 1145.5 -0.509915 0.0605885 2682.65 0.935607 2.84138 0.0996691
2069.41 1.06147 0.959498 1867.26 -0.233075 -2.12713 4945.61 3592.99 0.613334 0.173886 0.485487 0.706263 1001.62 -2.31274 0.0378356 4691.66 0.791644 3.10256 0.0996691
1913.5 0.0996682 1.29375 1867.72 0.510905 -1.06693 3616.71 3590.24 0.169422 0.486441 0.59728 0.324176 1140.99 -2.49937 0.29245 4521.57 0.96118 2.78136 0.0996691
1227.05 -0.050292 0.531625 397.721 -0.693739 -2.62948 1520.85 1311.34 0.32112 0.397935 0.394305 0.582191 1108.84 -2.62022 0.012136 1920.48 0.445823 3.05912 0.0996691
1743.8 0.116919 -0.436906 1227.41 -0.782424 1.43383 2773.77 2532.8 0.447196 0.680783 0.808855 0.696087 2392.34 -2.87793 1.52657 3409.41 0.966397 1.35247 0.0996691
2055.24 0.616262 -1.82611 1143.09 -1.03245 0.233092 3862.49 3846.82 0.505093 0.0825096 0.573252 0.624608 1195.67 2.40601 0.260323 4393.78 0.583479 2.43524 -0.0996691
2230.14 -0.865497 -2.5765 1286.48 -0.143576 -1.35561 2312.57 2308.48 0.645387 0.422706 0.595893 0.41615 1495.16 1.10019 0.178762 4979.64 0.39218 2.78495 0.0996691
981.521 -0.649476 -2.64003 -1 -1 -1 -1 1099.98 0.698689 -1 0.639847 -1 737.31 0.5019 0.0208251 1200.56 0.635157 3.12111 0.0996691
