pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
1529.67 -0.133304 -0.272319 1255.49 -0.156114 1.72758 2591.83 2081.38 0.595985 0.254221 0.800065 0.695872 1039.29 -2.74543 0.561924 3408.06 0.697151 1.91019 0.0996691
1703.59 -0.279143 1.66121 1148.59 0.597666 -0.551068 2853.27 2835.52 0.43104 0.254211 0.241938 0.606438 812.063 -2.10363 0.211615 3552.18 0.684867 2.73843 0.0996691
1460.39 0.378785 2.88122 1438.57 -0.72301 -1.80801 2703.57 2663.88 0.392495 0.620132 0.699472 0.607618 378.042 0.68278 0.0976963 4577.66 0.782829 3.07647 -0.0996691
679.134 -0.511452 -0.528199 348.971 1.07099 2.64028 1325.76 1155.93 0.610009 0.598866 0.812811 0.677771 329.338 2.60339 0.118613 1049.15 0.344529 3.06924 0.0996691
1910.58 -0.600951 2.97748 923.464 -0.252783 -1.25128 2372.11 2380.17 0.519711 0.537962 0.536507 0.682081 680.245 0.495848 0.0606041 3880.62 0.75762 2.42103 0.0996691
551.966 0.497412 -0.856549 300.745 -1.65865 2.89544 1320.65 1310.42 0.781122 0.705662 0.715973 0.66864 373.577 2.82507 0.0825164 1223.53 0.419356 2.51936 0.0996691
1136.17 -1.26636 -0.255676 506.451 1.34453 1.90929 2937.18 2653.04 0.498382 0.540538 0.481974 0.355781 677.355 2.97257 0.208739 2159.53 0.740661 2.86164 0.0996691
1453.05 0.32179 2.55123 -1 -1 -1 -1 831.737 0.142112 -1 0.707897 -1 1309.76 -0.640076 0.231478 1624.96 0.940376 2.9599 0.0996691
1365.92 0.116221 -0.695833 382.58 1.75524 -0.626126 1374.21 1266.79 0.528411 0.384967 0.42529 0.690181 1682.43 2.46631 0.0163496 1822.78 0.90763 3.08398 0.0996691
1102.67 -0.498296 -0.386252 289.445 0.871983 2.91832 1432.83 1372.85 0.529326 0.670336 0.81007 0.819395 837.163 2.71823 0.177679 1414.8 0.577773 2.96278 0.0996691
562.973 -0.127635 -2.14527 -1 -1 -1 -1 287.187 0.601602 -1 0.71927 -1 533.504 0.994364 0.588039 598.331 0.899664 2.54903 0.0996691
548.725 2.05529 -1.32181 -1 -1 -1 -1 994.351 0.739103 -1 0.557334 -1 444.978 1.80603 0.0809099 651.313 0.670406 3.0757 0.0996691
2021.09 -0.397769 0.298534 1123.86 0.99929 -3.04755 3776.26 3776.02 0.479674 0.623483 0.762597 0.802369 476.318 -3.03619 0.0127849 4259.83 0.302498 2.93528 -0.0996691
1195.62 0.871017 2.78536 641.651 -0.792342 -1.69408 2153.76 2089.39 0.670656 0.576837 0.563996 0.670762 847.032 0.258383 0.0152126 2317.31 0.565538 2.56037 0.0996691
1967.8 0.111171 -2.26789 1332.38 0.0579992 0.354244 3185.22 3043.68 0.779115 0.602697 0.721513 0.642513 777.146 0.317663 0.0124015 4387.77 0.929693 2.57318 0.0996691
1604.01 0.54781 2.70904 816.364 1.71702 -1.24735 2559.54 2529.66 0.687211 0.68346 0.774301 0.675114 544.198 -0.12308 0.0341034 3118.22 0.93736 2.87216 -0.0996691
1407.51 0.336963 -0.538769 770.945 -0.234842 2.3297 2163.6 2149.69 0.631199 0.537589 0.593387 0.610459 287.477 -2.92831 0.312228 4102.48 0.835969 2.44238 0.0996691
1505.27 0.251647 0.243742 1463.44 -0.15371 2.65961 2896.32 2902.13 0.585065 0.183534 0.744968 0.874674 1378.63 -2.2347 1.38876 3682.65 0.355027 2.41626 -0.0996691
1687.61 -0.330867 3.11007 1396.73 -0.49833 -0.309389 3067.25 3065.11 0.722496 0.400747 0.725343 0.427809 269.624 1.06502 0.141334 5190.18 0.120082 3.10601 -0.0996691
416.38 0.0596488 1.90649 -1 -1 -1 -1 461.476 0.595148 -1 0.909139 -1 350.824 -1.23082 0.159208 477.025 0.722521 3.00271 0.0996691
1684.3 0.205767 2.71498 1053.12 -0.834783 -1.46415 2737.86 2737.59 0.719603 0.332339 0.559594 0.555503 608.158 0.54817 0.0769809 3846.86 0.383805 3.02994 0.0996691
1993.11 0.669918 2.57747 1214.53 -0.550266 1.01029 3001.23 2974.62 0.132323 0.707806 0.824472 0.697206 582.27 -0.717439 0.0873619 5226.5 0.472325 3.07541 0.0996691
1641.68 -1.16941 0.609598 754.327 0.479309 -2.57269 3059.69 3017.53 0.590193 0.482485 0.496422 0.726192 872.699 -2.50554 0.0734788 2376.36 0.375133 3.09538 0.0996691
1468.79 -0.577089 -0.965091 745.72 0.78799 -2.91199 2356.6 2230.52 0.538457 0.842625 0.559167 0.582113 702.167 1.56986 0.48395 3180.29 0.650967 2.96276 0.0996691
1124.58 -0.404803 2.31954 -1 -1 -1 -1 445.614 0.205071 -1 0.655945 -1 999.089 -0.825468 0.141907 1346.49 0.741332 2.90329 0.0996691
