pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
340.127 0.342299 -3.01121 -1 -1 -1 -1 604.785 0.571755 -1 0.581559 -1 264.234 0.16772 0.279882 392.584 0.664187 2.90306 0.0996691
1495.58 -0.103087 -0.201659 847.631 0.121279 2.08073 2085.31 2011.13 0.588566 0.670441 0.693835 0.682149 1062.66 -2.69226 0.525937 3268.53 0.695731 1.96382 0.0996691
1758.16 -0.289561 1.61888 1158.61 0.579007 -0.563308 2879.43 2149.79 0.131153 0.207539 0 0.450197 926.441 -2.0758 0.164812 3602.06 0.696902 2.75372 0.0996691
1518.96 0.314634 2.89327 1453.85 -0.741059 -1.81756 2707.9 2534.22 0.402729 0.673689 0.654424 0.617895 452.28 0.626137 0.0462552 4624.43 0.775933 3.09691 -0.0996691
688.072 -0.471623 -0.463274 360.547 1.08742 2.57586 1347.53 1089.86 0.650628 0.52954 0.701546 0.675575 326.82 2.80058 0.138367 1017.52 0.340681 3.08602 0.0996691
1905.93 -0.608134 3.0112 877.139 -0.256793 -1.25709 2297.96 2267.23 0.64168 0.20927 0.426384 0.498468 694.601 0.493834 0.0404665 3811.56 0.770344 2.4769 0.0996691
1791.95 -0.558914 -1.86915 1685.07 0.883232 0.33398 4140.91 4092.9 0.172281 0.67628 0.814624 0.693072 453.063 -1.20986 0.658824 5910.16 0.96877 2.52554 -0.0996691
540.772 0.478728 -0.813257 299.183 -1.6894 2.92988 1313.3 1257.72 0.676189 0.531048 0.621533 0.78843 376.357 2.91161 0.0293988 1179.37 0.398129 2.54263 0.0996691
1117.74 -1.25697 -0.256163 492.931 1.37789 1.8435 2894.93 2596.34 0.494569 0.16662 0.472339 0.617114 701.992 3.02329 0.156104 2052.23 0.743 2.86356 0.0996691
1387.15 0.386385 2.56686 -1 -1 -1 -1 817.331 0.56528 -1 0.513051 -1 1245.88 -0.622718 0.257396 1544.2 0.950983 2.93201 0.0996691
