pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
1703.97 -0.343167 -1.08802 1218.92 -0.475562 1.39456 2765.43 2658.83 0.700647 0.683736 0.763889 0.589994 573.48 -3.12353 0.453045 3461.5 0.688304 3.00856 -0.0996691
1216.58 0.540491 -0.558198 1085.39 0.124564 -2.03877 1671.79 1827.61 0.104985 0.046443 0.557325 0 859.651 2.00061 0.264792 3190.51 0.340057 2.52907 0.0996691
1805.92 0.238435 -0.673422 1148.58 -0.371878 3.03244 2915.81 2878.4 0.773811 0.78537 0.718599 0.821261 694.31 1.71648 0.0778675 3297.2 0.821098 2.31084 0.0996691
2243.48 -0.831619 1.75921 1791.43 -1.00734 -1.67524 4243.46 2835.96 0.00834547 0.802284 0.552531 0.678184 252.956 -1.51339 0.160032 4858.48 0.218809 3.023 0.0996691
1951.81 0.0547695 1.37111 1754.1 0.133326 -1.09916 3702.36 2507.95 0.738257 0.134462 0.680932 0.714417 733.351 -1.05136 0.304565 5513.16 0.967065 2.30626 -0.0996691
2126.64 -0.679011 1.58077 1509.91 -0.255905 -2.0366 3681.39 2624.05 0.314558 0.554367 0.611565 0.412514 540.336 -1.07369 0.622112 4175.96 0.543043 2.29197 0.0996691
2071.9 -0.17421 -0.121754 2016.48 -0.0186912 -2.68435 4120.55 2759.36 0.560047 0.194758 0.488471 0.305815 85.5805 -1.12576 0.655646 5415.14 0.500911 2.52176 0.0996691
2169.35 -1.03627 -2.48158 1589.68 0.376087 0.29914 4723.08 4393.98 0.480087 0.655609 0.457741 0.666514 776.517 1.4096 0.0729936 3802.72 0.973977 2.53504 0.0996691
2530.23 0.0417253 -1.69684 1970.64 1.26084 1.78234 5543.58 4530.83 0.127174 0.424372 0.732257 0.469026 143.465 0.789141 0.0488468 5190.82 0.374881 2.43965 0.0996691
1389.42 0.734729 2.22136 818.916 -1.26331 -0.422665 3257.19 3228.89 0.388401 0.075969 0.614247 0.199712 574.598 -0.835694 0.413211 2701.24 0.346146 2.64657 -0.0996691
