pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance delta_phi_j1j2 weight
2701.87 0.272284 -1.73647 2210.73 -0.360384 0.959727 5157.39 4234.57 0.571931 0.166096 0.77269 0.451535 1049.92 -2.45909 0.722686 5546.36 0.387298 2.50211 -0.0996691
1927.34 -0.284572 2.23943 1436.79 -1.27172 -0.940052 3754.51 3745.49 0.399978 0.45224 0.516488 0.635003 1001.5 -0.922956 0.0174983 4221.25 0.146724 3.10348 -0.0996691
2981.24 -0.0851905 3.11684 1314.54 -0.105103 0.345549 4077.38 3271.99 0.33423 0.539558 0.587785 0.464596 646.827 -2.77908 0.0574014 4844.58 0.235309 3.06062 -0.0996691
1384.66 -0.000769871 -0.53485 1049.78 -1.2146 -1.01793 1686.41 1652.19 0.17158 0.622459 0.593694 0.625839 704.791 2.66131 0.00962567 2505.6 0.890003 3.09965 0.0996691
2264.86 0.258217 -0.0420224 969.312 0.332934 -1.58692 2077.08 2071.36 0.107395 0.640577 0.821754 0.767394 645.042 1.56164 0.667462 3909.36 0.768472 2.46519 0.0996691
2516.6 -0.189955 -1.48844 1772 1.44838 1.64815 5732.54 5641.75 0.730813 0.65359 0.545986 0.726291 755.181 1.64468 5.42402e-05 5829.54 0.192419 3.1331 0.0996691
1529.47 -0.407452 1.94284 1085.83 0.410302 -1.93567 2656.05 2604.71 0.232335 0.637396 0.689066 0.448815 1140 -1.27548 0.315343 3782.78 0.789767 2.74981 0.0996691
1878.37 0.0567241 -0.344398 1750.01 0.515953 1.39953 2918.07 2911.92 0.641327 0.606385 0.698803 0.747068 694.994 -1.74044 0.597364 4648.79 0.83264 2.54518 0.0996691
1235.13 -0.35044 -0.150245 1056.79 0.966789 3.07893 2805.58 2751.36 0.540165 0.252298 0.694166 0.816391 604.857 2.97512 0.101441 2386.02 0.0816055 3.05467 0.0996691
2015.83 -0.398037 1.42915 1802.39 0.0619305 -2.05817 4085.61 2959.16 0.16147 0.373038 0.720664 0.599491 921.801 1.06993 0.303468 4573.06 0.433373 2.85168 0.0996691
2762.07 -0.0507687 -0.471524 2522.26 -0.0414174 2.57103 5278.64 5270.91 0.290508 0.324414 0.687249 0.819275 1036.38 2.6633 0.0922663 5434.28 0.0668664 3.04137 -0.0996691
1677.18 -0.805364 -1.53456 1016.83 1.00696 1.91501 3778.22 3602.96 0.830972 0.467687 0.523155 0.613765 735.918 1.62687 0.287872 3298.4 0.252108 2.87208 0.0996691
1668.3 0.512969 -2.92603 965.103 -0.963715 -1.76393 2518.26 2348.24 0.742665 0.673803 0.720701 0.69578 1021.63 0.206396 0.13147 3994.08 0.541346 3.00224 0.0996691
