pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
451.049 1.54047 -2.24916 308.362 0.158206 0.502925 925.06 936.661 0.323214 0.350499 0.763066 0.623233 67.9177 -0.0116382 0.514564 973.247 0.265751 92.9047
728.369 0.438611 0.0306065 590.708 -1.97384 2.84241 2385.74 2258.25 0.664319 0.48995 0.654364 0.689016 346.621 -2.03851 0.931189 1493.03 0.567099 92.9047
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 162.275 -2.03931 3.12772 183.815 1 92.9047
693.946 -1.45266 -1.17087 536.142 -1.09588 -2.84849 961.531 923.009 0.603791 0.537243 0.457572 0.576741 506.084 1.32902 0.125058 1566.3 0.51546 92.9047
886.908 0.565355 2.01816 708.276 -1.15423 -1.1336 2209.84 2239.18 0.638786 0.127692 0.604998 0.566127 72.7609 1.22534 0.312401 1945.31 0.77208 92.9047
771.492 0.285237 2.21141 266.43 2.62742 -3.1183 1561.86 391.59 0.22311 0.487641 0.482391 0.819016 889.592 -0.707519 0.0395772 1123.7 0.888701 92.9047
807.925 -0.626945 2.42454 486.953 0.462599 -0.108925 1450.56 1148.38 0.649524 0.320912 0.703053 0.370445 197.096 -0.539556 0.435369 1850.75 0.258771 92.9047
729.57 -1.15641 -1.13301 -1 -1 -1 -1 571.91 0.304157 -1 0.783827 -1 887.15 1.86477 0.193949 999.527 0.760684 92.9047
565.199 -0.192769 1.26556 446.222 -1.50475 3.07512 1070.74 1046.6 0.334592 0.694785 0.614692 0.798962 544.364 -0.557189 0.322229 1520.77 0.554782 92.9047
471.377 -1.43729 0.26644 286.044 0.228295 -2.31817 1001.31 1321.65 0.710765 0.321246 0.797842 0.601639 503.221 3.07999 0.852226 1014.87 0.297732 92.9047
523.726 -0.476962 3.02645 445.436 -1.61871 1.93721 785.14 753.123 0.481918 0.366449 0.685052 0.619653 802.396 -0.618529 2.52068 975.139 0.9892 92.9047
1211.32 -0.407308 -1.15516 606.85 0.00585799 2.57892 1715.46 2214.44 0.470835 0.332234 0.766001 0.780825 275.889 1.26629 0.459527 2377.07 0.415442 92.9047
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 49.4641 -2.34865 2.71439 41.0741 1 92.9047
539.951 -1.79349 2.25851 -1 -1 -1 -1 324.919 0.504594 -1 0.747928 -1 440.987 -0.816844 0.0372304 621.995 0.841881 92.9047
474.595 1.85362 -2.74091 449.639 -0.730718 0.577976 1817.79 1536.89 0.649403 0.500725 0.449186 0.737555 69.1393 0.925929 0.347817 1326.17 0.741977 92.9047
-1 -1 -1 -1 -1 -1 -1 205.563 -1 -1 -1 -1 97.0631 -1.14666 0.0414166 260.491 0.54143 92.9047
663.227 1.11076 -1.28017 -1 -1 -1 -1 222.121 0.237066 -1 0.84288 -1 752.667 2.16924 0.938927 924.405 0.886447 92.9047
756.903 0.61107 -0.328358 319.124 -1.09734 2.22958 1342.51 1295.41 0.594211 0.571625 0.392949 0.633486 583.507 2.66819 0.454323 1395.46 0.505816 92.9047
1053.77 -1.93594 -0.497688 -1 -1 -1 -1 439.11 0.222749 -1 0.746817 -1 905.476 2.50754 0.00471473 1213.81 0.88352 92.9047
711.368 -0.0749961 1.61429 557.098 -1.24002 -2.76607 1308.09 1164.12 0.326884 0.658404 0.719147 0.79755 567.131 -0.769489 0.139112 1382.97 0.819489 92.9047
887.542 -0.871435 -2.55029 588.311 -0.0980129 -0.290678 1445.55 1443.4 0.608157 0.346173 0.547006 0.446192 156.973 1.17977 0.198738 2049.45 0.925115 92.9047
406.429 -0.222752 -0.767117 338.627 -0.325615 1.4021 663.413 667.607 0.571485 0.532577 0.553228 0.681209 334.873 3.11568 1.7131 750.885 0.471953 92.9047
363.953 1.69233 -2.22318 -1 -1 -1 -1 1385.06 0.557011 -1 0.855337 -1 265.868 1.00534 0.45953 900.925 0.399773 92.9047
786.739 -0.548635 -2.93639 -1 -1 -1 -1 313.261 0.174122 -1 0.491602 -1 460.311 0.169637 0.146031 1167.78 0.429509 92.9047
744.408 0.31965 0.0665631 490.93 -1.09714 2.71675 1517.62 1397.64 0.406481 0.786234 0.702912 0.681502 283.952 -2.20055 0.0481937 1422.02 0.739192 92.9047
855.176 -0.619434 0.281853 448.947 -1.58865 1.29064 879.136 871.169 0.237816 0.450379 0.568287 0.746868 991.589 -2.48669 0.502297 1477.67 0.673806 92.9047
543.106 -0.293831 2.61049 526.007 0.104294 0.547747 949.715 945.106 0.53846 0.485952 0.508992 0.623946 28.9247 2.553 0.0541887 1631.38 0.437526 92.9047
721.563 -0.871947 -2.94292 526.896 0.354797 -0.629076 1422.19 1148.76 0.084102 0.596883 0.604589 0.573794 437.833 1.31163 1.03243 1423.41 0.858948 92.9047
553.291 -0.217209 -1.9662 266.042 -2.05251 -0.759111 957.329 874.603 0.676975 0.745409 0.619852 0.769521 686.162 1.58034 2.16712 810.498 0.940187 92.9047
1015.63 -0.232074 1.65332 318.049 -0.65511 -3.0783 839.558 841.273 0.219771 0.663563 0.399762 0.713857 825.812 -1.17328 0.0648662 1609.97 0.6102 92.9047
540.9 -1.75397 1.13189 394.669 0.394721 -2.73895 1494.98 1382.77 0.772119 0.707716 0.65771 0.628972 281.226 -1.17588 1.32171 934.689 0.962744 -92.9047
658.566 0.0553373 -1.45786 644.389 0.737155 0.64473 1243.53 836.849 0.0990474 0.622488 0.675451 0.549496 173.893 2.43248 0.0501068 1897.3 0.290659 92.9047
668.851 -1.32639 -1.92842 433.706 0.369397 0.400065 1432.67 1392.03 0.610639 0.65198 0.704406 0.563252 180.97 1.16816 0.149273 1773.91 0.398473 92.9047
