pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
470.216 1.51195 -2.23718 -1 -1 -1 -1 568.68 0.707048 -1 0.698227 -1 402.805 0.50776 1.38491 661.909 0.612627 92.9047
1285.25 -0.417852 -0.145484 -1 -1 -1 -1 630.74 0.522802 -1 0.530301 -1 1303.97 2.88645 1.62518 1442.96 0.894806 92.9047
-1 -1 -1 -1 -1 -1 -1 416.62 -1 -1 -1 -1 385.74 0.97243 2.50285 444.491 0.980159 92.9047
551.76 0.460076 0.091603 494.423 -0.846321 -2.9063 1281.83 1271.46 0.449959 0.674892 0.215495 0.695733 530.402 1.49392 1.40329 1494.89 0.579741 92.9047
529.876 -1.10489 0.684655 517.808 0.841951 -0.784176 1414.12 1063.62 0.333303 0.18485 0.595588 0.617221 703.62 3.10729 0.21268 1141.7 0.285671 92.9047
398.295 -0.966887 -0.293504 -1 -1 -1 -1 331.209 0.708699 -1 0.676865 -1 434.845 3.01711 0.272733 769.107 0.665263 92.9047
416.471 1.17736 -1.27349 -1 -1 -1 -1 895.928 0.383079 -1 0.612979 -1 396.798 2.50324 1.82645 652.962 0.602341 92.9047
488.295 0.0544324 1.40963 -1 -1 -1 -1 1176.51 0.490252 -1 0.775743 -1 403.673 -1.62616 1.02602 816.998 0.562614 92.9047
705.247 1.17341 1.43905 502.738 2.37852 -2.11594 1398.45 1386.03 0.347404 0.778399 0.373877 0.754007 215.756 -0.0687662 1.37422 1488.61 0.948879 92.9047
742.061 0.635358 -0.22932 413.998 -0.185308 -2.69924 1151.35 1160.87 0.12736 0.688886 0.246532 0.726531 322.918 2.61322 0.897229 1348.97 0.757567 92.9047
379.043 -1.23319 -2.47222 -1 -1 -1 -1 379.964 0.413922 -1 0.447172 -1 442.433 0.944005 0.166359 559.982 0.860303 92.9047
689.581 -0.351291 0.836968 448.618 0.691592 2.30291 962.731 971.563 0.709429 0.400034 0.322119 0.572407 876.839 -1.76662 2.21222 1151.83 0.756687 92.9047
732.647 0.646068 -1.63095 699.649 -0.00515539 1.30137 1506.58 1517.86 0.492006 0.650601 0.753379 0.579978 147.406 2.93856 1.63678 1444.9 0.104646 92.9047
737.558 0.10904 -2.36036 -1 -1 -1 -1 284.807 0.257102 -1 0.512778 -1 713.85 0.866215 0.397044 825.255 0.359142 92.9047
660.779 -0.63558 1.76 448.135 -0.231456 -1.03823 1134.21 1049.84 0.715802 0.331856 0.673144 0.729589 526.579 -2.44496 1.27628 1394.65 0.697709 92.9047
635.576 -0.813021 -0.49558 272.664 2.39935 0.817791 2081.09 183.917 0.2288 0.717549 0.634967 0.758163 725.133 2.91467 0.69388 915.411 0.89318 92.9047
1346.86 -0.725738 0.822223 1314.98 0.457253 -2.67411 3110.03 3156.68 0.021027 0.13645 0.332632 0.556917 320.072 0.00395367 0.818269 3119.46 0.176837 92.9047
645.499 1.20391 -2.79862 536.243 -0.183538 1.91121 1222.49 1223.71 0.719876 0.547556 0.698398 0.398154 699.485 -0.366711 0.225663 1301.78 0.896602 92.9047
621.459 0.38363 1.70691 568.4 1.41215 -1.46806 1361.37 1352.58 0.268083 0.644741 0.816389 0.481837 78.7906 -1.48696 0.00785446 1184.33 0.0680208 92.9047
795.645 1.38782 -0.882241 453.378 -0.394929 2.83898 1685.54 1613.75 0.417405 0.477441 0.480797 0.490124 404.437 1.83455 0.55865 1380.75 0.813035 92.9047
-1 -1 -1 -1 -1 -1 -1 108.715 -1 -1 -1 -1 180.721 2.14212 2.03439 187.097 0.972508 92.9047
361.064 1.81632 0.917428 -1 -1 -1 -1 731.721 0.364995 -1 0.220474 -1 69.0523 -0.997085 1.19484 709.18 0.207965 92.9047
360.561 1.67658 -2.15761 -1 -1 -1 -1 1113.75 0.773526 -1 0.68448 -1 506.208 0.847078 0.941953 692.348 0.562959 92.9047
351.564 0.947728 2.93194 -1 -1 -1 -1 562.513 0.259866 -1 0.611216 -1 295.541 -1.15847 1.64106 651.84 0.93938 92.9047
588.615 0.368605 -0.40411 368.788 -0.338113 2.27439 981.601 956.489 0.397774 0.645059 0.71361 0.618596 511.61 -2.2582 1.76461 1279 0.935381 92.9047
509.185 -0.695985 -1.48319 323.19 0.0800574 3.07008 712.535 664.105 0.493076 0.433417 0.294839 0.566275 535.999 1.0271 1.94611 836.367 0.936992 92.9047
1024.78 -0.388403 0.932188 617.224 1.34329 -2.28858 2229.98 2239.04 0.76836 0.354912 0.607821 0.459514 393.127 -2.06797 0.223226 1758.1 0.256654 92.9047
886.396 -0.154262 1.68206 -1 -1 -1 -1 351.656 0.0670092 -1 0.647899 -1 796.627 -1.37211 0.0351775 1068.49 0.708507 92.9047
476.986 -0.273999 3.0227 284.486 -1.51727 -1.7769 698.196 705 0.328246 0.399542 0 0.668518 519.428 0.277608 0.607466 877.243 0.843516 92.9047
935.449 0.495497 3.05355 797.631 -0.454456 0.505639 1883.68 1803.53 0.0223415 0.637729 0.51218 0.392483 143.831 -2.55001 0.679571 2292.51 0.340388 92.9047
696.506 0.727219 2.51494 -1 -1 -1 -1 288.694 0.0922602 -1 0.703971 -1 509.002 -0.529964 0.134761 947.969 0.587011 92.9047
760.319 -0.82706 1.24935 -1 -1 -1 -1 1210.72 0.476007 -1 0.686485 -1 642.668 -1.83728 0.772 1072.78 0.950244 92.9047
308.219 -0.289855 -2.52991 -1 -1 -1 -1 302.873 0.26074 -1 0.693717 -1 371.383 0.513334 1.83966 497.183 0.907898 92.9047
469.43 -0.752135 2.78616 306.15 0.242716 -2.46717 551.156 544.806 0.264367 0.681683 0.380888 0.713112 532.461 0.251724 0.513786 1061.42 0.518686 92.9047
886.01 1.14847 0.280721 449.513 0.442619 2.49527 1303.27 943.981 0.0706296 0.588516 0.0269949 0.760147 705.719 -2.26258 1.52933 1415.83 0.58493 92.9047
661.178 -1.01743 -2.48787 286.573 1.66839 2.33325 1661.46 1628.01 0.505487 0.808523 0.63301 0.836346 761.582 0.214945 2.12767 947.817 0.794897 92.9047
521.197 -0.246401 -0.458491 441.245 -0.671264 0.937989 661.002 654.42 0.549026 0.0582469 0.551384 0.47614 410.083 3.0898 0.439944 1311.2 0.445049 92.9047
515.398 0.45783 2.97678 -1 -1 -1 -1 1216.89 0.303621 -1 0.832 -1 208.512 -0.289808 0.299184 826.619 0.342729 92.9047
739.833 0.0997087 -0.844578 486.258 0.975295 2.52471 1337.45 1266.65 0.329383 0.651116 0.669168 0.796895 411.425 1.3235 0.183997 1423.62 0.784367 92.9047
929.622 -1.31904 -0.673069 777.646 0.685425 2.94564 2613.84 2648.02 0.141832 0.314576 0.543422 0.260199 536.418 1.09783 1.77051 1924.48 0.737702 92.9047
412.716 -0.0480765 1.54826 357.918 2.07721 -2.7653 1213.74 1012.97 0.5499 0.451742 0.440652 0.742125 421.866 -0.717458 2.04955 786.683 0.856766 92.9047
443.471 1.15801 -0.830006 -1 -1 -1 -1 389.041 0.655158 -1 0.613787 -1 516.998 2.77387 1.74608 659.246 0.910838 92.9047
778.479 1.76976 -0.291051 740.956 -0.0177418 1.86836 2097.8 1852.12 0.23232 0.388084 0.570122 0.613863 744.398 -2.408 1.64351 1549.71 0.967361 92.9047
642.579 -0.479957 -1.6409 -1 -1 -1 -1 169.675 0.417572 -1 0.717804 -1 669.806 1.5951 2.06306 668.679 0.971561 92.9047
826.235 -0.224001 -2.10269 423.755 0.557379 1.2184 1284.9 1289.79 0.183607 0.412587 0.714923 0.407913 400.876 0.950281 0.264596 1256.9 0.330572 92.9047
1159.85 0.444246 -1.61742 485.168 0.732491 0.678806 1386.9 1406.42 0.494826 0 0.188532 -1 914.026 1.89116 1.21236 1668.23 0.554997 92.9047
1135.79 0.0668701 1.71111 916.01 -1.57794 -0.938605 2741.13 2746.5 0.313959 0.577271 0.629918 0.686359 475.732 -2.30198 0.084744 2110.09 0.963695 92.9047
687.36 1.01731 0.48987 405.767 -0.505394 2.75511 1339.9 938.638 0.22023 0.440032 0.760518 0.475156 319.858 -1.98247 0.0262426 1275.2 0.496502 92.9047
653.308 -1.1299 1.03947 619.873 0.296933 -2.98879 1542.45 1492.12 0.435385 0.751224 0.407335 0.566078 557.675 -0.985819 1.93709 1320.17 0.975513 92.9047
473.34 -1.07919 -2.2047 327.996 0.339171 -2.91887 699.955 584.442 0.442491 0.364645 0.589558 0.722138 769.099 0.662591 2.03341 815.676 0.917104 92.9047
851.772 -0.82493 -1.33148 -1 -1 -1 -1 808.18 0.447476 -1 0.493942 -1 555.263 1.75182 0.0986555 1362.39 0.647242 92.9047
882.094 0.330164 1.98801 -1 -1 -1 -1 372.63 0.223265 -1 0.442783 -1 870.979 -1.17505 1.79106 930.089 0.965915 92.9047
844.243 -0.819331 -1.87292 689.284 -0.7522 1.17801 1591.99 1267.01 0.190286 0.649071 0.567152 0.495123 180.131 1.80813 0.618848 1555.12 0.148129 92.9047
623.481 -0.67682 -0.339336 450.347 0.45267 -2.53415 1144.23 1117.14 0.705453 0.406057 0.723524 0.434372 607.707 1.45764 0.089851 1419.23 0.927225 92.9047
