pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
1222.06 0.172381 0.122295 918.354 0.154063 2.51015 1985.22 1964.08 0.702266 0.759167 0.621085 0.672011 781.825 -2.22191 0.992672 2171.26 0.948196 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 43.4442 -2.41871 -1 0 -1 1.5571
1327.46 0.499908 1.54955 1214.5 -0.849172 -1.31683 3160.53 2953.03 0.495407 0.572492 0.529753 0.776256 639.019 -0.94036 0.00190878 3706.21 0.751436 1.5571
-1 -1 -1 -1 -1 -1 -1 245.135 -1 -1 -1 -1 71.5095 2.65058 0.0658877 116.067 0.556639 1.5571
491.626 -0.860334 -2.14908 327.802 0.367488 0.557853 949.972 943.246 0.484201 0.628726 0.586755 0.551603 395.893 0.688427 0.140284 1102.32 0.288297 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 20.8636 0.344531 -1 0 -1 1.5571
765.595 -1.20431 0.0396728 290.467 0.0270179 -0.0587491 629.581 630.645 0.662255 0.248419 0.569919 0.543126 853.665 2.86715 0.00717139 1547.93 0.589084 1.5571
1520.17 -0.408055 1.96216 994.018 0.651932 -1.08246 2972.96 2243.36 0.109221 0.677878 0.774976 0.625158 216.644 2.02035 0.367566 3408.01 0.205925 1.5571
1369.02 -1.42086 0.971973 1035.62 1.81655 -3.0428 6166.33 6155.61 0.104723 0.463996 0.249015 0.852299 265.295 -0.60898 0.385066 3262.19 0.710649 1.5571
956.774 -0.788532 1.65445 739.339 -0.0373967 -2.48165 1644.09 1562.51 0.675918 0.660705 0.520629 0.529351 25.1322 0.402437 0.495663 2990.16 0.619318 1.5571
898.706 0.300682 2.07185 589.032 0.189416 -0.714429 1446.93 1454.52 0.499695 0.547688 0.34625 0.484178 430.536 -1.63979 0.861037 1522.42 0.973241 1.5571
1188.17 0.180475 -2.86473 955.182 -0.352355 0.517435 2238.06 1999.6 0.452154 0.230897 0.516031 0.197465 46.8344 0.000900477 0.516794 3665.57 0.168077 1.5571
