pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
1158.68 0.147774 0.0344766 869.583 0.160848 2.5487 1923.44 1901.59 0.670643 0.621754 0.643165 0.774095 700.829 -2.26754 0.972882 2051.35 0.951942 1.5571
1854.24 -0.326353 1.2615 1523.36 0.185789 -2.26883 3426.61 3465.19 0.450279 0.572572 0.690883 0.664381 244.885 -0.537976 0.653838 3946.03 0.626601 1.5571
809.953 -0.948764 -3.04679 487.306 1.08026 1.38152 1840.15 1521.64 0.646403 0.323172 0.623832 0.750065 580.199 -0.498539 0.0578483 1563.11 0.593857 1.5571
1380.17 -0.415057 -0.411658 1363.73 -0.462426 2.54339 2782.46 2676.34 0.420512 0.477774 0.466625 0.627033 272.619 -2.29649 1.44551 2812.44 0.834628 1.5571
967.695 0.428247 1.4751 546.175 -0.439398 -0.662668 1459.14 1365.64 0.319917 0.710804 0.786705 0.608576 727.124 -2.36788 0.673152 1647.52 0.968089 1.5571
1281.43 0.125006 -0.342546 663.669 1.08398 -2.5451 1990.8 1276.69 0.445882 0.245103 0.714801 0.839051 978.098 2.4057 1.33269 2095.61 0.513177 1.5571
1368.34 -1.15881 -2.79196 1079.52 0.549533 -0.776869 3122.75 3147.03 0.291756 0.466761 0.641553 0.840416 509.662 0.926752 0.386468 3308.75 0.512496 1.5571
-1 -1 -1 -1 -1 -1 -1 27.4517 -1 -1 -1 -1 79.7493 -0.590089 2.95863 78.5572 0.996922 1.5571
338.383 -2.41331 -3.08597 -1 -1 -1 -1 340.074 0.699033 -1 0.714611 -1 331.116 0.304743 0.0713219 508.023 0.748903 1.5571
842.562 -0.22914 -2.35159 345.134 1.5906 2.06478 1424.08 1414.26 0.237928 0.659602 0.584465 0.550094 688.195 0.397438 0.011623 1332.05 0.737503 1.5571
364.62 -2.33055 2.99598 -1 -1 -1 -1 985.749 0.802489 -1 0.770317 -1 196.158 0.136835 0.163265 529.663 0.788328 1.5571
-1 -1 -1 -1 -1 -1 -1 82.7468 -1 -1 -1 -1 62.32 0.593614 1.50627 68.6456 0.569488 1.5571
1524.99 0.466531 2.86308 936.822 0.304361 -1.93913 1650 1629.07 0.839171 0.545317 0.781607 0.741732 1736.23 0.150296 0.0501415 2835.78 0.82081 1.5571
1835.3 -0.195383 0.107186 1000.05 -0.156568 2.54679 2617.97 2059.02 0.0897381 0.424963 0.557009 0.655267 1211.25 -2.49365 1.24297 2914.99 0.47697 1.5571
1476.97 0.180983 -1.50714 1341.66 0.230018 2.22417 2772.21 2201.74 0.389331 0.240405 0.71224 0.680781 668.693 1.13496 0.0738701 3379.32 0.938877 1.5571
820.348 -0.430746 0.961174 377.382 0.711649 -1.33083 1273.46 892.85 0.578686 0.543512 0.66046 0.458699 287.328 -2.93741 0.325038 1619.09 0.83928 1.5571
678.838 -1.34603 0.111566 643.316 -0.101514 -1.35116 1264.03 1266.95 0.644144 0.717689 0.72856 0.523483 375.285 2.17634 0.489637 1983.92 0.928986 -1.5571
1130.46 -0.560878 -1.12555 345.522 -0.974053 2.89187 1177.26 1125.96 0.22653 0.506727 0.804209 0.84178 942.532 1.66216 0.291452 1569.17 0.937093 -1.5571
-1 -1 -1 -1 -1 -1 -1 58.7977 -1 -1 -1 -1 9.72645 2.1507 1.05129 52.7156 0.213131 1.5571
-1 -1 -1 -1 -1 -1 -1 141.33 -1 -1 -1 -1 12.2387 3.07634 1.31947 100.773 0.702468 1.5571
1536.89 -0.0600712 -2.21291 647.475 0.66186 0.819817 2137.01 2141.21 0.409696 0.547479 0.656931 0.691279 1050.29 0.973837 0.165547 2508.34 0.417769 1.5571
401.332 0.391038 -0.846901 -1 -1 -1 -1 379.041 0.555236 -1 0.698741 -1 315.626 2.2743 0.00832653 505.785 0.649934 1.5571
394.289 0.0703679 0.838753 -1 -1 -1 -1 133.167 0.807689 -1 0.793808 -1 380.532 -2.39283 1.88833 411.364 0.95621 1.5571
1712.96 -0.667363 0.620777 1604.6 -0.550897 3.0173 3151.69 2339.23 0.287062 0.647022 0.660539 0.762666 108.668 1.72178 0.607555 4722.87 0.965746 1.5571
-1 -1 -1 -1 -1 -1 -1 185.98 -1 -1 -1 -1 26.3775 0.181473 0.24563 169.917 0.346838 1.5571
1308.78 -0.442546 -1.18679 1109.92 -0.0718823 0.776569 2125.46 1714.83 0.201446 0.453754 0.842039 0.510731 1285.14 2.845 0.727479 2492.9 0.880778 1.5571
1787.46 -0.99871 2.22904 884.19 -1.09095 -2.23669 2099.21 1922.16 0.426909 0.738155 0.580001 0.819846 1579.79 -0.389771 0.0843484 2939.67 0.115306 1.5571
1090.29 0.445266 2.41899 602.939 0.592645 -1.30497 1561.59 1582.29 0.559076 0.327992 0.578124 0.590266 372.268 0.519424 1.37777 2184.17 0.410526 1.5571
1437.71 0.828075 1.35874 1015.59 -1.28461 -2.31899 3853.43 3851.17 0.292656 0.468461 0.832113 0.724143 417.061 -1.62479 0.698931 2928.32 0.317403 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 22.4481 -1.67061 -1 0 -1 1.5571
-1 -1 -1 -1 -1 -1 -1 142.377 -1 -1 -1 -1 23.4998 -0.383022 0.220277 125.745 0.435045 1.5571
1456.18 0.124449 -1.27859 440.328 1.19531 1.17965 1773.45 1642.5 0.300939 0.601754 0.810573 0.661848 1044.46 1.77402 0.170502 2289.01 0.924535 1.5571
1106.32 1.20677 2.6946 1077.98 -1.01423 -0.783768 3668.79 3619.05 0.587414 0.754418 0.687472 0.7844 278.818 0.490579 0.0639994 3615.56 0.0986179 1.5571
742.372 0.199557 -0.211043 390.629 0.637535 -2.9374 1108.94 1010.29 0.625904 0.799891 0.524641 0.761688 393.507 2.64516 0.73542 1134.76 0.398507 1.5571
332.114 1.0288 -3.12726 -1 -1 -1 -1 -1 0.68033 -1 0.734825 -1 328.134 -0.0140758 3.11089 323.785 1 1.5571
940.806 -0.580997 -1.30665 481.877 -0.865358 2.10474 1369.18 1304.94 0.578435 0.613704 0.766329 0.794047 294.926 1.27206 0.0146626 1904.31 0.935073 1.5571
1101.8 0.726855 1.70538 642.256 0.408211 -2.68221 1399.32 1403.92 0.464412 0.263493 0.583202 0.697363 937.9 -0.451745 0.348843 2296.28 0.774458 1.5571
1601.02 -0.769372 3.02127 1072.58 0.950073 -0.430049 3653.17 3578.05 0.513347 0.262994 0.60721 0.719116 115.337 0.110661 0.013835 3417.12 0.488285 -1.5571
1640.27 0.559837 0.981514 -1 -1 -1 -1 624.542 0.461913 -1 0.430858 -1 1579.1 -2.1609 0.0937145 1729.8 0.965627 1.5571
-1 -1 -1 -1 -1 -1 -1 362.882 -1 -1 -1 -1 68.3039 1.94675 0.105929 273.337 0.137024 1.5571
335.587 -1.29618 -2.03965 -1 -1 -1 -1 -1 0.677138 -1 0.878912 -1 315.208 1.09663 3.12914 328.568 1 1.5571
1657.16 0.0089443 1.36767 923.245 0.168054 -2.31058 2447.04 2271.37 0.532887 0.517414 0.75692 0.659995 64.0095 3.00776 0.940576 3615.63 0.846139 1.5571
878.935 0.672103 1.30966 316.62 0.82865 0.117277 631.561 589.741 0.441647 0.489021 0.756091 0.841731 1015.21 -2.09634 0.430745 1259.09 0.366193 1.5571
1002.01 0.461671 -2.0377 549.355 1.59427 0.27296 1688.4 1499.51 0.555526 0.238472 0.725425 0.431538 445.678 1.62843 0.0156782 1888.42 0.654779 1.5571
291.994 -1.44916 -2.56055 -1 -1 -1 -1 512.597 0.600783 -1 0.757378 -1 83.7828 0.542951 0.0414174 492.065 0.155403 1.5571
2167.78 0.626172 -0.430985 2071.28 -0.33527 2.28456 4654.16 4718.16 0.386256 0.6695 0.669724 0.929493 334.585 -2.68547 0.0183582 4895.99 0.942801 1.5571
1051.12 0.815962 2.44507 953.954 0.000725 -0.0845761 2134.81 2027.82 0.542739 0.821487 0.655021 0.676249 272.82 -2.16039 0.600878 2390.39 0.796563 1.5571
1290.58 0.957242 2.31612 972.705 -0.369241 0.78372 2243.37 2243.69 0.721819 0.44187 0.692559 0.874041 1693.03 -1.54695 0.128927 3211.2 0.201285 -1.5571
1052.72 1.14162 1.26556 637.488 -2.0095 -2.6764 4084.54 4050.34 0.407646 0.761656 0.78655 0.856079 906.743 -1.0332 1.64138 1911.47 0.936542 1.5571
992.228 0.141086 -2.51462 -1 -1 -1 -1 477.513 0.360478 -1 0.528935 -1 949.768 0.609323 0.303381 1063.4 0.895235 1.5571
1867.78 0.544588 0.86283 1403 0.134367 -1.90375 3281.53 3188.98 0.705237 0.731925 0.617514 0.746229 774.901 -3.01091 0.63081 3280.73 0.977048 1.5571
2122.41 0.347664 1.28132 -1 -1 -1 -1 847.194 0.200698 -1 0.561146 -1 2080.93 -1.87001 0.561331 2196.94 0.952562 -1.5571
1073.42 -0.522403 1.68598 597.926 -0.290409 -1.38412 1717.18 1370.74 0.337416 0.551184 0.726052 0.609105 505.446 -1.49612 0.103899 1943.02 0.158405 1.5571
955.162 -0.56274 -2.27984 591.403 1.21938 2.538 1876.93 1748.61 0.271128 0.634696 0.499928 0.73766 669.312 0.245845 0.19122 2077.26 0.740472 1.5571
1499.78 1.12609 -0.572656 1294.01 -1.06764 -2.66946 4473.23 4243.42 0.383725 0.796258 0.762619 0.715738 566.465 1.39246 0.0754968 3741.82 0.197674 -1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 151.66 -2.93429 3.11756 150.172 1 1.5571
-1 -1 -1 -1 -1 -1 -1 28.4304 -1 -1 -1 -1 42.8579 -0.181109 2.79317 51.6494 0.962119 1.5571
1606.3 0.329105 -1.01398 1533.77 0.51713 1.34893 3092.8 2398.58 0.472188 0.542593 0.356338 0.618684 544.165 3.0476 0.360997 3926.42 0.662184 1.5571
1263.17 -0.533006 0.262051 641.622 0.061801 -2.2336 1919.66 1426.65 0.238396 0.494254 0.602287 0.592275 416.217 -2.753 0.52054 2705.32 0.907469 1.5571
3623.89 0.61645 -2.33273 1712.84 0.103579 0.692373 5274.19 4740.53 0.556354 0.508396 0.892395 0.676649 1929.45 0.912484 0.0841516 5473.02 0.976216 -1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 8.25122 2.72153 -1 0 -1 1.5571
844.813 -0.748643 2.01741 403.598 0.973156 -3.09377 1381.92 930.451 0.34096 0.729778 0.550481 0.798349 1080.27 -0.779551 2.3012 1258.22 0.854461 1.5571
2156.51 0.110669 -1.12719 472.546 -0.168575 1.83588 2204.55 751.729 0.130628 0.861996 0.532643 0.828502 1683.61 2.05748 0.218979 2753.76 0.569266 1.5571
1347.07 -1.03986 0.671839 840.331 0.410309 3.10874 2670.36 2076.23 0.706437 0.310654 0.810361 0.700096 359.756 -1.89089 0.210824 2820.46 0.872091 -1.5571
1233.62 0.550583 1.45609 570.018 1.04164 -1.44359 1741.63 1700.2 0.630354 0.565041 0.626498 0.743449 560.968 -2.05237 0.390392 2278.04 0.171221 1.5571
827.617 0.673371 2.39284 794.007 -0.395507 -1.32042 1809.5 1815.31 0.407687 0.660927 0.783512 0.67348 193.069 -0.801676 0.518893 2737.72 0.284902 -1.5571
1162.57 1.2362 -2.28486 937.338 -0.408065 -0.200101 2718.85 2502.21 0.272374 0.349452 0.365637 0.741742 853.699 2.14132 1.17889 2712.97 0.779539 1.5571
1775.43 1.07646 0.0115335 1342.31 0.37954 -2.65351 3212.17 3204.87 0.557761 0.231023 0.720676 0.754364 828.163 2.51434 0.0415618 3329.25 0.939227 1.5571
1129.89 -0.729614 1.67143 736.755 -0.326967 -1.48104 1868.52 1870.7 0.667479 0.493996 0.861223 0.597489 253.624 -1.48229 0.00231135 2005.05 0.205321 1.5571
1307.02 -0.287244 -0.412827 834.936 -0.428804 2.98094 2164.4 1970.39 0.492465 0.351376 0.623651 0.681708 720.699 1.17831 0.823226 2959.67 0.61674 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 16.7734 1.29048 -1 0 -1 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 21.5146 -2.80335 -1 0 -1 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 170.598 2.24929 3.07653 167.57 1 1.5571
-1 -1 -1 -1 -1 -1 -1 71.6357 -1 -1 -1 -1 8.23775 2.92338 0.733914 43.5241 0.0527095 1.5571
322.087 0.842589 -1.06861 -1 -1 -1 -1 207.272 0.766663 -1 0.703749 -1 306.49 2.12265 0.358596 326.775 0.832127 1.5571
580.083 2.03755 2.7502 470.775 0.444046 2.24829 989.267 968.948 0.223084 0.859683 0.801278 0.791551 879.381 -0.587899 0.165437 1184.88 0.63673 1.5571
857.597 -0.347078 -2.66402 401.417 -1.1856 0.405802 1302.72 980.217 0.40626 0.453967 0.839715 0.805182 516.848 0.390405 0.0343753 1312.41 0.727258 1.5571
-1 -1 -1 -1 -1 -1 -1 96.3216 -1 -1 -1 -1 56.7243 0.564205 2.40343 68.7945 0.865887 1.5571
781.796 -1.03156 -2.02663 -1 -1 -1 -1 438.77 0.306968 -1 0.806278 -1 714 1.09489 0.234841 831.767 0.893707 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 18.5078 2.70977 -1 0 -1 1.5571
1279.96 0.241102 -2.16188 947.365 0.457896 0.231925 2067.12 2092.48 0.215358 0.587851 0.624777 0.687811 191.904 2.12975 0.155228 3072.85 0.559527 1.5571
309.988 0.820658 -1.70798 -1 -1 -1 -1 427.844 0.687517 -1 0.8604 -1 326.01 1.94575 0.944184 567.163 0.844739 1.5571
2262.11 -0.448703 2.92879 1048.08 0.0749786 -1.04559 3040.46 2762.48 0.427341 0.369309 0.617206 0.571714 1715.94 0.211101 1.20989 3395.72 0.559388 -1.5571
